Gene.symbol	Healthy001	Healthy002	Healthy003	Healthy004	Healthy005	Healthy006	Healthy007	Healthy008	Healthy009	Healthy010	Healthy011	Healthy012	Healthy013	Healthy014	Healthy015	Healthy016	Healthy017	Healthy018	Healthy019	Healthy020	Healthy021	Healthy022	Healthy023	Healthy024	Healthy025	Healthy026	Healthy027	Healthy028	Healthy029	Healthy030	Healthy031	Healthy032	Healthy033	Healthy034	Healthy035	Healthy036	Healthy037	Healthy038	Healthy039	Healthy040	Healthy041	Healthy042	Healthy043	Healthy044	Healthy045	Healthy046	Healthy047	Healthy048	Healthy049	Healthy050	Healthy051	Healthy052	Healthy053	Healthy054	Healthy055	Healthy056	Healthy057	Healthy058	Healthy059	Healthy060	Healthy061	Healthy062	Healthy063	Healthy064	Healthy065	Healthy066	Healthy067	Healthy068	Healthy069	Healthy070	Healthy071	Healthy072	Healthy073	Healthy074	Healthy075	Healthy076	Healthy077	Healthy078	Healthy079	Healthy080	Healthy081	Healthy082	Healthy083	Healthy084	Healthy085	Healthy086	Healthy087	Healthy088	Healthy089	Healthy090	Healthy091	Healthy092	Healthy093	Healthy094	Healthy095	Healthy096	Healthy097	Healthy098	Healthy099	Healthy100	Healthy101	Healthy102	Healthy103	Healthy104	Healthy105	Healthy106	Healthy107	Healthy108	Healthy109	Healthy110	Healthy111	Healthy112	Healthy113	Healthy114	Healthy115	Healthy116	Healthy117	Healthy118
TSPAN6	0.905	1.936	2.074	2.372	0.329	0.596	0.696	0	0	0.072	1.354	8.261	2.63	0.817	1.487	4.884	0.697	0	0	0.703	5.655	0	0	6.87	1.429	2.108	0.979	2.392	11.427	2.072	0.279	0	0.587	0.563	0	1.879	2.885	3.619	0	0	3.256	0.463	5.367	0.343	2.214	3.056	0	0	0	0	1.194	3.92	1.52	0.079	1.723	3.4	0.15	0	1.345	0	7.273	0	0	3.811	1.511	9.618	0	4.411	0	0	1.081	0	0.651	6.25	19.206	26.184	5.795	4.927	8.679	0	0	0.219	8.745	0	0	10.952	13.169	0	4.653	7.624	0	0.408	0.059	0	4.564	0	0	8.248	0.82	0	0.193	0	0.146	0	4.765	0.762	0.19	1.757	0	0.299	6.074	2.269	0	0.207	2.613	0	0.539	0
TNMD	0.849	0.321	0	0	0	0	0	2.55	13.718	0	4.197	0.994	1.807	0.837	0	0	0.654	0	0	0	0	0	8.735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.464	0	0	0	32.271	0	0.567	0	4.64	0	0	0	6.502	0	0	0.665	0	0	0	5.114	0	0	0	0	0	19.44	0	0	0	24.603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.816	1.638	0	0	0	0	0.559	3.086	0	0	0	0	0	0	0	0	1.449	0	0	0	0	0	0	13.265	0	0	2.211	0	0	0	0
DPM1	80.436	44.506	69.688	45.634	32.988	35.83	52.589	23.469	41.977	70.488	78.881	145.369	81.451	55.804	39.948	12.704	35.768	46.395	130.173	47.527	53.653	30.207	89.507	81.597	76.63	44.552	103.378	54.522	66.019	86.863	71.748	47.975	58.671	41.468	62.357	41.113	101.612	8.547	53.862	54.068	19.923	92.883	65.539	54.519	85.829	34.449	61.241	76.277	71.093	29.342	67.885	56.694	32.848	70.399	72.521	74.509	82.698	84.782	70.069	0	84.006	12.214	0.879	143.975	80.875	0.794	16.21	182.318	0	2.912	95.892	8.644	41.278	41.298	97.261	103.285	77.844	60.088	68.505	100.875	78.518	42.526	63.74	47.128	87.288	25.16	67.844	45.993	29.282	12.276	80.294	49.545	69.304	76.547	29.268	73.65	2.032	69.118	80.128	107.679	23.692	37.997	59.079	8.962	60.834	83.419	38.761	31.939	49.137	18.911	95.582	72.14	164.294	48.738	53.315	16.828	77.524	24.86
SCYL3	13.609	18.611	15.195	15.317	6.725	2.02	5.91	6.143	7.739	19.519	14.725	8.094	10.353	18.789	16.334	6.436	9.638	13.221	16.389	3.704	14.998	14.378	10.866	9.71	3.509	0.868	22.356	19.332	4.615	5.245	17.908	6.342	11.604	7.494	12.157	4.952	9.266	8.721	10.995	10.486	4.72	17.569	21.15	9.259	13.195	13.444	10.568	6.52	9.986	7.361	19.404	3.753	9.955	14.731	6.983	9.053	14.898	8.203	10.785	0	9.318	19.441	6.01	10.248	20.838	3.482	14.213	9.301	1.276	0.567	15.337	10.285	12.44	3.929	0	3.693	7.688	23.043	15.377	21.093	4.963	16.117	13.474	15.166	22.346	0.124	16.37	31.677	9.886	15.749	12.93	7.766	12.037	9.414	9.182	11.914	5.308	4.326	14.21	7.524	15.984	5.955	18.082	18.983	30.786	13.53	5.857	8.167	13.455	3.794	17.225	4.543	5.291	4.355	13.349	10.975	3.958	14.296
C1orf112	9.739	3.636	10.943	3.678	14.179	11.971	8.111	7.637	4.844	9.359	8.235	11.59	4.875	22.633	8.416	13.42	16.411	8.342	9.992	9.08	3.653	3.601	40.925	0.084	17.179	28.138	0.331	25.33	1.588	3.812	12.5	14.258	19.274	7.532	14.914	10.416	7.057	2.751	8.257	4.708	12.585	25.825	0.549	11.896	7.648	12.57	14.826	8.296	3.909	35.282	7.38	31.481	15.095	18.369	7.924	11.896	22.266	18.579	3.332	14.762	6.244	2.946	17.064	5.95	0	15.101	0	7.175	53.898	0	10.425	0	6.494	3.112	14.943	23.343	14.54	16.758	13.247	1.911	3.536	14.707	2.899	6.846	4.815	0.048	3.663	13.843	20.908	10.848	5.414	6.829	19.466	12.769	3.7	0	14.054	6.434	0.073	21.486	1.097	9.223	13.175	6.363	0	3.838	22.257	13.03	26.377	8.396	4.014	6.036	0	11.68	3.513	6.3	18.201	8.934
FGR	204.876	116.866	204.211	196.95	97.42	208.847	184.835	132.355	173.236	142.686	219.074	163.963	177.498	143.184	149.727	218.237	114.269	165.224	235.412	190.354	223.14	130.814	151.074	215.227	123.285	96.831	420.504	163.827	102.497	165.987	609.188	86.804	123.381	290.06	267.12	82.387	213	183.987	123.833	168.197	265.226	112.647	232.019	269.065	136.491	99.624	207.117	208.15	105.877	100.389	190.142	101.771	84.975	132.368	208.433	134.337	316.352	139.496	142.862	212.617	96.704	119.474	230.201	258.046	141.728	227.506	302.564	239.095	238.698	263.989	193.822	299.457	264.416	177.713	177.583	160.28	376.157	209.611	347.592	167.342	342.688	111.624	219.14	192.484	199.883	142.478	268.416	289.104	93.916	236.389	569.525	337.881	160.961	717.815	366.232	264.22	398.663	225.267	178.122	292.71	329.572	521.958	238.476	348.079	214.662	264.205	188.165	193.482	269.408	263.879	358	492.799	232.072	219.705	276.544	274.793	140.516	209.181
CFH	2.35	1.078	2.31	0.475	0.122	5.167	4.951	1.462	2.991	4.84	9.05	7.862	3.035	1.199	8.987	4.183	0.388	3.629	6.133	5.184	8.895	0.32	4.709	14.806	2.387	5.942	0.363	9.855	17.583	1.7	1.397	1.969	3.138	15.676	2.066	1.662	0	3.915	4.24	0.212	6.164	5.001	9.942	4.008	0.392	2.603	2.317	2.954	10.024	0.423	5.362	16.185	3.545	0.175	6.333	6.546	1.631	5.235	1.79	9.213	7.049	5.708	1.107	3.441	5.256	0	0	4.47	6.049	18.654	1.898	0	2.22	0.56	0.507	0	0	8.095	15.999	14.154	5.551	2.155	1.355	2.303	0.035	9.269	5.556	2.898	1.036	7.564	4.938	6.562	3.042	2.173	3.592	3.271	4.606	9.91	7.334	16.235	6.218	14.851	0	10.599	1.245	1.353	0.212	0	4.873	4.346	5.661	0.996	1.892	3.772	4.387	2.778	2.284	9.55
FUCA2	6.12	19.603	9.708	4.314	12.295	19.77	18.081	19.402	16.047	16.113	16.275	3.898	3.228	19.534	3.31	2.44	18.096	6.405	4.327	2.282	18.365	25.409	2.518	4.498	10.968	17.97	45.205	14.759	31.124	12.749	58.391	9.09	0.191	34.195	9.035	7.358	22.688	10.746	10.911	13.308	17.975	5.562	23.965	29.682	21.242	9.487	10.84	5.798	9.396	10.743	12.019	37.591	8.178	28.634	6.996	7.015	20.126	0	12.34	0	19.464	0	29.81	10.704	38.016	0	0	0	28.172	21.536	8.099	0	0.132	0.117	0	30.421	4.769	6.426	33.867	25.163	34.052	7.825	1.495	3.792	7.06	66.863	15.872	5.089	4.911	1.303	69.285	8.148	0	37.483	16.601	4.852	3.424	0	1.489	18.181	28.605	45.362	3.409	0.076	20.684	29.706	6.021	3.701	45.246	8.796	6.789	22.673	4.442	9.793	5.222	0.638	13.051	13.624
GCLC	24.593	31.723	34.306	21.551	16.924	26.171	22.025	10.256	41.359	23.404	26.713	18.035	29.772	41.289	23.983	18.523	9.012	28.066	22.739	3.686	17.427	10.542	14.492	25.397	14.036	11.126	9.526	6.022	7.798	18.418	9.358	15.404	12.378	21.207	17.052	11.305	17.826	13.234	26.024	32.292	28.74	28.604	15.646	9.828	23.964	6.978	12.642	6.849	16.477	5.917	12.9	19.398	9.371	11.645	12.022	17.571	4.295	17.209	12.419	40.979	14.836	29.446	27.663	20.856	33.277	10.976	19.837	10.644	30.041	9.622	24.07	0.043	23.263	22.835	28.788	15.224	26.273	14.701	51.528	18.646	13.944	5.554	19.073	13.018	16.584	49.469	21.435	35.764	11.44	13.139	10.66	20.168	21.908	15.474	22.408	26.727	20.137	37.885	26.219	26.663	5.479	10.311	22.258	13.738	19.255	20.842	27.305	31.934	8.706	9.598	20.846	15.312	19.117	6.999	16.277	25.161	18.929	5.836
NFYA	56.871	52.859	66.794	66.619	52.369	46.404	68.924	32.317	45.85	108.347	66.084	48.477	66.553	35.171	54.936	72.423	21.275	58.98	45.879	50.175	54.511	37.414	69.612	76.078	43.438	34.649	35.588	60.723	22.518	62.159	78.786	76.323	34.929	47.977	66.683	41.3	71.337	30.147	35.717	60.558	32.103	46.605	59.447	53.432	45.745	43	46.736	23.187	46.016	68.924	51.525	48.498	25.217	52.65	23.994	64.221	58.82	65.895	47.236	88.005	36.223	10.117	24.213	49.889	97.402	100.739	117.642	34.541	12.729	0	35.614	29.136	72.339	56.935	21.319	20.376	98.995	32.294	34.628	99.809	76.449	32.585	58.528	71.138	70.961	128.762	56.707	72.693	16.472	73.397	73.715	73.946	19.014	44.237	36.499	52.017	44.075	43.911	22.22	66.954	56.477	41.819	69.848	75.582	26.384	64.406	40.053	73.352	29.03	42.637	78.09	64.961	77.868	50.88	42.86	34.315	44.62	48.87
STPG1	3.213	0.364	0	0	2.865	1.316	0	2.315	1.183	0.116	2.201	1.091	0.41	0.554	0.587	0	1.856	0	1.231	1.685	0.753	0.076	0.075	3.424	0	0.632	0.058	0.255	0	0.174	1.114	0	0.063	0	2.861	0.589	0.769	0.055	1.432	0	1.091	1.48	2.97	0.122	1.501	3.592	0	0	0	2.196	0	0.079	1.165	0.084	0.918	0.377	0.04	1.037	0.125	0	0.144	0	0	3.787	0.302	0.113	0	0.987	0	0	1.683	2.32	0.781	2.412	4.328	4.255	3.172	3.099	0	1.268	4.564	0.233	0	0.107	0	0	3.075	0	0	0	3.945	0	0	0.634	0	0	0	14.313	3.471	3.367	1.052	1.145	3.174	0	0.674	2.361	0.228	0	0	1.546	1.595	0	1.575	0.88	0.171	1.361	1.347	4.707
NIPAL3	6.98	10.656	15.064	12.629	12.649	10.265	5.258	12.878	6.769	12.959	8.557	16.207	12.465	9.741	10.308	6.703	18.587	11.827	8.482	5.083	23.864	9.762	8.905	5.236	12.654	12.644	6.765	32.298	0.77	8.73	16.536	15.678	18.062	8.201	8.004	10.607	5.434	25.432	15.123	6.204	17.81	6.787	11.299	11.24	10.385	13.048	8.153	7.773	10.321	23.643	11.285	9.595	17.781	12.946	17.162	9.871	8.441	9.068	8.796	12.351	8.769	10.913	5.075	9.24	24.312	19.622	14.032	8.297	0.041	30.237	8.178	2.377	12.087	17.322	11.129	1.074	13.743	7.128	3.095	3.016	15.419	13.945	12.208	9.299	5.332	6.911	13.094	6.673	13.238	17.333	9.935	17.08	6.034	10.335	17.726	15.682	12.62	14.942	9.284	14.115	5.687	14.113	15.378	17.435	17.14	10.684	10.5	18.917	14.651	6.397	14.369	15.404	20.427	9.284	15.082	22.451	8.532	15.366
LAS1L	23.855	30.129	37.327	35.263	10.241	25.493	48.692	18.657	24.755	36.969	43.412	20.28	25.344	34.226	36.789	50.907	25.246	38.965	25.517	20.385	26.615	22.832	14.64	22.836	15.811	19.671	21.62	43.346	23.829	28.581	20.358	16.338	9.622	47.244	19.804	7.444	42.937	20.221	21.083	15.002	24.683	22.313	35.091	30.315	45.564	17.067	16.673	9.271	29.663	5.985	49.73	17.345	12.491	32.195	18.948	34.136	18.164	23.781	24.382	19.03	31.475	14.609	42.983	18.305	47.035	9.262	10.279	37.297	13.122	3.075	25.093	16.134	35.063	7.578	6.406	8.1	3.543	36.439	59.532	47.431	16.717	33.24	34.413	41.957	57.409	61.648	51.666	24.136	27.324	12	38.874	33.33	59.963	27.051	39.455	30.496	52.737	18.978	34.922	46.869	22.497	25.592	52.303	47.742	36.494	36.726	25.537	32.137	14.489	24.47	44.998	67.841	36.269	20.783	37.086	50.368	42.057	22.855
ENPP4	7.35	4.109	1.309	1.758	5.35	0	7.842	1.942	3.003	0	7.528	7.848	3.627	2.752	1.665	4.029	4.528	2.341	2.945	0	10.064	0.14	0	0.324	2.533	7.836	0.106	7.152	2.995	0.106	2.99	0	4.465	8.016	7.235	5.281	13.185	2.823	1.747	8.642	2.631	2.438	13.184	2.339	6.28	1.052	3.128	6.665	9.135	7.826	8.382	0.216	10.285	5.22	3.613	1.381	1.904	0.759	3.42	15.432	0	22.432	0	14.865	0	0	11.188	7.398	0	0	9.97	9.694	6.269	0	0	0	0	0	0	0	28.441	4.201	0	8.197	7.632	0	9.068	0	12.363	6.204	11.917	9.16	0.916	7.159	4.272	1.58	23.62	0.741	2.87	1.243	1.643	6.409	0	3.101	0	0	1.066	0	6.964	4.7	0	0.681	11.401	0	0.627	14.48	0	5.875
SEMA3F	0.425	0.321	0.573	0.178	0	1.52	0	0.51	0.673	0	0.445	2.72	1.326	0.768	0.777	0	0	0	0	0	3.454	0.54	0	0.625	0	0.495	2.248	0	0	0	0.262	0	0	1.587	0	0.104	0.847	0	2.736	0.448	2.797	0.435	0.291	0	0	1.52	0.407	2.205	0	0.408	2.019	0	0.089	0	0.486	2.196	0	1.341	7.636	0	0	0	0.11	0	0	0.099	0	0.415	0	10.683	0.625	15.905	0	0	8.917	0	0	0.076	20.423	11.178	0	1.372	2.781	0.502	0	7.528	0.574	4.723	0.492	0	0	0	0	0	0	6.711	5.081	5.507	0	1.302	1.9	1.188	0.229	2.505	1.462	2.239	1.34	0	0	0	1.53	0	1.285	0.738	1.511	3.175	1.596	0
CFTR	0	0.498	0	0	0	0	0	0	0	0	0.263	0	0	0	0	0	0	0.583	0	0	0	0	0	0	0	0	0	0	0.298	4.87	0	0	0	0	0	0	0	0	0	0	0	0	0.751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78	0	0.04	0
ANKIB1	80.933	79.761	74.353	51.964	65.825	79.013	75.746	44.796	62.087	92.143	65.905	68.303	47.77	81.857	85.391	56.154	59.811	74.613	74.584	40.228	84.172	42.644	71.098	67.233	65.439	74.75	50.633	87.227	85.969	78.586	51.332	78.653	38.683	65.542	68.429	40.986	76.603	53.8	76.15	59.767	51.892	75.439	62.433	38.225	79.433	49.398	51.616	55.349	48.549	48.982	71.686	43.941	53.492	49.623	36.063	48.561	55.568	83.021	45.959	96.548	64.251	32.764	28.784	59.163	61.669	47.459	44.372	35.577	74.624	11.614	31.673	42.277	68.118	85.263	32.109	50.061	47.208	42.229	39.383	63.897	26.302	45.191	47.803	44.898	41.05	19.107	40.068	69.246	49.496	72.483	46.286	40.712	61.239	40.221	42.927	60.342	67.855	55.466	57.357	78.379	32.728	40.403	59.604	46.824	50.595	60.759	49.923	65.637	45.749	36.843	55.12	66.89	69.18	44.695	39.144	48.228	57.027	55.909
CYP51A1	0	0	0	0	0.555	0	0	0	0	0	1.028	2.591	0	0.564	0	0	0	0	0	0	0.179	0	0.178	0	0	0.333	2.339	3.027	0	0	2.293	0	0	0	1.606	0	0.114	0	0	0	0	0	0	0.145	0	0	0	0	0	0	0	0	0.361	0.398	0	0	0	0	0	0	0	0	0	0.261	0	0	0	0.781	0	0	12.202	0	0	0.091	0	0	0	0	0	0	0	0.277	0	0	0	0	0	0	0	0	0	0	0	0.251	0	0	0	0	0	0	5.664	1.04	0	0	10.705	0	0	0	0	0	0	0	0	0	0	4.474	0	0
KRIT1	8.816	7.327	10.793	2.22	7.3	3.921	1.47	3.64	7.277	2.806	5.049	9.806	7.173	5.266	1.208	10.435	4.752	0.125	2.727	1.541	15.916	2.519	2.267	2.835	9.116	4.238	0.159	6.994	1.257	2.471	9.374	0	0.687	4.363	0.785	1.777	12.125	4.384	9.824	6.2	1.156	8.798	11.468	6.347	3.678	1.051	2.789	0.671	3.357	0.079	8.204	2.217	2.084	8.344	11.401	2.019	4.118	0.521	2.436	0	2.461	21.295	12.736	13.328	5.314	0	0	12.511	0	10.955	5.895	3.303	9.399	3.886	14.483	0	16.479	5.786	41.476	5.614	0	2.402	4.71	4.682	6.084	23.88	7.394	3.242	2.551	13.953	3.471	4.82	2.319	5.125	4.404	15.18	13.201	16.62	2.645	17.383	3.202	4.99	3.427	6.667	1.066	11.214	0.521	6.7	10.001	10.227	4.343	2.998	13.934	5.073	7.904	11.229	3.422	2.999
RAD52	0.816	8.506	4.094	4.005	3.445	7.557	0.502	1.176	4.651	11.211	9.749	1.681	2.985	3.135	0	13.825	1.005	3.341	1.538	3.423	0	0	4.73	3.358	0	7.7	0	12.254	0	7.436	7.091	2.551	0	6.826	0.74	4.307	4.586	5.036	8.243	6.601	4.43	3.107	3.91	7.049	4.357	5.74	0.188	3.202	0.895	0.47	2.843	2.402	2.88	4.601	11.471	6.362	8.049	0	2.151	8.409	0	0	0	15.609	0	0	0	9.167	1.823	0	2.429	0	2.819	0	0	0	0	11.977	0.947	0	0.08	0	1.779	0	15.732	0	3.821	19.842	4.406	15.263	2.494	3.915	16.149	9.45	9.221	0	0	4.816	0	11.76	11.618	11.698	10.994	12.757	2.21	9.488	5.094	0	3.43	0	1.524	6.659	2.436	0	3.437	12.927	0	4.001
BAD	32.024	30.242	18.467	31.493	19.232	44.084	39.627	25.719	30.044	25.579	34.345	45.741	22.309	38.45	43.443	67.83	29.592	16.849	86.329	27.055	33.035	20.965	31.439	71.195	15.521	12.594	22.812	55.042	25.774	28.955	36.269	26.861	9.041	49.937	64.544	28.467	28.483	17.297	31.521	40.233	31.617	9.588	9.044	48.235	13.894	20.287	63.305	42.527	13.17	25.631	39.308	10.605	30.026	13.587	33.174	39.302	33.509	29.44	52.62	0.382	19.311	0	47.505	52.513	29.078	0	54.838	68.87	13.194	84.154	49.664	71.99	27.874	20.982	0	0	53.957	19.301	64.676	0	15.685	51.961	39.806	44.465	32.656	172.315	57.136	9.107	37.062	63.62	66.57	50.04	3.587	41.624	6.787	25.284	44.649	60.227	45.607	28.995	0.128	48.501	53.289	86.433	39.504	32.132	96.816	104.405	51.818	74.522	101.435	70.677	83.884	67.678	16.437	57.373	50.054	92.258
LAP3	113.981	70.008	84.944	115.282	82.709	113.033	93.302	52.388	125.966	111.782	108.976	62.853	81.38	93.782	67.326	140.439	95.143	115.894	87.492	110.301	86.394	153.264	93.735	136.341	89.808	72.3	849.696	46.046	35.186	53.44	241.99	46.014	27.572	79.612	110.538	28.208	68.694	124.391	66.558	74.562	121.494	156.973	134.055	62.834	71.138	70.006	80.714	292.377	84.961	51.853	123.88	62.656	47.251	61.972	197.398	49.812	133.388	78.933	157.04	14.308	122.163	22.92	57.165	113.67	78.276	165.252	28.155	74.63	74.172	144.574	45.42	92.044	62.891	27.286	98.959	39.653	69.24	46.355	65.711	55.215	228.709	47.07	145.592	61.154	27.984	73.784	144.205	104.014	48.849	53.984	69.117	105.214	65.035	95.738	97.196	93.096	70.098	90.505	83.593	57.119	162.06	60.736	73.838	112.75	107.192	64.962	71.998	83.074	74.368	80.289	76.464	183.098	103.356	112.607	79.084	89.579	69.151	105.231
CD99	0	0	0	0.088	0.405	0	0.071	0.167	0.264	0.401	0	0.065	0	0.069	0	0	0	0	0.164	0.649	0	0	0	0	0.36	0	0	0	0.454	0	0	0	0	0.104	0.18	0.51	0.166	0.191	0.103	0	0	0.085	0.381	0.316	0	0	0.16	0	0.085	0.2	0.22	0.068	0	0.218	0	0.392	0.208	0.06	0.216	0	5.223	0	0.54	1.522	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0.068	0.876	0	0	0	1.04	1.253	0.109	1.396	0	0	0.215	0	0	0	0	0	0	0.045	0.051	0	0	0	0	0	0.132	0	0	0.046	0	0	0	1.1	0	0	0	0.038	0.034
HS3ST1	0	0.822	1.694	0.79	0	0.284	0.387	0	0	0.241	0.527	2.823	2.315	0.247	0.061	0	0	3.619	0	0.878	0	0	1.096	0	0	0	0.242	0.708	0.068	0.182	1.78	0.055	1.565	0.5	3.253	0.368	0	0.172	0.062	0.688	1.395	1.954	0	1.396	0	0.399	0	0	0	0	0.619	0.041	0.792	1.793	0	1.416	0.083	0.216	0.487	0	1.496	0	0	0	0	0.059	0	4.9	17.728	0	0	0	0.588	0	0	0	8.773	1.794	0.486	0.528	0	1.338	0	0	0	0.278	1.282	0	0.969	0	0	0	0.75	0.257	0	0.844	0	0	0	0	0	0.386	9.031	0.857	19.253	2.831	0	0	0	0	3.006	0	0	0.115	1.406	0	0.207	0.021
AOC1	0	0	0	0	0	0	0	0	0	0	0.241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.329	0	0	0	0	0	0	0	0	0.378	0	0	0.654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.074	0	2.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.974	0	4.216	0	0	1.015	0	0	0	0	1.501	0	0	0	0	0	0
WNT16	1.048	0	0	2.507	0	0	0	0.252	2.092	0	0.471	0	0	0	0	0	0	0	0	0	0	0	2.352	0	0	1.099	0	2.439	0	1.972	0	0	0	0	0	0	0	0	0	0	0	2.446	0	1.271	2.659	0	0	0	7.664	0	3.321	0	0	0	0	0	0	0	0	0	0	0	5.041	12.176	0	0	0	0	0	0	0	0	2.829	0	0	0	28.481	0	0	0	0	1.726	2.56	4.639	0	13.751	0.566	7.895	3.64	0	0	0	0	0.46	7.109	8.171	0	0	0	0	9.706	0.967	1.087	0	0	6.825	0.066	1.849	0	0	1.041	0.91	0	0.287	0	2.349	0	0
HECW1	0	0	0	0	0	0	0	0	0	0.047	0	0	0	0	1.27	1.708	0	0.446	0	0	0	2.844	0.137	0	0	0	1.519	0.104	0	0.177	0	0	0	0	0	0	0	0	0	0.031	0	0	2.078	0	0.098	0.117	0.31	0	0	0.704	0	0.024	0.432	0	0	0	0.268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAD1L1	19.953	35.65	39.264	31.068	18.999	26.543	27.599	16.978	26.189	37.483	32.837	35.207	33.793	27.902	23.981	13.196	28.837	30.551	41.457	29.313	19.688	19.901	6.012	26.41	12.059	21.817	19.646	27.707	29.288	61.288	43.278	17.189	12.446	25.925	39.252	9.775	36.924	40.019	28.17	13.868	34.661	19.804	28.357	32.608	13.192	26.951	34.478	16.829	13.885	16.601	30.454	19.764	13.888	27.95	15.025	22.701	31.758	40.631	32.746	0	18.502	0.157	7.922	35.343	28.01	2.32	14.682	29.164	19.283	47.054	42.133	51.639	22.307	20.818	5.714	29.091	18.174	21.785	14.364	28.437	60.538	19.649	57.536	43.942	12.001	52.444	41.174	50.669	15.249	49.008	60.54	57.899	5.638	50.867	64.32	40.858	33.407	9.939	31.021	26.391	38.042	39.17	47.967	29.719	51.42	34.606	28.776	42.477	19.656	50.273	68.216	39.853	25.684	36.355	41.679	28.389	28.665	18.85
LASP1	187.461	152.889	182.761	182.219	146.258	179.037	146.416	102.911	169.176	182.551	195.864	231.806	152.619	159.351	132.116	185.308	127.352	139.229	198.895	162.71	131.759	130.104	79.398	162.964	106.46	101.12	159.81	106.412	173.698	155.486	195.963	88.569	140.032	142.058	187.666	105.631	189.848	149.496	106.242	136.126	171.478	139.745	168.446	167.015	100.698	137.172	167.163	98.74	179.104	81.994	134.037	170.925	86.362	138.087	137.912	170.305	129.639	165.332	190.025	255.142	113.409	182.526	235.004	192.058	217.557	257.058	275.26	188.805	109.325	169.046	176.357	262.212	167.306	178.468	184.443	318.685	208.011	181.668	227.176	156.239	117.523	137.273	192.364	181.476	121.003	92.367	262.725	157.241	109.708	223.217	162.104	170.659	90.436	148.564	194.725	178.175	178.153	184.648	155.687	219.846	167.373	153.57	254.481	248.786	284.551	186.782	149.521	190.172	167.632	168.1	232.105	205.938	196.958	156.968	194.433	239.031	141.567	170.175
SNX11	28.061	20.627	11.816	15.394	13.526	36.407	38.317	6.489	26.12	31.337	24.274	10.477	12.986	13.542	27.089	40.16	8.468	14.882	12.96	13.92	13.336	10.653	15.068	10.869	3.431	7.622	60.726	11.832	9.581	19.612	28.924	15.811	0	30.168	20.013	13.483	18.253	8.843	19.015	40.15	1.404	12.925	15.577	15.806	22.401	17.07	13.629	13.856	5.429	2.592	17.618	14.604	7.649	11.089	36.086	11.846	9.069	16.554	6.396	41.256	0.339	45.285	13.971	25.78	1.425	32.697	17.316	25.187	21.926	18.414	12.755	28.312	23.949	0	112.273	0	18.269	30.778	13.024	0	11.144	11.938	16.787	39.017	22.733	12.593	45.588	42.689	4.462	9.804	17.654	20.033	24.084	22.128	9.184	11.148	42.433	9.486	23.604	13.594	6.901	15.5	4.483	25.587	19.934	6.351	12.974	34.222	7.528	7.457	21.2	17.342	48.722	11.066	21.081	29.497	21.416	23.011
TMEM176A	0.786	1.633	0	0.247	0.715	0.888	4.738	1.298	5.228	6.232	5.827	1.012	3.762	15.198	5.099	1.469	7.567	1.565	10.885	0	9.215	0	8.452	2.311	0.169	19.579	18.287	3.118	0	12.651	0	5.249	0	0.147	6.108	0	29.025	4.583	8.176	0.373	0	2.776	11.571	32.617	8.395	8.085	10.284	4.787	4.31	0.707	3.735	22.755	0.867	7.286	1.797	0	0.294	0.254	0.076	0	0.702	0	3.506	4.431	1.6	16.67	3.231	0	0	0	11.27	0	6.895	17.98	0.099	0.1	13.141	0.948	0	0	5.968	2.856	16.8	0.87	0	11.339	12.388	0	5.383	1.42	0	1.293	1.455	12.33	23.402	2.047	0	1.273	0	0	23.467	60.475	2.228	0.488	0	12.421	2.851	28.043	19.408	11.454	20.482	3.868	1.438	4.9	6.131	18.283	2.376	10.745
