Gene.symbol	Healthy001	Healthy002	Healthy003	Healthy004	Healthy005	Healthy006	Healthy007	Healthy008	Healthy009	Healthy010	Healthy011	Healthy012	Healthy013	Healthy014	Healthy015	Healthy016	Healthy017	Healthy018	Healthy019	Healthy020	Healthy021	Healthy022	Healthy023	Healthy024	Healthy025	Healthy026	Healthy027	Healthy028	Healthy029	Healthy030	Healthy031	Healthy032	Healthy033	Healthy034	Healthy035	Healthy036	Healthy037	Healthy038	Healthy039	Healthy040	Healthy041	Healthy042	Healthy043	Healthy044	Healthy045	Healthy046	Healthy047	Healthy048	Healthy049	Healthy050	Healthy051	Healthy052	Healthy053	Healthy054	Healthy055	Healthy056	Healthy057	Healthy058	Healthy059	Healthy060	Healthy061	Healthy062	Healthy063	Healthy064	Healthy065	Healthy066	Healthy067	Healthy068	Healthy069	Healthy070	Healthy071	Healthy072	Healthy073	Healthy074	Healthy075	Healthy076	Healthy077	Healthy078	Healthy079	Healthy080	Healthy081	Healthy082	Healthy083	Healthy084	Healthy085	Healthy086	Healthy087	Healthy088	Healthy089	Healthy090	Healthy091	Healthy092	Healthy093	Healthy094	Healthy095	Healthy096	Healthy097	Healthy098	Healthy099	Healthy100	Healthy101	Healthy102	Healthy103	Healthy104	Healthy105	Healthy106	Healthy107	Healthy108	Healthy109	Healthy110	Healthy111	Healthy112	Healthy113	Healthy114	Healthy115	Healthy116	Healthy117	Healthy118
SLC36A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.487	0	0	0	0	0	0	0	0	0	0	0	0	0.593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THBS2	0	0	0	0	0.776	0	0	0	0.051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.46	0	0	0	0	0	0	3.863	0	0	0	1.858	0.628	0	0	2.803	0.351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041	0	3.26	0	0	0	0	0	0	0	0	0.039	0	3.04	0	0	0	0	0	0	0	0	0	0	8.52	0	0	0.028	0	0
RXRA	29.549	30.946	43.889	28.266	18.591	32.122	39.68	18.484	49.202	25.282	22.336	24.498	28.58	23.276	33.655	25.979	13.776	23.439	23.846	31.415	20.769	17.154	16.727	29.017	18.764	25.823	22.828	19.379	11.011	27.264	90.514	11.896	11.482	34.7	24.328	10.357	34.305	47.77	19.202	24.996	13.285	16.935	26.312	43.619	15.277	20.892	25.366	10.603	25.445	18.907	20.779	27.481	11.199	24.966	22.742	22.518	22.377	25.312	13.779	20.37	24.911	40.11	49.572	40.632	32.256	29.321	44.283	26.245	37.462	50.784	29.118	41.251	40.192	22.399	89.708	12.379	37.776	26.704	67.473	23.752	37.528	18.914	30.672	36.037	29.433	38.591	64.137	45.564	22.323	41.845	59.154	52.382	19.35	71.888	48.633	41.97	26.462	41.345	26.752	41.804	68.522	57.131	47.236	71.347	32.808	43.046	46.979	31.014	40.464	38.887	67.139	53.031	41.346	38.186	55.695	59.658	26.21	36.104
ANKRD37	0	1.602	0.858	7.672	0	0	0.136	0.477	0.252	1.273	0	7.694	0	10.443	1.162	0	3.673	0.603	14.99	0	13.172	2.019	0.496	5.259	7.079	1.158	5.161	6.727	0	0.575	1.47	0	0	0	2.574	9.908	2.377	0	0	0	2.289	2.767	3.084	1.807	0	5.53	1.219	0.179	0	5.148	0.28	0	0.835	1.384	0.757	3.112	12.544	0.456	8.221	0.253	4.498	0	0	1.811	0	0	0	0	0	0	0.877	0	0	0	0	0	10.325	0	0	0	0	0.128	5.086	3.87	17.579	5.72	0	4.366	3.169	0	9.698	6.051	0	2.558	3.316	5.075	17.203	0	4.241	0	0	0	36.909	5.097	0.855	6.783	3.677	1.503	12.378	5.773	6.112	0	15.124	0	3.886	0	0	8.837
NUDT17	3.301	2.182	9.685	1.298	0	0	9.736	2.973	0	0.198	2.595	0.58	10.883	0.406	0	0	8.261	9.388	0	0	0	0	0	22.744	5.333	0	14.584	7.419	0	12.834	0.381	0	0	8.939	9.085	3.63	0	0	8.276	0.261	0	10.136	5.932	10.319	5.233	0.492	1.186	0.279	5.279	19.889	11.763	4.251	3.901	1.939	0	6.009	3.495	0	2.56	0	0	0	0	2.537	0	0	15.576	3.38	0	0	2.503	0	17.595	0	0	0	74.736	43.99	0	0	0	0	0	10.591	0	4.282	0	0	0.159	27.769	32.876	0	8.36	16.474	13.491	12.615	0.148	0	0	2.883	0	6.228	0	10.241	0	0	0	0	0	7.238	6.505	0	0	9.271	15.843	0	20.184	0
KIAA1024L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.543	0	0	0	0	0	0	0	0	0	0	0	0	0	0.174	0	0	0	0	0	0	0	0	0	0	0.393	0	0	0	0.285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF75D	4.311	13.559	6.411	15.145	4.379	7.814	9.926	2.047	8.573	14.018	11.485	17.514	2.389	4.692	9.306	1.249	4.324	6.843	7.799	16.708	3.949	10.503	3.469	6.042	1.987	1.84	8.173	10.605	0.163	11.169	13.534	5.748	23.191	11.384	12.271	2.205	4.916	7.083	9.832	15.782	29.264	4.618	3.775	4.255	11.578	6.994	6.573	7.938	3.971	1.082	8.152	8.707	6.004	7.487	4.47	9.138	18.035	12.463	14.541	6.507	8.241	2.661	1.322	6.988	6.593	0.07	3.297	11.794	21.061	0	5.75	0	3.626	0	0	12.767	3.537	2.847	1.261	13.29	22.247	0.971	9.14	10.649	15.74	6.035	5.418	0.787	2.514	12.619	14.677	20.916	6.29	11.482	6.111	5.39	3.704	7.001	4.621	3.06	8.003	11.602	12.861	19.534	5.271	7.193	1.96	22.961	23.985	5.872	3.191	7.458	17.372	2.006	5.641	11.862	10.223	1.082
CYP4X1	0	0	0.434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.693	0	0	0	0	0	0	3.361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.437	16.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.384	0	0	0
KRT26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT10	28.382	35.656	21.165	34.923	14.625	30.797	58.231	13.978	34.084	28.804	35.526	35.692	21.028	29.688	38.221	44.5	1.964	25.756	42.467	43.85	106.166	5.162	26.238	14.062	38.469	41.245	19.553	35.416	40.025	37.598	28.893	25.139	10.679	35.494	34.279	12.157	33.369	3.062	36.245	48.178	29.516	29.377	17.684	22.717	22.137	35.365	35.21	6.689	26.229	23.172	20.203	20.652	11.658	48.791	28.797	27.714	8.263	26.882	38.581	99.823	14.815	50.777	27.95	40.962	9.386	43.145	41.744	3.732	39.55	0	52.753	0	19.968	3.647	48.332	0	49.7	9.396	59.237	24.585	0	14.055	9.875	31.894	4.861	27.137	36.471	1.751	7.627	23.523	17.874	19.006	36.531	26.304	11.456	19.821	27.22	37.993	2.756	24.975	6.618	16.578	20.865	2.473	34.865	10.279	19.408	17.478	35.535	21.022	17.223	33.321	0.56	16.952	21.512	30.083	26.291	12.432
