Gene.symbol	BRCA001	BRCA002	BRCA003	BRCA004	BRCA005	BRCA006	BRCA007	BRCA008	BRCA009	BRCA010	BRCA011	BRCA012	BRCA013	BRCA014	BRCA015	BRCA016	BRCA017	BRCA018	BRCA019	BRCA020	BRCA021	BRCA022	BRCA023	BRCA024	BRCA025	BRCA026	BRCA027	BRCA028	BRCA029	BRCA030	BRCA031	BRCA032	BRCA033	BRCA034	BRCA035	BRCA036	BRCA037	BRCA038	BRCA039	BRCA040	BRCA041	BRCA042	BRCA043	BRCA044	BRCA045	BRCA046	BRCA047	BRCA048	BRCA049	BRCA050	BRCA051	BRCA052	BRCA053	BRCA054	BRCA055	BRCA056	BRCA057	BRCA058	BRCA059	BRCA060	BRCA061	BRCA062	BRCA063	BRCA064	BRCA065	BRCA066	BRCA067	BRCA068	BRCA069	BRCA070	BRCA071	BRCA072	BRCA073	BRCA074	BRCA075	BRCA076	BRCA077	BRCA078	BRCA079	BRCA080	BRCA081	BRCA082	BRCA083	BRCA084	BRCA085	BRCA086	BRCA087	BRCA088	BRCA089	BRCA090	BRCA091	BRCA092	BRCA093	BRCA094	BRCA095	BRCA096	BRCA097	BRCA098	BRCA099	BRCA100	BRCA101	BRCA102	BRCA103	BRCA104	BRCA105	BRCA106	BRCA107	BRCA108	BRCA109	BRCA110	BRCA111	BRCA112	BRCA113	BRCA114	BRCA115	BRCA116	BRCA117	BRCA118	BRCA119	BRCA120	BRCA121	BRCA122	BRCA123	BRCA124	BRCA125	BRCA126	BRCA127	BRCA128	BRCA129	BRCA130	BRCA131	BRCA132	BRCA133	BRCA134	BRCA135	BRCA136	BRCA137	BRCA138	BRCA139	BRCA140
TSPAN6	0	1.073	0	12.694	1.159	0	0	1.339	3.134	1.607	5.014	0.098	0.517	6.519	0.319	1.545	0	0	0	0.728	0	0.929	0.433	1.135	3.578	0.749	0	0	5.435	0.953	1.817	0.196	0	0.113	2.176	0	3.063	0.963	0	6.083	0	0.433	0.923	0	0.133	3.597	0	4.663	4.241	0.902	0.826	1.318	2.136	0.372	0	5.729	10.282	1.259	0.523	0.092	2.966	0.067	0.749	4.732	2.462	3.688	10.89	2.783	1.888	2.943	1.074	0.787	1.538	0.274	3.497	1.374	1.332	0.565	3.97	1.386	0.854	1.232	3.958	1.833	0.812	1.101	6.756	4.14	0	3.92	2.198	2.878	0.812	1.152	2.994	1.14	1.725	0.274	0.103	2.005	2.178	3.016	0.056	3.001	0.051	2.291	1.448	5.476	0.354	5.534	1.517	1.38	2.483	7.58	1.768	2.814	1.203	1.168	1.105	3.655	0.558	0.804	0.388	4.435	0.751	3.094	2.576	0	0	3.313	4.012	1.478	6.403	2.119	0.419	8.601	2.082	3.233	3.872	0
TNMD	0	6.045	59.288	23.283	10.121	0	0	0	0	6.142	0	0.551	8.73	0	0	0.768	0	5.906	0	6.149	0	0	0	0	0	0	0.719	0	5.741	0.244	4.992	3.533	0.443	0	1.245	0.79	0.7	0.094	0	1.546	0	0.366	4.457	0	0	0	3.602	0.773	0.893	0	0	0	0	0	0	0	0	0	1.768	1.814	6.863	0	36.58	0	0	0	13.723	8.818	0	0	0	0	0	0	0	2.123	0	1.303	0	0	0	0.124	4.667	2.704	0	3.877	9.673	0	0	0	0.59	0.352	0	3.554	6.239	0.357	3.797	0	3.107	0.594	0.736	0	0	2.433	2.568	4.993	0	0.544	1.567	8.645	1.179	1.183	0	0	0	0	4.896	9.045	0	1.694	0	1.558	3.884	1.201	1.057	1.367	2.639	0	1.48	0	0	0	0	0	0	0	0	23.084	0	0
DPM1	30.483	135.055	28.679	88.733	43.115	10.81	62.911	26.696	54.39	70.722	68.783	126.055	131.974	54.07	37.193	119.2	47.561	84.03	34.943	96.473	50.623	63.43	59.308	82.121	69.111	68.332	86.45	70.108	85.607	90.153	103.709	58.915	55.689	67.817	55.195	30.397	86.165	43.186	80.257	81.626	166.948	58.079	107.827	75.957	91.732	47.93	54.627	133.988	74.015	66.849	74.181	36.577	48.146	27.156	85.152	123.092	49.434	66.002	43.236	35.251	40.996	43.373	58.177	72.591	39.239	84.287	52.045	109.514	40.614	45.874	79.847	55.554	63.178	64.93	83.055	70.117	74.93	50.405	75.52	85.76	32.53	122.68	73.84	55.082	94.874	106.02	84.822	22.623	82.106	35.792	40.892	85.103	53.629	57.093	64.423	65.679	84.271	75.45	112.143	67.003	81.521	59.861	69.276	52.615	82.984	55.388	75.027	57.852	56.822	87.709	53.255	65.584	75.872	83.435	119.031	73.19	71.84	113.193	82.198	75.783	77.367	40.608	84.522	41.978	63.003	45.353	52.575	54.684	66.384	85.249	41.457	56.565	13.053	53.871	56.916	96.319	84.153	155.841	71.103	108.485
SCYL3	9.212	27.483	1.524	18.672	7.637	16.379	13.523	7.938	12.193	14.217	13.95	9.474	39.819	10.778	5.961	5.51	9.008	2.763	1.425	7.877	2.084	10.233	13.127	14.775	12.935	14.732	10.353	21.006	18.903	16.751	15.413	12.604	18.184	19.117	15.392	24.831	22.91	14.183	11.391	8.287	9.939	14.35	11.698	14.548	14.828	9.195	6.677	16.287	16.113	15.95	11.839	5.854	16.886	9.314	10.545	13.006	10.708	11.322	10.546	9.272	8.166	9.552	10.942	11.755	7.217	13.444	6.483	11.779	6.05	7.542	11.272	11.644	11.393	11.266	15.19	9.755	15.397	12.937	21.546	16.926	16.372	15.83	13.039	15.064	17.921	22.582	21.143	10.166	12.584	10.27	12.342	17.727	11.292	13.012	16.838	9.848	15.559	15.125	10.014	11.402	15.559	17.063	13.667	5.961	19.859	14.099	10.089	14.814	18.262	18.046	13.405	10.71	15.486	3.16	8.456	14.602	13.831	6.386	20.733	16.825	13.002	6.889	12.323	12.587	6.486	13.189	6.326	18.89	6.491	17.939	19.827	6.961	30.968	10.258	5.56	18.113	10.373	6.612	10.658	5.233
C1orf112	12.463	0.102	8.086	0.449	12.597	7.697	4.023	4.07	9.017	14.654	12.22	5.575	6.281	0.654	5.825	0.553	11.93	1.381	6.74	7.111	1.336	13.857	2.268	11.326	15.618	10.041	9.228	2.568	5.203	7.505	6.97	3.247	5.886	11.857	0.698	4.14	0.189	8.635	2.947	11.471	1.897	3.258	2.572	3.753	3.509	14.944	1.332	0.718	13.948	5.219	8.119	8.142	8.593	35.786	4.408	4.988	2.185	9.15	7.712	25.866	14.814	6.427	13.381	6.743	1.032	17.517	9.947	4.864	10.245	3.894	2.041	3.857	5.321	10.98	11.124	6.502	9.314	8.594	12.786	4.038	14.488	9.164	4.093	8.622	6.356	3.505	8.429	9.677	7.899	3.152	5.408	5.802	7.583	8.464	8.137	3.851	2.991	12.14	8.435	6.817	4.04	4.983	3.631	4.838	3.273	18.268	11.481	4.798	6.189	5.019	16.536	8.069	11.196	24.438	5.607	8.99	3.76	6.878	2.99	3.797	1.891	4.203	8.286	8.751	9.511	4.794	2.981	3.194	8.786	11.66	4.405	7.323	15.997	7.564	3.745	0.641	0.116	3.432	15	0.094
FGR	210.242	85.967	350.857	309.832	197.31	217.546	212.794	211.715	249.756	210.954	258.096	227.919	255.899	215.798	257.055	309.245	185.296	159.113	285.446	228.793	140.095	189.417	234.895	249.746	230.897	227.915	207.589	213.981	305.003	281.395	250.202	223.424	198.361	243.002	236.205	257.019	169.896	209.283	237.796	167.713	245.241	424.605	268.152	241.589	242.336	154.884	222.747	232.604	285.254	330.957	294.457	321.59	156.207	136.115	163.209	181.402	154.287	126.66	179.307	125.238	163.039	117.226	261.791	99.597	217.462	211.09	167.107	223.936	186.758	219.437	150.728	187.875	234.598	285.99	245.901	202.877	262.522	194.586	161.708	180.769	238.968	243.621	270.666	213.816	279.335	209.064	190.565	119.376	184.322	249.302	162.498	217.268	158.784	197.862	267.63	148.325	168.565	230.564	314.175	262.546	232.616	229.376	319.723	172.953	191.111	236.399	162.886	221.015	306.764	236.078	148.295	138.363	211.103	217.144	254.533	234.084	215.913	237.262	279.531	140.829	169.905	220.029	264.689	216.211	175.662	181.014	273.538	238.967	212.466	181.473	256.212	223.328	228.799	190.706	209.859	200.238	224.623	224.731	216.627	148.116
CFH	4.854	2.763	1.03	29.914	15.941	7.049	4.15	10.148	10.428	16.998	6.559	3.485	11.504	5.273	6.756	9.768	4.511	24.827	1.806	4.457	6.915	5.264	3.028	2.529	3.295	3.544	2.045	0.873	7.827	4.534	1.998	4.649	7.399	2.811	3.635	9.009	10.764	4.217	1.601	9.881	13.355	1.037	2.912	7.444	0.025	2.857	7.12	3.818	3.421	4.905	2.676	6.201	1.119	1.923	6.997	2.987	14.097	3.504	9.378	1.28	3.952	2.279	7.787	6.284	12.622	2.361	4.84	7.049	1.595	2.124	3.973	4.189	1.595	2.851	3.197	3.677	3.772	1.145	2.561	1.338	3.026	3.014	9.277	3.693	12.138	3.257	1.536	2.899	1.039	8.552	2.535	4.181	1.568	3.329	5.184	3.738	6.634	0.712	6.179	4.524	6.113	4.235	4.883	2.785	3.469	3.37	2.131	4.556	3.633	5.826	2.417	5.477	1.505	0.561	2.729	5.607	8.189	4.194	6.324	11.23	1.887	0.42	6.023	1.33	2.137	8.578	3.455	7.091	13.641	4.652	8.44	3.475	11.151	1.207	0.934	1.737	0.764	10.057	3.095	5.313
FUCA2	27.187	1.524	10.516	16.297	15.997	13.828	30.169	21.067	31.38	25.344	0.775	1.588	0	0.399	3.975	29.815	2.192	12.937	1.405	15.191	6.658	6.031	14.847	3.226	5.363	9.814	15.656	1.352	11.54	16.034	23.38	22.914	9.448	2.937	20.54	22.5	3.361	17.315	1.102	3.268	0	14.834	10.418	8.925	11.676	12.848	23.761	9.601	11.263	8.447	5.716	20.086	2.856	6.213	5.058	5.328	5.027	11.196	12.23	7.617	10.32	10.462	8.921	9.283	9.65	11.277	24.508	10.73	2.643	11.859	3.363	10.37	12.488	15.737	13.95	11.516	16.191	7.261	7.775	10.278	3.972	15.433	11.957	9.21	20.236	10.393	1.737	12.73	12.621	18.576	8.921	6.705	7.596	7.304	12.122	1.851	6.741	19.193	12.871	8.053	1.839	12.881	27.565	1.846	4.606	8.493	17.136	15.168	12.073	6.871	15.031	3.993	11.467	23.557	8.696	10.71	18.454	13.651	13.707	2.554	9.612	8.081	6.857	8.586	6.028	1.379	13.689	1.426	14.824	9.122	6.786	5.156	13.051	10.48	3.66	0.685	6.762	4.254	11.662	4.298
GCLC	19.738	28.773	10.191	42.426	21.461	16.782	12.862	31.219	17.3	26.368	15.405	42.429	1.626	18.774	18.368	7.247	39.13	32.04	48.782	17.448	8.972	16.692	17.746	20.174	15.543	30.862	17.367	19.112	25.245	23.013	18.684	24.448	36.005	25.418	20.03	29.116	32.157	7.841	16.391	18.184	17.895	13.581	27.593	26.705	12.783	33.531	52.041	28.345	37.88	18.883	18.239	22.744	20.493	55.862	25.859	26.418	22.501	26.121	20.687	17.321	17.058	9.646	20.894	31.694	16.879	14.571	23.751	14.741	17.761	16.982	23.984	15.052	24.289	25.802	19.543	13.625	29.225	15.071	26.456	27.192	26.8	28.598	48.282	9.932	19.377	27.399	35.731	18.061	36.39	24.72	14.162	20.873	21.709	30.96	29.993	30.164	38.008	15.105	39.626	26.179	20.659	20.84	23.087	20.128	16.793	14.739	15.955	19.768	22.338	14.586	14.759	24.352	16.698	23.233	21.705	31.967	28.544	16.506	26.196	35.281	34.112	13.052	19.937	15.836	30.653	18.994	22.633	35.637	37.345	12.09	18.239	21.278	17.615	20.649	18.888	20.921	28.797	22.984	9.959	25.963
NFYA	46.115	77.089	60.278	16.159	52.828	83.405	77.128	89.083	42.533	56.27	36.939	45.51	164.427	51.96	57.884	71.611	43.583	13.307	119.678	75.706	24.816	47.712	72.444	56.24	53.93	72.118	65.627	56.472	58.268	75.711	45.394	62.089	61.662	49.101	46.09	57.381	45.762	42.535	76.525	112.28	94.581	73.99	69.87	74.776	83.144	63.689	55.567	84.147	78.674	85.183	69.973	41.785	33.786	55.019	44.863	53.984	75.913	35.621	69.588	33.166	33.657	45.044	42.349	38.709	78.606	61.362	82.531	64.899	49.283	59.154	52.495	45.6	73.031	72.9	49.578	54.964	58.151	48.137	60.32	54.818	47.679	61.528	68.57	55.866	80.095	64.29	73.358	29.481	60.729	71.919	50.559	53.311	54.534	74.287	78.783	57.279	83.919	51.811	52.579	74.838	75.279	60.231	76.592	27.701	72.277	40.589	40.63	49.218	68.736	57.826	48.608	75.734	75.832	24.945	81.59	58.605	54.098	65.447	46.65	71.84	66.873	42.053	39.128	50.136	30.725	25.985	57.13	24.785	44.238	69.599	56.101	64.624	51.23	57.987	54.64	37.931	60.074	81.399	61.166	37.949
STPG1	1.104	4.645	0	3.303	1.359	0	0.345	2.25	0	0.917	0.339	6.15	0	4.326	5.558	0	0	3.575	0.461	1.219	0.312	1.214	1.641	0.681	0.855	1.026	0.217	0.157	2.673	2.377	1.582	2.381	0.168	0.743	0.616	2.668	2.47	1.363	0.499	0.146	2.004	1.546	1.03	2.333	7.829	0.664	1.438	0.633	9.018	2.532	1.174	3.76	0.067	1.642	1.259	0.694	4.183	0.437	1.895	1.274	1.129	1.216	0.998	1.129	1.131	0.589	1.069	4.077	0	0.058	0.899	1.119	0.028	1.364	0.782	1.653	1.541	1.561	1.058	2.93	1.241	2.462	1.3	1.767	0.692	1.504	1.53	0.902	2.414	0.073	0.781	1.2	1.17	1.637	0.35	3.375	1.235	0.438	3.067	2.98	2.879	0.699	1.677	0.896	1.269	2.557	1.378	2.3	0.62	0.223	1.31	0.607	0.676	1.704	3.419	1.148	0.712	1.307	0.118	1.799	1.12	1.259	1.355	1.318	0.845	3.264	0	1.404	1.12	1.19	0	0.029	0	1.418	0.028	0	0.027	1.277	2.962	2.592
NIPAL3	17.606	6.403	2.677	7.545	7.043	9.824	2.709	23.488	12.81	7.472	11.899	11.792	1.37	10.914	4.414	7.496	11.558	8.628	2.608	7.469	12.034	8.752	10.815	8.418	10.751	9.751	6.889	11.384	10.534	13.764	6.645	7.127	8.19	11.394	7.396	8.131	7.865	16.292	12.545	12.925	11.298	11.317	9.664	11.951	8.755	14.316	11.236	17.594	21.141	7.978	9.684	14.432	9.512	17.325	11.24	14.543	12.21	7.02	17.405	10.557	8.225	11.878	11.261	11.718	5.609	7.795	12.899	11.238	8.793	13.511	14.059	13.121	12.867	9.392	9.494	15.648	7.525	10.981	15.8	5.548	4.962	9.762	9.122	11.825	7.302	10.554	5.43	11.887	8.054	11.649	16.301	7.725	9.692	8.836	12.739	9.59	10.686	8.077	12.183	10.635	10.043	15.588	9.352	9.603	12.337	10.507	10.378	8.233	7.586	9.733	10.139	13.017	9.924	10.252	9.868	11.069	8.898	12.726	12.106	17.133	12.206	10.982	14.402	5.347	11.989	15.679	14.738	4.598	21.507	6.218	11.126	15.339	8.607	11.857	17.694	12.078	3.992	10.216	6.445	18.971
LAS1L	33.476	73.243	59.119	85.513	98.942	41.463	50.488	57.318	52.676	75.806	48.503	25.159	126.159	53.994	27.292	45.141	22.049	46.162	48.437	65.708	46.012	34.794	25.187	36.276	36.476	32.422	48.558	36.202	40.41	34.757	29.407	42.432	25.234	33.358	33.139	48.259	23.277	21.51	46.936	12.173	63.344	31.761	57.128	39.687	44.447	26.5	32.356	27.724	37.822	37.006	30.029	41.6	44.699	17.939	28.064	21.723	24.94	22.513	30.134	13.285	20.801	29.026	50.357	28.714	25.629	31.518	22.402	39.342	8.296	21.76	43.701	26.692	32.151	39.99	34.857	14.279	25.446	25.733	29.679	46.939	33.74	18.96	29.764	33.704	40.253	45.681	30.469	21.375	23.858	34.321	34.008	34.016	20.375	32.271	14.978	24.771	33.992	20.701	35.097	51.287	37.332	37.24	42.374	11.547	31.65	42.655	21.996	32.097	22.121	27.771	24.699	24.579	43.47	13.502	32.307	30.684	31.463	28.662	38.408	38.588	48.593	24.229	48.99	44.29	25.418	21.705	29.501	39.094	42.849	35.476	42.324	49.307	41.676	31.064	28.709	18.064	19.122	33.384	23.869	39.314
ENPP4	8.163	10.985	0	0	0.226	0.112	5.372	9.538	3.711	0.112	0	7.248	1.259	0.36	4.567	0.709	0	1.227	0	2.737	0	4.856	2.346	3.46	4.517	5.633	15.172	2.149	9.223	7.559	9.029	9.097	5.329	6.797	2.487	8.943	10.938	2.721	2.395	4.593	1.671	2.111	2.314	5.359	2.381	5.05	3.094	13.76	2.087	1.015	4.268	3.358	2.634	1.71	0	1.981	3.234	2.935	9.486	1.435	0	4.123	9.497	3.652	0.993	4.135	8.197	4.138	7.492	2.976	1.945	1.194	4.81	4.369	1.389	3.198	5.418	5.814	4.055	2.478	5.678	4.634	2.962	3.744	5.067	3.691	1.482	1.04	2.122	7.022	1.071	2.074	1.862	8.558	3.16	4.57	4.363	4.005	7.763	8.128	4.333	1.087	0.713	6.029	3.803	1.265	5.347	4.523	2.811	4.217	3.672	3.275	7.424	1.732	4.04	5.702	2.607	4.953	1.853	2.706	12.256	3.627	4.37	1.913	0.732	0	0	11.255	0.064	6.321	1.358	1.014	0	1.633	8.433	0.658	0.446	2.935	7.369	5.763
SEMA3F	1.541	0.504	0	0.277	0	4.759	0.812	0.097	1.473	1.294	0.15	0	1.942	2.312	0	0.342	0	12.084	0.406	0.098	0	2.38	1.764	2.801	1.121	0.05	0	0.276	4.714	2.808	2.665	3.021	0.111	3.258	1.63	1.543	0.545	0.281	1.306	6.748	0	0.57	2.148	0	0.292	0	0.178	1.146	0.112	1.206	1.898	4.035	3.365	0.4	5.551	4.16	1.143	0.309	0	0.778	0.498	3.406	3.99	0.973	0	1.559	0	2.353	0	0.102	3.461	5.015	0.698	1.031	1.298	0.292	3.862	0.821	0	1.997	4.925	4.879	0.605	5.576	3.624	6.661	1.375	4.538	1.795	0.343	2.36	1.764	1.391	2.01	2.621	4.88	1.875	0.257	2.267	2.38	1.31	1.109	3.856	1.068	2.38	1.625	0	0.666	2.614	0.087	0.983	4.678	4.925	0.167	0.712	1.198	1.382	1.481	6.437	4.869	1.774	5.716	2.632	1.763	2.077	4.047	2.696	1.474	9.505	1.489	4.661	1.132	21.06	1.482	14.974	0	7.636	0.052	2.465	3.355
CFTR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0	0	0.543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039	0	0	0.125	0	0	0.021	0.021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKIB1	77.295	66.711	102.982	49.006	56.473	49.631	53.593	50.759	46.607	67.525	43.386	45.105	112.692	68.063	75.893	73.545	50.563	63.657	51.175	61.425	62.373	60.454	69.821	60.03	55.405	74.951	42.054	26.883	57.436	64.159	55.966	67.147	54.314	70.225	53.986	55.431	78.119	58.74	44.294	94.225	54.77	64.94	49.785	51.878	45.062	65.277	61.69	76.712	58.312	49.678	56.169	33.664	38.035	60.134	65.243	66.157	50.913	47.651	64.941	40.31	48.782	54.982	80.297	46.302	65.021	89.912	49.217	44.688	57.902	74.468	76.905	49.248	56.005	57.111	56.35	47.789	50.375	59.501	75.604	57.925	40.227	57.181	63.963	57.113	91.096	59.183	54.321	36.423	50.343	59.372	48.657	48.871	59.603	53.105	74.018	70.416	69.443	80.583	60.569	64.766	69.334	62.094	44.764	43.725	71.464	52.628	50.804	66.054	49.447	41.97	52.86	58.183	64.36	35.141	49.074	58.006	55.534	73.751	97.939	80.681	68.65	40.19	64.332	71.985	46.535	54.438	40.255	54.466	36.554	59.695	65.892	53.24	57.668	67.347	46.875	59.214	42.899	57.266	58.435	52.589
CYP51A1	0	0.17	0	0	0.733	0	0	0	0.661	0	0	1.857	0	0	0	5.751	1.922	0	2.737	0	0.593	0	0.487	1.257	0.116	0	0	0.186	0.132	0.055	0.617	0.347	0	0	0	0	0	0	0.082	0	0.754	0.329	0	2.24	0	0	0.419	0	0.702	1.141	0.349	0	0	0	0	0	0	0.069	0	0.815	0	0.085	0	0	2.686	0	0	0.528	0	1.379	1.068	0	0.537	1.62	0.601	0.224	0	0.39	0	1.929	0	0.223	0	0.11	0	1.132	0	0	0.281	0.288	0	0	0	0.833	0	0	2.388	0	0.044	0	0.441	0	0	0	3.782	0.164	0.524	0	0	0	0.265	0.076	1.117	0	0	0.612	0	0	0.559	0	0	0	0	0.216	0	0	2.963	1.191	0.499	1.185	0.776	0	0	0.81	0	0	0	0	0.079	0.078
KRIT1	13.565	12.353	0	17.479	4.321	12.703	16.661	12.269	4.964	5.118	5.295	7.078	5.097	0.989	0.778	3.057	0	9.094	15.652	4.483	4.453	6.726	6.719	2.905	3.521	8.055	1.044	1.539	7.793	5.287	3.109	4.843	5.23	2.782	6.065	14.374	6.657	8.523	2.079	1.337	8.903	3.64	4.433	3.984	7.56	11.814	6.335	8.756	0.782	6.744	4.05	6.899	7.209	10.528	3.298	4.873	0.081	8.561	5.276	3.093	0.465	3.581	4.564	3.495	7.075	12.175	8.031	2.898	2.808	4.861	7.122	3.453	8.491	6.149	5.081	3.629	6.287	4.659	5.481	7.295	6.3	9.393	12.65	2.488	2.344	6.238	4.445	2.522	8.441	7.396	2.257	11.251	2.547	5.173	11.484	11.204	9.656	5.905	10.052	1.928	6.051	23.723	4.356	9.971	10.146	3.95	6.202	3.249	10.168	3.909	3.059	6.182	5.566	12.207	8.125	8.068	7.33	4.524	12.406	15.589	15.365	4.85	4.977	5.174	2.714	5.321	3.253	11.74	21.125	6.897	10.102	4.802	10.307	0.828	3.908	4.746	2.079	2.893	1.963	14.806
RAD52	9.902	0.29	0.501	0.32	0.376	0	0.117	0.446	2.665	0.497	5.772	2.647	26.277	1.598	0	3.444	17.172	0	0.234	3.375	0.888	4.203	3.959	9.831	0.645	1.158	0.718	0	2.715	0.891	5.706	2.503	4	3.548	0.147	13.655	6.004	3.631	5.736	0	1.008	2.578	5.851	6.201	3.892	3.011	1.692	4.223	1.502	0.526	3.909	0.874	5.507	1.553	9.184	3.495	0	2.547	5.095	0.199	2.408	2.252	3.244	3.521	5.606	4.257	16.44	1.581	12.052	3.658	8.636	0.758	3.272	1.682	4.813	3.742	5.602	3.505	2.898	4.251	0.756	2.905	6.725	0.85	2.021	4.32	3.717	0.475	4.375	2.763	5.946	1.625	6.045	4.334	1.687	1.234	1.984	3.902	7.162	1.485	2.924	5.18	4.624	3.642	6.141	3.603	2.464	3.975	1.807	4.58	3.113	3.311	3.225	0.961	1.586	5.235	2.171	3.981	5.453	0	6.64	2.666	8.396	7.846	3.928	4.399	0	0.204	17.843	0.234	1.086	3.318	7.152	5.493	11.346	10.952	0.77	10.62	2.772	0.866
BAD	19.021	68.019	0.614	88.571	0.923	15.585	39.868	13.124	41.21	37.178	69.952	68.563	137.837	38.863	2.261	34.274	41.677	69.773	63.169	52.994	39.196	44.824	26.834	36.553	38.852	80.102	26.008	27.437	52.31	41.859	20.587	43.716	14.51	27.214	39.818	76.671	38.249	56.803	36.294	52.097	42.523	42.423	39.208	65.056	48.324	43.676	6.161	80.524	70.722	54.515	42.263	78.447	43.697	37.817	34.508	21.297	20.256	27.753	17.221	14.654	29.814	54.708	31.829	52.738	39.226	74.414	36.779	47.469	35.271	22.866	44.204	31.592	34.083	28.405	40.925	53.081	43.958	42.307	22.752	34.228	28.452	27.223	31.651	44.949	68.985	30.7	66.519	48.461	34.554	47.923	59.184	27.91	41.954	42.677	60.229	36.996	30.921	40.11	44.657	41.185	30.54	47.525	25.075	37.303	27.304	20.546	32.416	38.83	50.361	55.438	35.69	7.008	35.305	6.446	59.834	33.975	61.773	32.709	53.276	62.889	95.906	50.853	72.202	54.121	52.054	89.708	14.923	57.8	59.294	50.872	86.262	44.043	53.355	44.61	37.716	77.694	61.896	73.419	115.417	41.519
LAP3	86.866	121.65	176.256	59.068	148.878	87.011	96.813	124.734	143.227	146.178	113.2	187.863	175.458	125.708	141.433	181.999	52.781	145.035	152.893	108.609	33.971	68.368	74.44	74.481	72.272	109.529	81.543	96.469	108.508	97.508	123.581	89.852	79.09	116.755	71.301	74.283	116.754	56.281	85.994	30.743	72.561	50.582	108.315	103.307	103.553	114.577	88.746	50.506	102.912	142.407	132.912	78.694	96.334	83.032	76.701	201.631	97.1	87.927	94.132	82.216	77.042	61.034	170.71	69.741	67.243	86.821	81.266	87.849	155.653	77.454	117.109	94.657	77.219	94.107	101.442	96.662	80.53	125.695	57.715	85.975	237.987	146.731	115.142	113.336	180.602	116.105	107.116	54.032	156.565	96.551	71.783	76.618	70.123	68.422	97.362	53.727	154.456	105.701	181.696	91.535	81.956	80.755	109.043	84.492	99.6	86.863	60.247	104.438	81.813	78.337	83.345	76.11	105.506	42.925	97.407	251.466	122.716	163.902	78.266	73.885	84.962	100.704	94.956	122.521	122.546	81.689	55.909	61.485	74.682	77.93	150.297	84.615	73.863	96.049	128.494	51.731	105.517	89.039	123.921	60.265
CD99	0.877	0	0	0	0.214	0	0	0	0.344	0.636	0.073	0	0	0	0	0	0.312	0	0	6.334	2.272	0.156	0.222	0	0	1.926	0.094	0	0.096	0	0.041	0.145	2.359	0.765	0.22	0.111	0.038	0.245	0.09	0	0	0.4	0	3.44	0.205	4.251	0	0	0	0.16	0.113	0.078	0.058	0.883	0.198	0.962	0	1.01	0	0.17	0	0.62	0.231	0.41	0.157	0.227	0.088	0	3.126	0	0.071	0.162	0.049	0	0.159	0.696	0.351	0.332	0	1.365	0.036	0	1.36	0.645	0.187	0	0	0.521	0	1.136	0.193	0.231	0.044	0.101	0	0	0	0.042	0.255	0.292	0	0.061	0	0.126	0	0.12	0.191	0	0	0.558	0.531	0	0.357	3.772	0.093	0	0	0.216	0.204	0.854	0	0.186	0.438	0.236	0.039	0.504	0	0	0	0	6.688	0.202	0.692	0.045	0	0.156	0	0.051	0	0
HS3ST1	0.096	0.074	0	0	1.03	0	0	0	0	2.486	0.751	0	2.151	0	0	0	4.499	2.018	0	0.115	0	0.047	0.855	2.049	1.554	1.931	1.502	0.435	1.219	1.756	0.098	1.284	0.044	0.691	0.17	0.645	0.368	0.443	2.979	0.127	0	0.337	0.537	0	0.123	0.852	0	0.085	2.862	1.791	1.037	0	0	1.092	2.744	2.516	0.43	0.334	0.639	0.664	1.53	0.522	0.693	0.602	0.047	0	0.371	1.584	0.398	0.303	1.193	0.632	0.501	1.32	0.551	0.837	0.867	0.057	0.892	2.155	0.776	1.246	1.431	1.842	0.812	0.956	0.563	0	1.184	1.671	0.436	0.069	0.636	3.443	4.533	1.688	0.838	3.194	1.589	0	0.919	1.857	0	0.227	1.463	1.825	0.057	0.68	0.393	0	1.598	0.3	1.256	0	0.505	0.366	1.411	0.032	1.473	1.541	1.072	0.168	0.981	1.326	0	0.707	0	0	0	6.64	0.093	2.25	5.183	0.794	0	0	0.733	1.951	0	0
AOC1	0	0.318	1.097	0	0	0	7.174	0	0	0	0.094	0	0	0	0	0	0	0.995	0	0	0.139	0	0	0	0	0	0	0	0	0	0.473	0	0	0	0	0	0	0	0	0	0	0	0	3.038	0	0	0.168	0	0	0	0.98	0	0	0	2.675	0	0	0	0	0	0	0	0	0	0	0	0	0.66	0	0.776	0	0.311	0	0.434	0	0	0	0.061	0	0	0	0	0	0	0	0.245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0	0	0	0	0	0	0.92	0.506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.741	0
