Gene.symbol	BRCA001	BRCA002	BRCA003	BRCA004	BRCA005	BRCA006	BRCA007	BRCA008	BRCA009	BRCA010	BRCA011	BRCA012	BRCA013	BRCA014	BRCA015	BRCA016	BRCA017	BRCA018	BRCA019	BRCA020	BRCA021	BRCA022	BRCA023	BRCA024	BRCA025	BRCA026	BRCA027	BRCA028	BRCA029	BRCA030	BRCA031	BRCA032	BRCA033	BRCA034	BRCA035	BRCA036	BRCA037	BRCA038	BRCA039	BRCA040	BRCA041	BRCA042	BRCA043	BRCA044	BRCA045	BRCA046	BRCA047	BRCA048	BRCA049	BRCA050	BRCA051	BRCA052	BRCA053	BRCA054	BRCA055	BRCA056	BRCA057	BRCA058	BRCA059	BRCA060	BRCA061	BRCA062	BRCA063	BRCA064	BRCA065	BRCA066	BRCA067	BRCA068	BRCA069	BRCA070	BRCA071	BRCA072	BRCA073	BRCA074	BRCA075	BRCA076	BRCA077	BRCA078	BRCA079	BRCA080	BRCA081	BRCA082	BRCA083	BRCA084	BRCA085	BRCA086	BRCA087	BRCA088	BRCA089	BRCA090	BRCA091	BRCA092	BRCA093	BRCA094	BRCA095	BRCA096	BRCA097	BRCA098	BRCA099	BRCA100	BRCA101	BRCA102	BRCA103	BRCA104	BRCA105	BRCA106	BRCA107	BRCA108	BRCA109	BRCA110	BRCA111	BRCA112	BRCA113	BRCA114	BRCA115	BRCA116	BRCA117	BRCA118	BRCA119	BRCA120	BRCA121	BRCA122	BRCA123	BRCA124	BRCA125	BRCA126	BRCA127	BRCA128	BRCA129	BRCA130	BRCA131	BRCA132	BRCA133	BRCA134	BRCA135	BRCA136	BRCA137	BRCA138	BRCA139	BRCA140
EVX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIBADH	42.124	65.46	19.417	14.408	28.285	88.973	46.184	29.953	62.202	18.821	47.237	58.622	41.345	79.96	54.65	66.549	74.466	40.932	15.2	101.47	55.351	36.912	51.203	26.045	40.745	56.494	20.417	51.916	48.459	44.729	37.625	60.764	42.981	34.134	43.018	30.102	88.652	49.093	37.978	60.27	54.46	48.098	53.709	51.925	52.602	26.308	47.337	51.589	80.939	39.27	39.799	50.126	47.824	40.774	52.631	49.213	42.952	34.935	42.071	25.319	55.63	33.018	31.203	44.645	28.344	33.956	42.894	31.914	57.206	42.776	43.285	39.625	43.182	41.413	41.637	29.596	43.911	30.103	53.016	53.219	41.157	66.578	57.953	34.923	43.113	57.774	29.235	38.448	39.626	34.168	29.215	30.538	28.331	44.658	68.147	53.661	36.734	39.648	43.465	56.237	31.64	47.614	59.918	23.877	38.865	53.591	23.026	66.91	52.827	24.42	31.448	32.906	32.098	56.184	32.156	27.298	79.875	51.747	46.247	85.706	75.624	32.09	28.436	51.947	26.791	41.091	38.29	46.539	24.747	52.028	38.621	50.552	27.926	60.214	17.396	35.065	28.555	43.098	46.089	21.634
TAX1BP1	69.015	109.107	123.951	92.464	106.507	94.819	85.096	109.294	127.273	87.97	87.158	153.862	88.948	122.211	127.721	103.86	102.39	60.865	69.885	94.234	78.379	84.538	79.226	83.5	69.704	85.412	75.683	92.524	89.185	110.971	87.868	91.789	104.214	98.133	103.718	97.8	132.219	79.625	107.63	80.025	83.762	103.913	85.855	83.484	78.459	116.516	101.773	114.095	74.568	82.443	96.392	52.609	89.484	94.984	108.9	112.419	96.997	151.424	91.209	87.98	79.045	56.224	118.325	99.576	114.695	124.963	115.717	111.663	100.564	131.617	101.929	89.007	101.103	92.705	109.445	78.414	122.616	69.46	84.164	109.217	123.644	111.375	112.639	73.016	133.141	97.499	82.569	64.15	132.79	131.102	63.563	75.792	77.951	103.773	123.488	110.44	121.733	100.539	97.958	85.682	118.657	109.752	93.71	102.409	115.404	93.886	97.631	94.646	104.917	86.287	78.002	96.107	61.345	59.277	80.305	131.506	113.996	107.615	92.288	110.219	96.222	89.795	78.857	74.907	68.669	98.508	67.791	70.403	74.49	64.297	74.148	90.07	60.402	59.707	59.887	86.249	90.547	90.26	87.274	81.763
CPVL	4.219	21.671	0.628	2.405	21.561	10.782	20.828	7.27	44.174	15.116	32.53	14.742	65.226	3.173	42.634	26.413	10.313	25.052	17.914	22.725	7.477	11.805	11.043	13.297	10.775	13.945	9.144	18.819	15.397	18.466	19.972	21.504	16.121	12.791	24.979	19.631	10.23	23.906	8.337	35.584	7.029	32.335	10.622	19.29	19.83	15.498	18.905	12.705	17.814	14.504	20.365	16.681	6.823	23.812	10.938	21.145	28.673	10.848	19.602	14.987	29.63	4.83	12.377	9.971	15.448	17.692	7.134	16.246	10.256	34.34	20.938	7.128	31.186	11.298	18.993	12.098	12.144	5.513	9.924	13.614	5.113	16.132	16.31	3.673	16.977	16.54	12.613	10.134	25.691	10.706	10.16	11.384	11.473	21.377	22	10.835	22.181	12.084	13.15	14.327	22.243	34.452	6.03	8.519	12.449	23.714	6.884	16.27	42.648	26.14	8.167	12.298	4.645	19.86	29.706	17.016	25.417	8.958	4.501	14.698	17.241	12.968	9.772	18.644	13.026	11.778	16.296	3.322	4.816	4.205	9.988	8.177	15.538	21.341	11.458	19.579	13.93	23.768	8.565	10.282
CHN2	0	0	0	0	0	0.059	0	0	3.499	0.177	0	0	0	0	6.911	1.265	1.565	3.529	0	2.678	0	0.13	0.397	1.17	0.567	0.827	0.421	0.076	1.562	0.736	0.434	2.646	3.181	0	1.559	2.456	0	3.355	2.198	1.202	4.433	1.428	0.793	1.56	0	2.916	0	1.147	0	0.643	1.104	1.621	0	0.137	2.103	0	0	0.085	1.563	0.569	0.983	0.622	0.257	0.229	0	1.077	0	1.685	0	0.506	1.305	0.27	2.05	0.848	0.089	0	2.04	1.801	2.305	0.833	0	1.814	1.115	0.135	0.962	0.674	1.857	0.291	0.023	0.963	0.728	0	0.861	0.707	0.761	1.175	0.695	0	0.178	3.589	0.853	0	3.128	1.054	1.149	0.668	1.813	1.295	0	0.12	0.566	0.68	0.711	0	0	0.929	0.827	0.692	1.503	0.501	0.818	0	0.844	1.67	0	0	0	2.457	0.034	1.856	1.522	0.197	0	0.584	0	0	0	4.309	2.092	0
GRB10	24.536	22.976	19.169	7.517	8.104	18.543	27.508	14.684	30.575	31.724	27.749	13.36	1.674	28.075	25.084	19.487	15.082	39.477	12.617	25.605	9.167	12.78	19.741	14.259	18.498	15.057	14.22	2.177	29.155	13.917	12.574	14.847	16.437	20.43	9.84	13.462	20.412	12.135	15.291	15.924	18.831	5.052	11.069	17.146	10.091	8.815	11.884	18.134	17.305	27.763	19.133	21.473	25.505	17.691	27.302	19.871	16.278	12.288	22.571	22.273	23.346	21.472	31.509	20.674	27.124	16.988	16.232	27.151	14.743	9.741	23.657	20.699	10.732	17.865	20.709	20.4	13.498	12.399	13.551	12.194	22.523	26.16	21.139	51.512	14.285	32.916	19.523	25.409	20.523	22.305	21.876	16.223	12.09	22.122	19.637	22.696	21.043	12.763	21.845	26.382	23.399	10.442	24.387	39.68	17.239	20.896	16.143	17.3	7.072	21.207	21.019	27.578	31.701	16.094	18.949	21.03	26.867	21.085	25.558	31.335	26.257	33.212	31.944	23.1	29.664	16.794	20.547	30.585	25.544	28.647	35.889	17.185	24.915	29.793	42.154	16.32	22.315	42.537	28.396	29.216
ABHD11	7.695	0	0.458	1.17	1.608	4.56	9.631	0	13.01	0	0	0.388	0	0	20.877	9.365	16.72	0	17.997	8.65	1.161	7.191	5.149	9.841	3.908	8.478	24.865	2.911	9.318	26	6.759	13.825	2.337	4.554	3.705	0	5.249	3.817	5.762	17.126	2.509	6.177	13.757	1.107	8.179	4.086	2.158	3.684	2.67	5.703	7.095	13.981	3.733	2.211	7.022	14.756	0	6.288	3.109	3.098	3.778	13.164	5.69	3.418	17.663	0.731	3.407	1.929	4.128	7.343	1.976	10.227	5.465	3.804	7.185	6.411	8.143	3.361	10.736	3.021	7.692	13.949	6.748	18.499	13.593	8.59	18.738	10.065	5.984	7.044	4.043	19.338	7.283	4.565	4.632	2.51	5.448	3.074	3.551	3.763	12.775	16.497	6.014	1.261	4.215	6.852	11.479	9.445	2.004	8.2	5.388	5.467	14.866	4.341	6.206	12.284	6.623	10.411	15.061	12.557	9.859	4.78	11.185	12.673	4.793	3.485	0	2.61	0.781	1.142	13.58	4.447	7.423	18.742	0.312	0	15.798	11.376	0.247	11.953
COBL	0.846	0.042	0	0	0.11	4.219	0.034	0	1.462	0.29	2.767	0	0.163	0	0	0.086	0	0	0	0	0.037	0.64	0.122	0.449	0.188	0.051	0	0	0.479	1.602	0.224	0.05	0	0.179	0	0.165	0.798	0	0.153	0	0.012	0.192	0.194	0.515	0.098	0.076	0	0.048	0	1.546	0.639	2.042	1.509	0.017	0	0	1.537	0	0.033	0.378	0.033	1.23	0	0.031	0	0.253	1.238	0.923	0.35	0.069	0	0.277	0	0.029	0.382	0	0.89	0	0	0.365	0	1.85	0.175	0.028	0.154	0.696	0	0.119	0	0	0	0.04	0.045	0.728	0.052	0	0	0	0.011	1.401	0.33	0.249	1.066	0.316	0	0.56	0.131	0.814	0	0	0.017	0.076	0.314	0	0.607	0	0	0.018	1.048	1.184	0.285	0.079	0	0	0.079	0.019	1.425	1.408	0	0.091	0	0.121	1.442	0	0.431	0	0	0	0.336	1.343
FKBP14	2.058	0	0	0	2.073	0	9.29	0	0	1.564	0	0	0	0	0	5.573	0.575	8.45	1.473	3.009	5.886	2.731	1.598	3.263	0.078	0.547	0	1.793	1.29	1.401	2.754	2.337	0.033	0.385	4.198	0	0.317	1.725	1.844	0.584	7.389	0.406	2.582	2.34	2.608	3.226	4.113	0.805	3.982	1.004	2.58	0.072	4.921	0	1.921	1.863	0.377	0.513	0	0	1.533	0.743	0	0.042	0.217	0.052	1.057	1.244	2.939	1.671	2.352	0.894	1.581	0.545	0.772	2.114	1.231	1.926	0.402	2.085	0	1.124	1.881	0.966	0.242	1.582	3.451	2.51	1.513	0	1.693	3.623	1.057	1.495	0.105	0.108	2.846	2.915	1.526	0	2.968	1.172	2.202	4.452	0	1.951	1.41	0.878	0	1.703	1.514	0.306	0.987	5.849	3.442	0.225	4.212	1.044	1.693	0.276	0	0.471	1.615	2.033	3.623	0	6.83	0	0	1.717	10.534	0.513	0.696	2.811	0.089	4.165	2.335	0.142	0.053	0
PLEKHA8	6.616	1.956	2.216	0.984	1.449	7.336	7.74	14.757	5.658	12.097	4.742	7.416	3.443	5.534	16.894	5.264	5.273	26.728	3.964	10.74	7.663	5.908	2.225	6.622	7.644	6.507	5.632	10.14	3.592	10.429	6.109	7.496	6.06	13.704	6.899	7.358	7.036	5.079	4.604	11.299	2.933	4.203	10.527	5.239	7.748	4.795	11.897	9.879	4.789	8.337	7.6	7.792	5.495	8.9	6.578	8.093	8.843	4.696	7.147	5.25	1.765	8.248	7.439	6.55	7.888	7.63	6.248	8.288	9.956	3.906	5.114	6.524	7.955	9.066	5.342	9.713	7.579	8.33	8.452	7.988	4.965	8.598	7.478	8.47	11.686	8.114	3.846	5.226	5.218	6.133	7.716	12.616	6.742	10.855	4.204	10.765	8.288	8.118	6.045	12.924	10.346	6.501	4.848	3.068	9.623	5.061	5.991	8.83	7.038	3.351	8.28	7.821	6.826	7.845	11.64	7.346	6.907	7.905	6.72	9.867	10.294	6.199	6.75	7.212	7.107	8.44	2.073	2.901	6.43	11.072	7.011	4.151	8.371	5.316	10.001	1.897	3.957	6.991	2.732	11.31
