Gene.symbol	HCC001	HCC002	HCC003	HCC004	HCC005	HCC006	HCC007	HCC008	HCC009	HCC010	HCC011	HCC012	HCC013	HCC014	HCC015	HCC016	HCC017	HCC018	HCC019	HCC020	HCC021	HCC022	HCC023	HCC024	HCC025	HCC026	HCC027	HCC028	HCC029	HCC030	HCC031	HCC032	HCC033	HCC034	HCC035	HCC036	HCC037	HCC038	HCC039	HCC040	HCC041	HCC042	HCC043	HCC044	HCC045	HCC046	HCC047	HCC048	HCC049	HCC050	HCC051	HCC052	HCC053	HCC054	HCC055	HCC056	HCC057	HCC058	HCC059	HCC060	HCC061	HCC062	HCC063	HCC064	HCC065	HCC066	HCC067	HCC068	HCC069	HCC070	HCC071	HCC072	HCC073	HCC074	HCC075	HCC076	HCC077	HCC078	HCC079	HCC080	HCC081	HCC082	HCC083	HCC084	HCC085	HCC086	HCC087	HCC088	HCC089	HCC090	HCC091	HCC092	HCC093	HCC094	HCC095	HCC096	HCC097	HCC098	HCC099	HCC100	HCC101	HCC102	HCC103	HCC104	HCC105	HCC106	HCC107	HCC108	HCC109	HCC110	HCC111	HCC112
TSPAN6	2.164	4.998	11.937	0.637	0.493	0	9.78	2.207	1.145	3.848	0	1.572	0	1.57	0	0.317	2.382	1.293	1.89	1.684	3.03	0	0	3.958	2.438	0	0.123	0.474	1.907	2.368	0.107	0	0.178	0	0.643	3.709	3.196	3.164	2.656	4.468	0	2.269	0.862	2.527	3.836	0	1.269	1.115	2.838	0.459	9.239	3.879	1.391	3.314	9.121	0.086	6.417	0	0.763	13.416	0.19	0	0	0	8.397	0	2.285	0	1.444	0	0	1.531	0	0	0.983	0	1.811	0	36.144	0.898	1.139	0.933	8.228	0.263	2.303	0	0.261	5.836	4.495	0.227	6.374	22.425	3.104	4.323	0	0	0.154	0.67	2.277	1.141	1.692	1.339	0	0.306	7.966	2.105	5.214	0.241	0.146	6.338	2.226	0
TNMD	0	8.281	4.719	0	0.278	0	0	0	0	0	0	0	0.313	0	10.529	0	0	0	1.638	0.365	13.731	0	0	1.967	0	0	0	0	3.477	2.425	0	0	0.25	0	0	0	0	0	7.887	0	0	0	0	0	0.177	0	0	0	0	0	8.35	0	0	0	0	0	0	11.415	0	0	1.072	0	0	0	0	0	0	3.232	0	3.894	69.751	2.515	4.138	0	6.579	0	3.4	0	1.596	0.361	6.018	0	0	0	0	10.507	0	0	0	0	0	5.62	0	0	2.43	0	29.533	0	0	7.232	2.28	0	0	0	1.257	0.383	0	5.082	0	0	0	7.539
DPM1	47.537	44.734	76.324	56.452	87.807	68.669	43.258	2.303	85.416	23.963	48.616	26.324	69.748	37.753	80.32	82.093	50.481	41.912	52.99	86.125	48.017	112.612	26.533	73.481	54.504	72.548	37.789	15.598	57.334	83.699	50.715	59.081	55.755	7.932	41.76	28.537	85.955	35.661	76.337	26.341	7.858	46.543	58.786	67.318	43.005	47.017	57.977	23.349	84.913	117.926	76.479	124.49	95.033	48.814	27.977	37.16	49.113	48.447	23.662	80.512	52.9	91.811	25.161	28.388	65.031	20.269	43.883	51.018	44.89	31.162	68.295	87.223	63.218	56.71	80.369	158.324	48.986	28.196	81.738	51.551	44.416	24.529	4.842	29.127	20.192	5.206	20.569	50.545	113.013	27.254	81.364	27.285	45.705	63.408	56.569	55.308	33.021	105.21	22.38	72.085	22.943	38.845	51.482	50.848	81.893	29.344	34.129	31.862	59.337	38.253	75.109	76.09
SCYL3	9.543	8.619	10.142	18.599	7.082	19.39	11.256	2.787	7.759	5.313	11.221	10.505	11.792	6.31	14.239	21.037	3.736	4.687	7.376	15.103	14.063	6.555	6.107	12.732	13.654	9.803	8.324	4.845	9.98	6.169	9.529	7.016	14.812	28.123	7.807	9.368	21.002	12.895	19.204	12.03	7.683	6.303	10.309	16.837	19.102	14.109	3.169	26.457	14.022	1.917	13.118	23.274	14.374	9.87	10.916	6.346	1.879	3.52	1.509	6.998	6.895	14.365	4.192	16.075	14.34	10.944	13.3	4.914	6.055	5.556	15.187	12.186	6.071	9.36	10.044	17.288	15.033	9.633	4.554	10.899	5.537	11.412	6.336	4.415	4.263	4.564	6.699	14.078	16.318	6.497	19.53	10.043	5.693	14.515	8.887	16.212	14.832	18.106	3.52	5.075	8.968	7.596	0	13.803	3.989	6.891	7.543	6.459	16.552	10.588	13.846	11.58
C1orf112	9.869	15.751	4.138	4.983	8.319	5.086	11.902	21.988	7.831	5.769	10.65	5.803	3.717	13.841	10.032	5.174	23.428	10.075	1.768	3.248	6.909	0.756	6.821	5.928	10.284	13.725	6.059	13.973	9.892	8.261	12.701	11.27	15.735	9.348	13.823	2.416	2.877	3.858	1.473	9.719	31.836	9.554	17.977	4.845	2.533	0.451	2.386	4.077	8.087	12.838	3.304	8.775	6.738	6.65	4.386	15.066	11.018	6.3	9.573	13.595	7.086	2.447	5.09	2.632	9.508	0.539	2.991	11.919	4.291	7.354	13.014	7.271	11.976	1.928	12.893	0	7.799	15.537	9.042	9.551	15.046	15.189	7.007	11.883	8.002	18.063	46.262	11.953	5.342	25.928	10.272	3.275	11.987	7.392	8.582	3.43	11.074	0.849	14.779	3.252	6.654	6.162	2.591	19.118	2.664	13.11	16.503	6.765	1.293	7.889	5.989	4.611
FGR	55.851	68.501	89.806	274.592	187.036	175.556	341.155	291.012	170.516	269.721	171.982	187.313	251.329	46.524	196.412	253.323	237.588	130.002	122.612	338.62	177.32	178.257	151.144	227.035	189.846	188.452	159.954	68.592	133.873	139.641	94.674	198.255	250.435	197.353	232.983	180.772	237.485	208.034	212.74	82.064	139.809	167.232	134.769	247.234	189.887	307.208	175.011	318.462	238.198	209.123	274.683	384.21	364.562	185.52	134.625	204.157	160.708	145.719	201.289	134.757	174.357	157.393	101.405	139.108	215.877	216.27	285.711	163.276	165.048	192.899	196.704	161.68	185.303	176.666	95.163	118.434	154.909	106.07	83.569	115.5	97.611	189.403	213.66	99.826	109.812	259.755	53.258	220.809	146.071	93.951	170.115	219.915	168.214	157.359	265.949	114.175	155.285	340.555	46.767	247.191	132.249	196.911	278.077	71.964	307.573	156.032	278.413	91.308	305.307	313.368	311.23	281.135
CFH	6.766	5.811	3.906	2.383	30.087	6.53	246.111	4.607	1.245	3.023	6.578	14.228	3.033	0.524	26.797	21.774	2.361	6.841	11.172	4.038	10.563	0.692	2.457	10.176	3.054	1.265	3.619	0.991	4.935	4.853	19.206	0.665	2.523	12.164	3.273	6.589	4.074	3.892	6.316	1.759	0.141	37.832	6.276	2.398	15.687	10.331	3.273	4.968	3.752	2.273	9.105	2.312	6.727	9.3	13.785	10.343	0	7.384	2.444	11.412	2.119	14.339	2.89	7.362	22.518	0	5.796	3.088	1.754	2.617	7.847	1.846	13.309	3.813	9.446	16.219	7.864	0.432	173.173	3.784	1.19	8.012	13.302	1.975	4.58	6.172	0.943	3.8	1.866	2.524	29.16	33.325	6.026	7.869	3.668	52.646	29.703	5.308	7.413	6.791	12.248	2.029	3.014	39.932	4.507	1.664	8.2	4.923	6.142	7.836	5.057	3.899
FUCA2	17.84	12.411	19.212	11.828	7.845	7.828	36.283	4.678	12.835	21.567	13.536	2.771	5.776	16.57	13.657	2.828	0	8.4	3.541	26.495	8.343	18.376	2.389	3.402	19.002	17.889	9.759	8.859	15.668	7.863	7.132	24.078	32.318	22.803	10.888	18.929	24.718	12.544	17.602	7.63	10.496	26.885	11.102	14.732	2.961	0	5.206	25.528	9.215	10.441	16.766	20.749	12.137	20.88	4.534	13.755	0	13.459	27.888	1.815	7.723	15.205	13.32	2.556	16.973	1.153	7.421	8.695	16.415	19.976	31.011	3.935	4.12	8.032	5.589	7.041	8.036	10.504	9.383	14.991	15.494	2.812	2.254	11.734	11.397	9.172	6.561	16.222	8.494	4.969	10.474	20.603	12.396	12.554	4.329	4.362	23.408	7.013	12.231	2.084	8.362	14.251	14.217	13.78	13.142	9.594	1.396	9.472	16.727	16.612	10.265	15.934
GCLC	23.052	40.168	24.001	35.631	16.913	25.551	6.558	22.023	18.072	17.417	15.559	38.067	25.363	29.481	21.384	15.446	18.268	15.433	36.149	18.884	18.659	4.958	19.909	24.302	4.987	10.664	19.172	18.851	16.302	24.611	18.262	17.018	7.457	14.637	19.079	14.916	33.043	35.89	40.142	39.035	19.977	9.232	13.958	29.88	34.768	14.57	16.713	23.235	12.705	25.698	32.185	11.395	13.746	17.523	31.147	9.856	25.181	14.686	21.621	28.05	10.778	22.257	11.943	9.412	21.033	22.19	22.907	13.542	26.513	28.712	14.647	15.856	15.059	19.426	56.808	10.964	16.02	18.663	13.788	13.452	21.142	19.917	33.695	11.303	15.014	24.485	11.964	18.419	25.68	7.847	38.305	19.255	14.125	17.442	22.746	13.019	15.123	10.977	4.411	17.47	10.419	13.616	38.109	16.122	21.394	10.758	27.939	11.83	24.265	16.806	34.258	17.548
NFYA	46.554	31.484	80.868	62.307	69.349	57.711	38.229	29.03	51.704	41.271	36.394	63.49	58.07	31.574	77.289	68.705	43.656	40.977	47.061	47.311	37.784	74.735	70.202	68.848	39.312	72.581	46.414	27.805	35.382	50.328	43.47	70.111	44.305	50.027	67.332	47.923	44.138	59.711	41.519	46.571	20.889	51.374	30.2	84.873	55.079	77.279	23.449	43.548	52.58	74.941	69.021	86.676	70.695	67.362	51.281	37.712	47.23	58.745	60.633	88.694	44.603	51.017	40.442	50.573	37.522	35.476	59.371	27.537	36.715	40.3	98.432	66.026	51.803	47.543	50.908	39.956	57.174	19.862	32.764	41.046	44.405	42.331	39.284	17.668	37.456	79.013	14.27	46.613	34.723	34.257	46.421	64.1	32.545	53.816	64.2	55.108	48.071	49.982	17.72	81.136	42.023	36.201	30.304	36.758	64.311	34.67	27.567	21.399	55.107	46.145	23.576	76.649
STPG1	1.242	0	3.738	2.572	0.683	0.23	0.693	0	0.668	3.202	0	0.79	0.059	3.012	1.058	0	0	0.603	0.31	2.691	0	0	4.782	0.744	0	1.997	0.196	0.695	0.837	0.975	1.712	0.742	0.142	2.005	1.517	0.565	0.717	0.039	1.186	0.657	0.135	0.85	0	1.561	4.39	0	3.203	0	1.323	1.768	0	0.632	2.57	0.706	1.488	0.55	0.507	0.589	0	0	2.028	1.325	0.803	0	0.913	4.085	1.353	0	1.189	5.009	0	2.039	0.854	0	1.31	0	0.257	0.414	0.423	0	0.379	0.355	0	0.56	1.928	0.681	0.695	0.843	0.174	0.423	1.146	1.786	0	2.481	0.752	2.233	0.288	4.921	0.793	0.038	1.607	0.753	8.548	0.652	0.204	1.954	0	0.929	1.036	0.372	0	2.9
NIPAL3	11.079	5.104	29.086	17.302	9.701	12.353	15.582	3.577	7.624	12.811	18.448	12.453	8.202	12.038	6.873	8.831	3.653	14.345	10.798	11.679	13.533	3.718	16.318	4.996	8.818	19.445	12.007	11.554	8.603	10.535	12.089	9.551	15.298	16.113	14.308	9.029	8.071	13.908	10.836	17.796	13.508	12.066	13.278	24.647	9.978	6.789	14.657	10.988	8.553	10.706	18.489	18.399	15.32	10.932	10.907	8.232	17.192	14.568	16.289	11.412	11.561	6.633	21.798	12.297	8.76	7.736	8.571	9.315	16.968	16.399	10.925	6.828	15.777	9.909	16.244	5.683	15.02	14.85	8.087	14.099	18.27	18.183	7.793	21.037	17.771	11.616	13.829	15.646	4.888	10.439	13.739	2.309	28.077	7.056	6.693	16.27	16.135	10.81	14.193	9.252	12.134	12.913	22.821	8.001	15.49	9.203	10.083	10.992	10.404	13.622	11.873	16.779
LAS1L	15.94	7.514	42.227	42.559	22.243	19.909	38.172	14.423	33.354	28.612	43.283	39.247	13.8	10.319	18.768	42.223	38.659	27.023	11.562	35.728	14.753	17.054	12.057	22.481	14.046	24.331	24.284	10.587	21.213	16.242	20.949	27.214	14.348	32.623	32.049	13.974	32.075	38.566	34.602	16.69	12.238	33.588	20.693	33.596	17.044	41.403	19.404	79.473	30.22	41.783	28.824	45.882	31.914	13.124	18.201	23.203	10.414	24.213	18.272	38.706	23.312	39.893	9.781	30.014	27.532	29.719	28.946	14.277	15.554	24.451	10.581	29.807	26.438	36.638	20.947	5.954	23.215	9.659	12.228	17.064	23.229	33.081	28.476	5.331	14.684	41.943	7.826	28.654	19.963	11.036	30.345	24.412	16.746	17.201	21.188	16.74	43.913	32.45	7.107	23.901	17.969	13.036	21.857	16.503	25.494	16.918	35.326	10.98	39.587	42.804	33.85	43.506
ENPP4	4.545	3.153	7.147	3.907	2.019	4.701	2.233	0	4.944	2.518	0.947	9.546	0	10.716	7.745	12.093	3.438	4.729	3.402	6.693	5.524	0	0.861	5.108	4.279	6.756	5.143	4.51	0.219	7.24	6.894	0.679	13.083	1.701	3.135	3.789	0.574	3.444	9.1	6.46	1.174	2.511	8.709	2.408	17.415	0	0.782	3.988	2.668	2.687	0.674	0.934	14.62	4.007	4.356	4.948	1.622	8.082	0.372	0.363	2.412	7.562	6.203	0	8.355	4.153	6.561	5.221	2.304	0	0.514	0.871	15.104	5.071	0.12	18.213	4.355	2.019	6.297	3.876	4.722	8.184	4.253	2.947	2.032	0	3.304	2.99	2.869	1.879	7.338	0	0.736	1.864	5.735	5.553	4.661	16.919	1.623	0.765	2.224	2.031	3.845	0.746	7.581	5.496	0	5.454	5.401	2.871	2.388	7.872
SEMA3F	0.156	1.381	3.247	4.022	0.556	5.409	0	0.115	0	0	11.15	0	0	0	0.11	5.455	4.477	0.76	3.416	5.355	2.352	8.414	0.553	1.86	0.344	0.961	1.614	1.672	4.956	2.528	0	1.122	0	0	1.122	0.581	0.632	1.659	8.5	1.375	0.06	10.43	0.116	0.216	14.006	2.99	3.641	7.986	3.571	5.419	0.046	0	0	4.36	0.437	1.253	0	0	0	3.152	0.536	7.837	0.315	0.148	3.543	1.334	9.782	0.899	3.331	1.039	0	3.236	0.376	1.907	0	1.985	3.176	0.851	1.491	0.723	0	2.754	0	0.247	1.546	2.003	0	4.369	2.458	2.556	0.505	1.2	5.124	3.515	1.474	1.716	3.188	1.26	0.658	0	0.76	0.699	3.392	0.359	2.455	0.83	2.576	3.165	3.607	2.579	3.138	1.174
CFTR	0	0	0.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.069	0	0	0	0.17	0.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185	0	0	0	0	0	0	0	0.127	0	0	0	0.065	0	0	0	0.059	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	2.17	0	0.553	0	0.679	0	0	0	0	0.033	0	0	0	0	0.022	0
ANKIB1	62.261	43.66	82.585	62.726	46.538	71.67	39.489	43.274	62.589	43.348	56.667	64.672	32.877	39.045	62.413	75.897	69.79	50.077	52.435	51.976	65.28	71.429	61.666	69.378	54.508	74.771	50.709	48.358	59.233	70.845	69.704	65.517	62.678	106.667	46.213	47.41	38.945	65.562	68.723	62.917	57.318	65.411	52.931	45.73	80.12	43.056	54.469	29.898	38.966	58.039	37.049	57.127	67.502	56.495	53.281	48.902	86.466	49.676	58.991	68.503	45.744	71.383	44.51	68.88	48.395	59.776	61.207	59.24	31.733	62.776	77.41	70.663	65.23	52.76	57.548	47.027	68.03	48.307	56.429	56.602	54.535	45.676	47.921	45.129	44.227	33.081	50.738	54.485	65.608	39.937	69.601	84.512	61.737	84.391	67.433	42.304	54.036	45.853	40.392	43.095	38.84	49.012	37.709	66.869	58.534	52.137	58.254	54.205	50.441	36.409	46.583	69.596
CYP51A1	0	0	0.132	0	0	0.182	0	0	2.69	0	0	0	0	1.391	0	1.002	0	0	0	0	0.333	0	0	0	0	5.749	1.862	0	0.142	0	0	0	0.337	0	0.581	0.447	0	0	0	0	0	0	0	0	0	0	0	0	2.629	0	0	0	0	0	0	0.109	0	0	0	0	0.481	0	0	0	0	0	0	0	0.166	0.35	0	2.098	0	0	0	0	0	0	0	0	0.541	0.337	0	0	0	0	0	0	0	0	0	0.202	0	0	0	0	0	0	0.111	0	0	0	0	0	3.226	0.258	0	0	2.214	1.452	4.732	0
KRIT1	1.217	6.447	3.444	8.121	3.532	5.47	3.348	4.66	12.035	1.387	1.458	1.576	9.182	5.394	1.281	1.62	4.98	3.545	5.633	1.515	5.778	7.091	7.851	6.893	3.208	6.808	3.407	5.549	6.561	1.967	7.283	8.148	2.663	5.167	5.237	3.163	1.783	15.866	3.569	0.113	6.3	7.934	6.934	4.408	2.482	0	1.904	2.64	10.556	6.081	9.354	11.042	0.89	5.136	10.342	2.797	2.258	4.713	5.998	3.133	0.695	4.706	0.122	6.443	3.633	10.481	0.186	5.872	2.207	0	16.753	4.569	7.028	5.099	4.134	4.714	2.736	5.013	6.957	2.343	7.6	0.584	5.145	0.576	3.207	2.181	1.81	3.76	5.736	2.403	5.445	0.408	3.741	1.519	9.458	0.55	4.452	1.198	1.088	5.578	3.657	2.501	8.355	6.651	5.684	1.936	1.925	1.055	3.481	11.309	7.16	2.641
RAD52	4.685	1.273	1.02	0.493	1.708	6.075	2.077	0	4.248	4.564	1.218	10.208	8.542	1.02	2.149	2.97	2.217	11.374	3.147	12.615	7.558	0	2.229	4.662	0.396	3.073	2.257	0.257	0.607	0.349	1.739	1.077	4.713	4.769	6.164	3.25	4.916	0	9.247	6.337	1.578	8.363	0.533	12.244	0	13.719	2.241	0	0.11	0.331	0.107	8.496	6.491	1.148	3.425	3.63	0	3.788	0	0	7.413	2.692	0.544	0.681	2.968	3.38	8.382	1.449	1.279	0	5.417	0	4.625	4.805	7.318	0	3.789	0.14	0.368	0.139	3.083	4.182	1.073	0.427	3.799	1.269	0.846	4.711	5.573	0.613	0.582	5.355	2.542	2.789	2.037	2.093	10.597	9.108	0.284	7.411	2.469	0.161	0.434	0.828	2.828	4.337	0	1.042	3.734	1.512	6.891	8.159
BAD	14.145	14.05	34.753	22.002	37.964	27.893	63.44	57.938	31.7	51.781	61.379	29.692	59.915	39.185	81.884	83.376	86.655	30.048	24.707	41.262	42.328	16.841	52.344	20.091	31.72	36.189	26.379	19.84	42.9	29.145	36.408	68.969	28.548	25.103	37.071	51.823	39.08	32.819	40.983	22.092	43.412	33.379	18.318	45.895	28.887	33.512	47.533	69.95	28.388	38.89	91.301	33.202	34.387	21.824	30.891	24.547	9.465	35.703	41.549	52.938	25.259	35.743	43.118	39.286	16.38	29.778	58.652	18.788	42.181	5.138	25.88	32.512	23.046	22.563	44.391	44.872	34.296	34.697	15.042	21.449	39.329	17.334	23.427	19.188	43.098	37.92	35.647	38.871	23.438	16.25	21.817	58.058	21.606	19.424	21.029	19.97	59.156	38.954	20.932	37.306	28.325	22.316	59.097	37.354	19.967	35.343	20.122	27.307	28.256	27.032	22.224	120.096
LAP3	27.526	48.783	135.12	114.559	77.268	86.902	412.653	48.397	67.736	96.813	74.697	107.243	100.289	37.434	126.108	180.657	77.921	45.714	56.443	94.496	79.56	78.378	110.698	120.509	62.805	125.745	92.437	79.725	89.13	97.222	48.774	77.031	113.811	130.656	118.641	44.231	77.595	149.421	113.801	43.753	56.871	172.007	45.021	106.304	98.407	140.046	66.349	80.058	355.351	102.971	131.414	243.114	140.956	125.483	59.997	164.353	59.799	107.923	59.678	87.517	115.35	80.821	52.354	66.008	96.298	102.907	76.815	42.392	60.406	63.93	181.488	58.074	108.478	100.755	69.522	88.721	96.619	20.773	55.525	66.678	43.174	84.925	100.725	65.49	70.04	116.716	42.479	101.57	87.551	57.714	136.724	111.775	103.933	113.452	76.762	60.25	102.437	171.589	22.984	86.223	77.396	86.712	93.218	54.874	143.403	84.625	116.498	54.693	97.929	179.747	100.447	129.766
CD99	0.154	0.136	0	0	0	0	0	0.057	0	0.049	0	0	0	0	0.108	1.023	0	0	0	0	0	0.23	0	0.107	0.675	0.105	0.113	0	0.104	0.298	0.297	0.184	0	0.085	0.085	0.408	0.078	0	0	0.356	0	0.226	0.341	0	0.929	0	0	0	0.374	0	0	0	0.562	0.367	0	0.357	0	1.19	0.705	0	0.527	0	2.164	0.145	0.158	0	0	0.706	0.606	0	0	0	0	0.703	0	0.821	0.334	0.597	0	0.474	0	0.123	0	0.364	0.405	0	1.324	0.183	0	1.046	0	0.074	0.31	0.154	0.145	0	0.641	0.413	4.771	0.066	1.698	0.206	0.247	0.353	0.118	0.251	0	0.333	0	0	0.206	0
HS3ST1	0	0	0.64	0	0.438	0	0.309	0	0	1.112	1.079	1.871	0	0	0	0	0	0.359	0.323	3.74	1.537	0.069	1.634	0	0.338	0.442	0.749	0.066	0.561	1.076	2.023	0.94	0.444	0.561	1.734	0	0	0	0.758	0.299	0.141	2.316	1.984	0	0	0	2.745	0	0.901	2.211	0	1.926	0	1.178	0.879	0	0	0	2.756	1.966	0	1.138	1.023	0	1.713	0	0.212	0	0.073	0.154	0	0.779	0.074	0	1.775	0	0.402	0.144	0.378	0.071	0	0	0	0	0.183	0	0	1.428	1.498	1.07	1.024	0	0.373	0.277	0.131	0.298	0	2.647	0.389	0	0.204	1.611	0	0.085	0	0.075	1.313	0	2.591	0.194	0.717	0
AOC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.679	0	0	0	0	1.59	0	1.164	0.422	0	0	0	0	0.843	0	0	0	0	0	1.022	0	0	0	3.945	0	0.373	0	0	0	0	0	0	0	0	0	0	0	0	0.655	0	0	0	0	0	0	1.016	0	0	0	0	0	0	0	0	0.15	0.146	0	0	0	0	0.304	0.338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.088	0.519	0	0	0	0	0	0	0	0	0.285	0.922	0	0	0
WNT16	0.463	0	0.146	3.039	1.508	0	0	0	0	0.586	0.782	1.561	5.874	1.092	0	0	0	0	2.426	1.081	0.183	0	0	0.162	0	0	0	0	0.468	0.748	0.298	3.183	0	0	1.15	0	5.497	0	3.095	0	0	0	0	3.274	0	0	0	0	1.48	3.123	0	0.762	0.423	0	0	0.239	0	0	0	3.887	2.646	0	0	0	4.766	0	5.12	2.66	0	0	0	1.951	4.086	0.353	0	0	0.504	6.478	2.364	0	0.396	0	0	0.731	0	0	0	0.688	0.909	0.158	0	0	0	1.965	0.981	0	0	0	0.487	0	0	0	0	1.276	1.152	0.378	0	0	6.555	0	3.467	0.372
HECW1	0	0	0	0	0	0	0	0	0	2.122	0	0	0	0	0	0	0	0.052	0	4.794	0	0	0	0	0.515	0.221	0.04	0	0.255	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.449	0.018	0	0	0	0	0	0	1.792	0.258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0.096	0	0	0	0	0	0	0.178	0	0	0	0	0.649	0	0	0	0	0	0	0.332	0.195	0	0	0	0
MAD1L1	15.872	9.589	35.204	30.786	21.401	33.805	35.837	14.341	24.005	28.796	46.451	32.593	38.348	14.87	21.029	73.721	50.237	16.326	10.214	46.627	22.313	6.085	11.627	30.303	12.616	32.06	19.926	14.508	21.536	26.596	21.099	16.98	38.904	22.512	28.347	14.015	17.673	23.629	27.829	26.868	20.114	19.194	25.848	53.778	22.958	56.196	25.433	42.511	33.214	42.543	26.744	39.419	47.323	20.456	31.351	30.451	7.305	30.965	19.751	30.271	28.165	51.672	11.131	30.804	25.045	16.385	49.451	13.675	19.27	20.376	29.743	24.482	36.268	34.687	23.981	29.848	28.32	17.611	10.945	14.317	22.424	19.472	18.779	8.406	10.319	25.203	12.345	26.928	29.838	18.555	33.958	34.739	15.05	20.232	21.052	20.893	35.252	60.307	11.923	17.939	20.813	11.99	20.837	20.718	33.299	14.909	45.682	22.521	41.27	40.883	39.823	46.894
LASP1	94.839	100.541	173.644	188.729	143.384	204.126	203.111	186.127	168.208	181.687	217.483	197.296	179.34	73.207	193.269	236.287	233.204	142.77	110.378	230.729	177.783	144.013	159.686	174.505	165.199	179.017	161.254	88.824	153.71	174.246	138.845	210.168	137.538	171.379	180.111	188.769	195.547	179.141	173.186	101.581	130.815	157.426	92.022	281.488	149.002	211.909	112.833	236.543	256.452	207.678	184.359	251.406	223.688	158.88	146.16	145.545	143.177	181.245	171.716	177.479	177.432	186.168	147.738	173.478	211.982	163.299	225.938	132.289	149.168	175.519	238.984	153.522	154.378	248.131	122.617	162.811	149.949	98.971	66.149	132.593	119.284	165.493	196.488	98.313	144.683	189.132	124.735	168.103	171.241	112.684	171.832	156.633	175.813	184.314	220.696	87.504	183.993	243.221	91.869	185.152	107.688	137.246	183.863	124.928	212.805	127.67	194.663	118.624	244.9	198.057	167.193	230.683
SNX11	11.515	11.276	13.695	21.644	19.346	6.877	45.696	11.563	27.768	21.742	26.435	31.347	33.412	5.529	17.482	31.527	10.126	9.556	6.034	26.71	30.653	5.161	12.581	14.787	11.651	7.714	16.351	7.608	18.203	12.181	13.203	18.274	17.545	26.667	14.902	14.106	20.943	33.866	19.863	8.623	8.289	21.903	13.092	8.811	20.484	9.7	32.763	36.071	37.535	29.395	34.298	23.245	32.793	14.838	16.271	7.895	11.956	10.193	16.8	2.578	17.707	22.634	12.843	18.212	26.94	28.387	33.848	25.495	11.558	52.848	91.107	19.089	23.176	33.178	13.141	18.038	27.327	1.953	11.685	13.707	11.105	27.479	20.447	6.61	6.759	15.682	6.065	20.651	16.241	12.543	13.038	10.638	15.298	24.151	16.667	21.35	17.549	22.01	11.016	15.517	26.647	15.621	0	14.231	22.602	10.078	26.295	7.488	28.967	32.637	33.371	29.901
TMEM176A	0	2.491	31.803	9.615	10.797	0.188	56.159	0.799	4.832	2.886	0	6.732	12.606	0.205	23.603	16.373	0	2.95	5.686	5.74	10.476	18.319	20.52	10.926	1.907	3.553	14.39	4.638	3.218	9.82	1.536	18.033	50.965	28.956	8.501	13.009	4.385	2.494	0.094	8.335	16.852	12.39	2.329	8.609	14.838	0	6.966	0.069	13.871	13.904	26.147	8.388	0	6.394	5.46	4.708	9.294	15.848	15.672	18.46	8.184	6.485	3.71	9.644	4.021	11.288	21.844	23.683	1.198	15.857	0	4.323	2.959	2.48	0.16	1.594	0.472	5.06	0.148	7.522	1.114	17.367	0	4.967	7.005	5.696	2.719	7.35	2.131	6.648	8.308	9.154	16.841	4.66	1.329	0	2.311	16.212	5.595	2.231	7.864	3.393	10.891	1.196	4.901	8.941	16.395	1.803	29.454	4.749	12.884	14.188
M6PR	35.38	15.884	22.756	40.782	18.707	29.461	54.181	64.838	59.828	55.313	30.458	63.522	22.956	20.925	35.626	47.589	41.475	28.535	27.408	57.222	28.158	30.163	6.712	26.417	26.639	25.911	22.679	21.647	50.25	29.073	26.754	28.799	53.879	48.714	37.498	23.223	19.894	35.955	20.257	30.155	38.806	35.417	23.224	41.853	22.502	40.542	50.93	15.88	51.898	53.801	56.473	11.891	42.945	42.5	21.01	67.171	3.424	27.646	16.956	46.536	38.151	13.177	30.353	48.382	20.782	27.102	19.206	28.474	24.119	19.253	22.141	33.846	17.477	37.463	31.882	10.813	34.932	26.254	28.569	30.792	32.492	17.277	62.253	39.125	32.263	37.751	28.014	28.267	25.614	33.749	35.867	27.212	46.234	25.853	32.766	21.158	29.25	37.645	26.609	37.851	32.42	44.475	29.694	34.518	37.801	30.986	47.434	21.303	34.365	43.025	40.788	49.006
