Gene.symbol	GBM01	GBM02	GBM03	GBM04	GBM05	GBM06	GBM07	GBM08	GBM09	GBM10	GBM11	GBM12	GBM13
DVL2	3.658	0.693	0.856	7.201	0	18.243	4.507	0.354	0	0	3.636	0	0
PRSS22	0	1.553	0	0	0	0	0	0	0	0	0	0	0
UPF1	6.207	4.31	2.131	10.374	0.736	0	5.608	0.772	30.772	1.124	3.393	0.371	0
SKAP2	162.138	332.395	0.277	345.639	165.134	64.281	0	29.028	255.688	92.803	93.398	162.985	0
SLC25A5	340.446	439.863	457.07	239.251	438.888	374.594	0	392.523	78.411	0	0	272.243	277.558
MCUB	0.998	66.525	0	12.509	55.029	49.112	0	0	8.246	0	0	0.447	0
HOXA11	0	0	0.662	0	21.951	0	0	0	0	0	8.433	0	0
POLR2J	311.219	30.091	203.97	121.204	158.837	189.164	0	70.672	65.101	0	387.664	72.989	47.271
DHX33	12.727	27.144	0.26	4.489	22.638	0.155	0	0	0	0	0	0	0
MEOX1	0	2.739	0	0	0	0	0	0	0	0	0	0	0
THSD7A	5.047	2.035	0.14	1.113	22.589	2.337	0	0.174	5.381	0	0	0	0
LIG3	3.03	2.295	0.473	2.982	12.74	0.494	0	0.073	0	0	0	0.37	0
RPAP3	2.315	20.666	0.284	11.304	16.469	23.563	0	1.233	5.464	0	25.308	0	5.952
ACSM3	2.502	39.332	0	10.109	13.758	8.396	0	0.121	7.518	0.618	0	0	0
REXO5	0.865	34.238	9.279	10.35	130.788	0	66.426	4.148	7.147	7.048	9.458	1.163	3.892
CIAPIN1	0	88.733	0	24.268	72.159	0	0	0	16.759	1.377	0	0	0
SPPL2B	6.988	1.04	1.285	1.706	6.215	0	1.127	0	0	0	1.364	0	0
FAM214B	3.054	26.605	0	24.992	8.889	10.532	0	0.296	22.94	0.754	0	0	0
COPZ2	0	2.003	0	12.049	27.359	0	0	0	31.771	2.611	10.511	0.862	0
PRKAR2B	101.37	971.744	0.354	755.519	178.85	0	1.861	0.22	769.492	232.796	117.144	122.279	9.271
MSL3	13.827	0.379	0.625	85.414	0	40.665	0	0	36.079	0.494	0	0	0
CREBBP	14.127	50.007	0	18.846	15.936	7.419	0	0.245	24.674	0.312	4.395	0.309	0.517
TSPOAP1	0	0.326	0.269	0.179	0.558	0	0	0	0	0	1.713	0	0
MPO	1.009	2.102	290.148	23.576	12.567	0	6.839	0	50.035	0	88.281	69.218	183.927
PON1	4.398	0	0.539	0	20.117	0.966	0	0	0	0	0	0	0
GCFC2	7.814	14.922	0	0.742	12.741	0	0	0	5.38	1.769	0	0	0
WDR54	0.622	54.434	0.534	2.127	77.466	0.957	0	0.995	0	0	0	162.306	0
CROT	2.144	0	0.307	1.222	1.271	0	0	0.19	0	0	0	0	0
ABCB4	2.072	4.317	0.593	16.269	12.288	55.129	3.121	0.123	0	0	0	0	0
KMT2E	63.417	64.248	0	22.624	50.745	0.099	0	131.264	22.298	2.094	20.022	0	0.867
RHBDD2	68.52	3.037	0	28.241	15.559	65.395	0	23.305	84.322	0	0	0	0
SOX8	0.401	0	0.345	0.457	1.428	0.206	1.814	1.284	0	0	6.584	0.36	0
IBTK	14.28	23.374	0.175	6.741	26.128	0	0	0.109	0	0	0	0	0
ZNF195	14.738	11.078	0	1.039	48.107	0.389	0.686	0.162	0	0	3.323	0.136	0
MYCBP2	14.172	31.151	0.958	16.276	38.509	0.629	0.504	0.238	7.376	0	0	0.1	0
FBXL3	16.582	49.199	0	41.799	32.178	0	1.135	0	0	0	0	0	0
ITGAL	32.716	0.573	0	20.99	3.912	0	0	127.891	0	0	0	0	0
PDK2	0	0	0	0.37	2.31	0	0	0	0	0	0	0	0
ITGA3	1.089	5.294	0.156	10.136	12.916	3.722	0	3.385	3	0.493	1.985	0.488	0
ZFX	3.347	5.742	0	1.795	5.604	1.11	0	0	0	0	0	0	0
LAMP2	120.103	0	0.276	58.339	131.734	73.29	1.455	0	0	47.226	1.76	0	0
ITGA2B	76.61	860.068	0.55	246.185	140.264	47.161	0	0.171	1387.838	429.211	94.629	398.29	1403.407
ASB4	8.887	1.61	0	11.007	0	0	0	0	0	0	0	0	0
GDE1	66.483	126.747	61.549	163.453	11.468	29.538	1.82	0.859	153.147	44.869	0	76.941	0
REX1BD	21.12	1.1	0.453	28.277	73.257	47.097	0	0.281	0	0	0	9.94	0
CRLF1	1.179	1.228	0	0.672	0	1.511	0	0	0	0	6.446	0	0
OSBPL7	0.271	0	0.465	0	0.963	0.139	0	33.181	0	0.735	1.48	0	0
TMEM98	0	0	0.294	0.782	0	0	0	0	0	0	0	0	0
YBX2	0.385	0	0.331	0.439	1.371	0.593	0	0	0	1.047	2.106	1.382	0
KRT33A	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K14	1.846	5.768	0.528	15.073	19.7	0.473	0	0	0	0	0	0.827	0
ABCC8	4.241	1.472	0.485	1.127	14.08	1.667	0	0.075	0	0.384	1.546	0.127	0.636
CACNG3	0	1.2	0.989	0.657	0	0	0	0.614	0	0	0	0	0
TMEM132A	0.245	0	0.21	0	0	0	1.105	0.13	0	0	1.338	0	0
AP2B1	16.182	10.748	0	8.552	14.184	2.164	3.178	50.861	11.627	17.198	0	73.588	0
TAC1	0.942	9.816	0	12.887	0	0	0	0	0	0	0	0	0
ZNF263	0	30.956	0.879	0	11.849	0	1.157	0.137	55.04	0	2.801	0.23	0
CX3CL1	2.082	20.445	0	2.372	1.058	0.152	0	0	0	0	0	0	0
SPATA20	0	0	0	0	0	0	0	0.533	0	0	0	0	0
CACNA1G	0.183	0.764	0	0.418	0.652	0	0	0	0	0	0	0	0.825
TNFRSF12A	41.402	0	1.653	1.097	0	0	0	0	0	0	0	0.863	0
DLX6	0.516	29.017	0	0	1.835	0	0	0.275	0	0	0	0	0
MAP3K9	0.862	9.876	0.37	4.092	1.533	0	1.947	0.765	0	0.39	0	0.258	0
RALA	16.021	1.011	1.25	12.171	12.09	14.684	0	0.259	32.092	0	5.308	0	2.185
BAIAP2L1	15.576	5.408	0	6.761	0	0.57	0	0	0	0	2.027	0	0
KDM7A	1.321	12.578	1.133	7.955	25.508	21.184	0	0.101	0	0	2.063	0.338	0
ETV1	12.953	27.369	0.159	9.91	30.94	0.095	0	0.887	0	0	1.012	0	0
AGK	2.31	2.749	0	2.444	2.934	0	0	104.077	5.452	0	0	0	0.742
ALDH3B1	1.611	25.174	0	0.612	4.777	10.738	0	0	17.751	0	1.468	0	0
TTC22	9.697	13.468	0.504	3.349	21.954	15.818	0	0	0	0	0	0	0
PHTF2	4.733	15.005	0	4.456	5.125	0	0	0.11	3.401	0	5.625	0	0
CCL26	0	0	0	0	0	0	0	0	0	0	0	0	0
FARP2	5.555	2.572	0.953	6.33	30.304	2.342	0.558	0.132	0	0	1.35	0.111	0.556
USH1C	0	0	0.623	0	0	0	0	0	0	1.971	3.967	0	0
GGCT	20.055	0	311.702	0	15.855	0	0	0	18.412	3.026	0	70.919	0
DBF4	13.2	15.367	0	0	52.486	0	0	0	19.248	0	0	0	0
TBXA2R	27.394	26.543	0	27.586	20.398	0	0	0	10.528	0	0	16.563	0
IFRD1	67.001	20.788	0.204	59.291	32.12	107.184	1.073	0.633	23.558	65.822	1.299	0	0
LGALS14	0	0	0	0	0	0	0	0	0	0	0	0	0
COX10	0	3.506	1.444	0	0	0	0	0	0	0	0	0	0
GTF2IRD1	0	1.711	0.235	4.056	6.819	0.14	1.237	0	0	0	0	0	0
PAF1	48.018	1.389	0	0	0	0	0	0.355	88.168	0	0	0	0
VPS41	8.439	24.708	5.676	10.396	46.253	0	18.546	109.871	60.308	0.62	4.988	1.431	0
ARHGAP44	5.176	7.189	0	1.311	25.236	0.688	0	0.204	0	1.041	4.192	0	0
ELAC2	0.841	18.11	0	1.278	12.97	0	0	0.299	0	0	1.533	0	0
SCIN	12.094	10.205	0.657	6.106	23.963	0	0.692	0.326	0	0	2.511	0	0
ARSD	6.075	0	0	5.768	5.403	0.13	1.143	0.135	4.183	0.687	0	0	0
PNPLA4	0	0	2.219	4.125	0	0.265	0	76.048	0	0	0	1.391	0
MYH13	6.687	3.634	0.25	0	19.652	0	1.313	0	0	0	0	0.521	0
ADIPOR2	11.2	0.631	1.299	2.76	0	7.294	0	0	0	0	0	0	0
CDKL3	6.403	1.213	0	0.663	2.071	0	0	0	0	0	12.728	0	0
UPP2	0	7.521	1.033	0	0	0	0	0.321	29.832	0	0	1.079	0
PRSS21	7.237	0	0	0	0	0	0	0	0	0	0	0	0
MARK4	14.677	8.338	0	7.602	3.797	0	1.205	0.142	0	0	0	0	0
PROM1	0	3.989	0.205	3	7.664	0	1.081	0	0	0	0	0	0
CCDC124	18.222	78.153	52.432	34.2	202.106	222.545	154.941	0	0	0	5.86	4.805	0
CEACAM21	1.812	0	0	37.165	0	0	0	0	0	0	0	0	0
PAFAH1B1	27.587	27.822	0	24.699	8.568	0	0	0.35	28.945	0	0	0	50.244
NOS2	0	0	0	0.464	0	0	0	0.217	0	0	4.453	0	0
DNAH9	3.458	12.661	0.09	3.702	14.166	0.161	0.947	0.056	0	0.285	1.146	0.282	0
KIAA0100	9.056	3.211	0	3.074	4.798	26.175	0.87	0	22.288	0	5.267	0	0
SLC13A2	0	0	0.473	0	7.849	0	0	0	0	0	0	0	0
GAS7	15.855	4.771	7.106	11.242	6.894	0	1.592	4.224	0	1.914	1.926	1.737	3.171
TRAPPC6A	0	170.834	0	21.732	0	256.148	0	205.274	0	0	260.651	133.358	0
MATK	0.859	1.79	0	3.917	58.089	0	0	0	14.201	0	0	0	0
CEACAM7	0.672	0	0.576	0	0	0	0	0	22.2	0	0	0.602	0
CD79B	0	40.988	0	0	21.303	57.887	0	0.912	0	0	355.428	0	123.177
SCN4A	0	0	0	0.246	0.768	0	0	0	0	0	0	0.194	0
ST7L	13.162	15.081	1.13	6.249	9.365	2.699	0	17.885	0	0	0	0	0
TKTL1	0	0	0	0	0	11.496	0	0	0	0	0	0	0
PAX6	0.427	0	1.174	0.097	1.521	2.367	7.338	1.048	0	1.393	0.467	0.537	0.385
RPUSD1	0	0	0	0	0	0	0	0.342	0	0	0	0	0
RHBDF1	0	0	1.243	0	0	0	0	0	0	0	0	0	4.888
LUC7L	14.117	5.402	0	19.369	9.225	0.148	0	0	9.522	0	0	0	0
CACNA2D2	1.407	1.173	0	0.321	0	0	0	0	0	0	3.077	0.252	0
BAIAP3	0	0	0	0	0	0	0	0	0	0	0	0	0
TSR3	184.661	0	0	53.829	20.37	72.65	0	1.526	0	3.888	0	5.133	0
PIGQ	9.68	1.407	0	2.822	0.801	0	2.034	0.12	0	0	0	0	0
CRAMP1	0.425	0.443	0	0	1.512	0	0	53.9	0	0	0	0	0
TEAD3	2.921	2.434	0	3.994	33.251	0.599	0	0	0	0	0	0	0
