Gene.symbol	GBM01	GBM02	GBM03	GBM04	GBM05	GBM06	GBM07	GBM08	GBM09	GBM10	GBM11	GBM12	GBM13
BTBD16	0.74	33.893	0	0	23.679	0	0	0	0	0	0	0	0
KIF11	1.464	1.525	0	7.927	5.21	0	0	0.195	0	0	0	0	0
CUZD1	13.355	17.121	0	4.097	1.827	86.108	2.32	0	0	0	0	0	0
TACC2	0.85	5.704	1.053	0.646	6.047	0.629	0.853	0.805	0	0	1.032	0	0
DUSP5	6.124	0	0	2.326	0	0	0	0.725	44.978	0	0	0	3.062
CALHM2	0	19.082	0	0	0	0	1375.804	0	9.461	0	3.13	0	0
ARL3	22.681	18.321	0	17.934	6.587	1.186	0	0	7.649	0	0	24.484	0
CEP55	7.072	18.131	0.467	15.496	75.474	0	0	0	0	0	0	0	0
KIF20B	4.935	28.134	0	28.411	22.175	0	0	0.277	0	0.705	0	0	0
ENTPD1	69.643	5.846	0	19.476	43.562	29.425	0	0.272	37.941	0	140.857	14.179	0
EXOC6	52.578	49.08	0.493	21.281	17.376	0.147	0	0	4.748	2.341	0	1.03	0
PLCE1	9.633	9.747	1.89	8.154	22.52	0.564	0	0.22	6.822	0	3.009	0	0
RBP4	0	0	0	0	0	0	0	0	0	0	0	0	0
DBR1	9.009	10.557	0	6.416	34.054	0	2.544	0	0	0	0	0	0
DNAJC13	18.523	8.875	0	11.609	17.792	0	0	0	9.183	0.503	42.531	0	0
GPR87	0	0	0	0	0	0	0	0	0	0	0	0	0
ANXA7	197.704	119.153	0	172.151	4.424	118.243	8.425	0	154.11	0	166.543	409.104	0
FAM149B1	18.334	1.984	0.204	14.38	8.471	6.103	0	6.344	0	0.647	0	0.213	0
ASCC1	2.548	6.636	0	7.259	23.797	30.209	0	1.018	0	0	1.741	0	0
PLA2G12B	0	36.147	6.768	0	22.447	0	0	0	0	0	0	0	0
ZNF365	0	0	0.569	0.378	1.179	0.17	0	0	0	0	0	0	1.492
OIT3	3.009	4.702	0	0	42.825	0	0	0	87.031	0	522.364	0	0
ADAMTS14	0	0	0	0	0	0	1.525	0	0	0	0	0	0
RPS24	114.138	91.052	39.646	21.935	74.121	158.238	171.861	103.537	7.485	11.072	17.333	39.996	5.095
TET1	3.257	33.922	0	0.218	2.726	0	0.865	0.306	0	0	0	0	0
DNA2	4.022	22.848	0	5.416	9.104	0	0	5.455	0	0	0	0	0
MYPN	0.504	11.551	0.865	0.287	21.519	0	2.277	0.537	0	0	0	0	0
AOX1	1.281	1.334	0	7.299	1.139	2.134	0	0	0	0	0	0	0
ATIC	4.53	9.437	0	7.227	25.785	0.232	2.046	0.241	0	0	0	0	2.038
SMARCAL1	3.844	0.728	0	1.195	28.592	1.433	1.578	0.186	0	0	0	0.313	0
BARD1	6.452	32.381	0	14.036	6.26	0	0	36.412	4.847	2.39	0	0	0
STAT4	14.874	4.648	0	8.475	33.073	0	0	0	6.145	0	2.033	0	0
MSTN	0	0	0	0	0	0	0	0	0	0	0	0	0
CARF	11.126	22.748	1.061	6.809	13.927	2.429	1.861	68.507	10.215	57.08	0	0	0
ASNSD1	90.246	19.244	0	57.49	40.448	4.007	0	283.225	0	36.67	0	0	0
METTL5	36.021	45.283	247.831	0.708	4.419	12.417	5.611	164.474	10.263	1.687	0	0	0
SSB	19.488	24.649	1.195	37.672	34.665	0.535	0	0.185	5.751	0	0	41.182	0
NAB1	16.02	5.309	0	14.521	63.47	2.613	0	0	0	0.989	1.99	0	0
CDK15	9.851	12.072	0	6.273	10.308	0.149	0	0	0	0	3.168	0	0
PPIG	5.071	23.142	0	19.813	92.787	58.681	0	46.454	0	9.839	73.933	0	0
FASTKD1	34.779	17.488	0	15.943	55.465	0	0	0	13.212	0	6.556	0	0
MDH1B	0	5.959	0	0	52.921	0.293	0	0.915	0	0	0	0	0
HECW2	12.697	25.668	0	18.064	29.669	0.154	0	0.24	0	0.204	0.821	0.269	0
IDH1	11.307	36.902	0	47.672	4.023	55.645	5.108	0.402	0	0	0	87.851	0
OLA1	20.71	15.799	0	1.662	16.604	24.524	0	44.298	0	0	1.595	0	0
CIR1	134.247	68.751	100.325	147.238	95.519	18.065	0	65.275	27.731	0	0	138.405	0
ITPRID2	76.692	81.237	0.319	32.163	3.964	2.665	0	0	0	0	0	0.333	0
CHRNA1	7.33	12.979	0	7.935	1.304	0	0	0	0	0	0	0.986	0
FAM117B	6.242	34.058	0	11.178	11.632	0.457	0	0	0	0	0	0.266	0
WDR12	4.889	5.704	0	5.794	13.22	0	0	0	0	0	0	0.175	0
ABI2	2.44	6.99	0.131	7.387	7.054	1.603	87.504	0	6.302	0	0	0	0
ITGAV	7.801	12.189	2.046	5.926	15.419	0	0	0.115	10.743	0	0	0	0
SLC40A1	325.869	351.838	0	549.265	435.652	0.211	0	159.845	699.452	30.135	415.609	543.021	401.249
SLC35A5	1.833	11.457	0	16.712	9.131	1.504	0	0	0	0	0	0	0
DIRC2	25.73	4.123	0.425	15.224	15.843	0.507	0	0.791	16.354	0	0	0	0
SENP7	3.338	6.375	1.432	26.945	32.66	0.285	1.257	2.965	4.597	2.267	18.25	0.499	3.755
GUCA1C	15.079	6.283	0	0	5.365	1.546	0	0	0	0	0	0	0
CCDC54	6.161	0	0	2.808	201.652	0	0	0	0	0	0	0	0
COX17	31.949	13.653	0	40.14	67.032	5.879	0	49.763	0	0	0	129.259	0
PARP9	39.417	6.221	0	29.036	19.122	90.012	0	0	19.739	0	1.088	0	0
MNS1	0	0	0.61	0.81	15.168	0	0	0	0	0	0	0	0
USP8	14.397	17.062	0.222	14.343	21.163	43.268	0.389	0.092	0	0.234	2.357	0.077	0
SECISBP2L	5.114	17.044	2.106	3.263	17.464	0	9.24	2.507	3.38	2.222	5.591	0.733	0
TMOD3	27.279	25.799	17.091	56.639	58.943	17.245	1.512	23.899	0	0	13.724	10.352	0
SPPL2A	3.933	25.488	0.375	19.917	21.764	0.112	0.987	0	0	0	2.389	0	0
GLCE	0	6.15	0.23	6.422	42.965	0	1.212	0	8.87	0	0	0	0
SHF	7.635	18.178	0	3.314	7.761	0.559	1.642	0.194	30.041	0.987	1.988	0.652	3.272
APH1B	22.023	22.265	0.556	37.643	35.718	0.664	0	0	0	0	3.541	0	0
INTS14	10.989	0.88	0	0	3.007	0.217	1.909	0	0	0	0	0	0
CILP	0.937	0.651	0.536	3.204	1.112	0	0	0	0	0	0	0	0
PARP16	39.754	0	1.233	7.641	10.224	76.852	0	0	7.915	0	0	0	0
PPCDC	21.648	36.273	0	28.957	10.045	0	0	22.318	31.107	49.849	0	0	0
HCN4	0.492	1.538	4.436	0.561	0.876	0	1.112	2.886	4.068	0	0	0.441	1.108
SEMA7A	0	2.926	0.402	0	0	0.24	2.115	0	0	0	10.239	0	0
UBL7	189.733	15.731	0	218.352	157.833	0	0	665.949	0	0	0	153.17	0
ARHGAP24	7.875	53.904	0	9.487	14.408	1.5	0	0.12	0	42.779	0	3.429	0
FAM13A	5.117	12.061	0.116	7.671	13.891	0.276	0	0.072	2.225	0	2.944	0	0
HERC3	0.765	2.124	0	4.357	18.135	38.154	0	0.407	0	0	1.393	7.769	0
HERC6	22.729	5.119	0.264	17.15	101.623	0	0	0.327	0	127.639	0	0	0
HERC5	52.641	1.555	1.282	11.486	43.83	0	8.432	0.398	6.17	2.028	4.082	0.335	0
PCDH10	0	0.365	0.301	9.578	1.869	0	0	0.373	0	0	1.915	0.314	0
NDST4	10.526	0	0	0	23.829	0	0	0	0	0	0	0	2.153
ZGRF1	13.487	10.994	0	4.455	34.074	0	0	0	0	0.531	0	0	0
AP1AR	4.65	0	0	1.177	0	0.265	2.334	1.376	0	0	5.649	0.926	0
COPS4	11.975	13.513	0	62.544	17.751	0	0	0	57.72	0	0	84.098	0
HNRNPD	3.568	28.141	1.75	6.68	0	0.392	0	0.272	0	0	1.393	0	0
PRKG2	6.26	2.898	0.597	0	8.661	0.178	1.571	0.927	5.747	0	3.803	0.624	1.565
RASGEF1B	2.097	9.464	0.9	10.354	23.001	2.329	2.368	0.931	5.775	0.949	3.821	0.313	1.573
SEC31A	19.846	32.831	0.501	18.845	76.834	0.399	0	123.583	9.646	0	29.783	64.365	0.876
FGF5	3.857	15.45	0	1.352	41.159	0	0	0	0	0	0	0	0
GPAT3	67.725	112.227	1.321	1.754	47.458	7.891	0	0.273	0	0	0	0	0
IL21	11.34	4.5	0	0.615	11.527	0	0	0	0	0	0	0	0
FGF2	0	0	0	1.496	0	0.135	0	0	0	0	7.179	0	0
BBS7	7.001	6.908	1.265	6.718	0	0	0	0	0	0	0	0	0
KIAA1109	35.465	17.384	0.373	12.282	31.542	0.134	0	0.139	2.873	0	0.95	0.078	0.391
BMPR1B	3.101	0.587	0.484	2.249	28.08	0.434	3.82	1.051	0	0.766	3.082	0.505	0
RAP1GDS1	7.873	15.035	0.282	9.719	12.838	0	0	0	48.79	0	0	0	0
LARP1B	5.058	13.659	0	9.82	15.329	7.971	0	0	0	0	0	0.168	0
MMRN1	0.646	140.599	0	61.452	116.033	2.483	0	0	160.095	0	0	1.158	0
PDE5A	1.638	260.891	0.312	80.272	35.617	0	0	0	48.13	0	0.995	0.653	0.819
PRDM5	3.178	7.4	0.16	18.535	19.954	0.479	0.845	0	0	0	0	0	0
TRPC3	1.225	4.253	1.051	10.235	0	0	0	0.218	0	0	0	0	0
NAAA	10.774	80.635	0.685	28.647	65.303	5.932	0	0	26.377	0	2.182	0	0
NUP54	12.265	173.381	0	6.988	38.959	0.225	3.957	24.042	0	0	0	0	0
CXCL9	4.546	12.175	0	19.98	30.033	0	0	0	0	0	3.55	0	0
BMP2K	6.446	22.752	0.154	8.977	13.376	8.995	0	0	0	0.486	0	0	0
G3BP2	39.634	72.761	22.746	25.404	126.021	9.905	5.595	1.056	40.936	0	0	0.222	1.115
SEPT11	31.271	52.645	0	19.474	48.509	37.653	0	0.097	0	3.457	2.982	43.844	0
FRAS1	0.845	14.858	0	6.095	9.682	0	0	0	4.653	0	1.026	0	0
SCARB2	3.22	14.182	0	5.032	50.075	0.236	0	0	0	0	4.024	0	0
CCNG2	131.467	17.365	23.709	44.508	63.547	7.326	0	0	15.743	0	0	0	0
CNOT6L	26.974	4.749	0.978	25.109	16.219	4.09	1.716	0.405	0	1.548	4.154	0.17	0.855
USO1	17.84	67.057	0	1.768	26.215	0.795	0	0	0	0	0	0	0
CDKL2	4.706	4.902	3.635	2.681	18.416	0.241	0	1.254	0	0	0	0	0
SHROOM3	2.805	10.888	0.109	3.922	12.245	0.392	0	0.068	0	0	0	0.114	0
ANXA3	143.791	109.978	201.786	317.411	108.735	110.748	0	0	109.053	0	108.231	0	0
PPA2	35.174	21.504	0.328	20.04	89.77	0.98	0	18.335	6.318	1.038	39.713	0	0
CENPE	15.826	6.28	0.323	6.655	67.698	0	0	0.1	6.227	0	2.06	0	0
GSTCD	14.133	17.665	0	7.408	14.078	5.072	0	0	0	0	0	0	0
INTS12	11.871	6.658	0	21.332	9.746	0	0	0.243	0	0	0	0	0
ENPEP	0.228	6.651	0	5.457	4.868	0	0	0.243	0	0.619	0	0	0
CASP6	8.242	7.631	0	21.914	19.547	0	0	34.646	60.533	0	0	0	12.362
LEF1	0.332	0.691	0	1.513	0	0	0	0	0	0	0	0	0
HADH	2.208	8.894	0	0	0	5.057	382.394	0.078	0	39.587	0	0.132	0
EGF	1.742	15.124	0	4.633	0	1.042	0	0	0	0.789	0	0	186.866
PAPSS1	54.229	35.17	0.878	58.296	36.401	0	0	0	76.089	0	290.874	0	0
SEC24B	17.729	12.074	0	7.77	21.832	2.097	0	0	0	0	1.864	0	0
C4orf17	3.274	0	0	0.622	0	0	0	0	0	0	0	0	0
PPP3CA	17.066	14.221	1.757	46.284	58.286	0.175	1.542	3.819	16.922	0.927	1.866	60.588	0
SLC39A8	4.668	60.062	0.471	0	0	0.141	0	0	0	0	0	0	0
MTTP	22.415	14.42	0	12.02	7.036	0.169	0	0	0	0	0	0	0
FBN2	5.663	11.798	0.694	1.229	27.823	0	0	0.287	13.37	0	1.474	0.242	0
MAPK8IP3	20.414	0.36	3.563	0.197	0.615	0.089	0.781	3.687	0	0.47	0.946	0.931	5.449
RGS3	2.709	3.225	1.218	5.439	0	1.852	0	0.412	4.264	4.905	1.41	0	0.58
GUCD1	30.251	32.738	1.686	24.623	12.579	57.602	0	0.209	19.477	0	0	0	0
TTLL8	0	0	0	0	0	0.337	0	0	0	0	0	0	0
RNF185	5.162	0	0	0	1.836	68.538	0	163.659	0	0	36.686	0	44.132
SHISAL1	1.318	1.098	0.226	0.901	2.813	0	0	0.281	0	0	0	0.473	0
PARVG	15.828	14.131	0.353	26.469	35.102	14.964	0	92.885	0	0	1.124	21.746	0
B4GALNT3	0.259	0	0.222	0.295	0	0.133	0	0	0	0.704	0	0.465	0
PDE6H	2.382	0	0	0	0	0	0	0	0	0	0	0	0
ERP27	8.068	1.528	0	3.343	70.451	0.376	0	0	0	0	0	0	0
ETV6	29.677	39.818	2.158	21.78	20.578	28.88	2.272	0.938	12.468	0	0	0.225	0
GABARAPL1	40.934	33.565	319.891	9.924	7.746	1.786	0	269.401	0	0	2.381	1.562	0
KIF21A	7.914	4.03	0.906	13.227	44.424	0	0	0.469	0	0	0.961	0.315	0
CPNE8	4.124	67.291	1.18	35.241	0	4.228	1.552	0	0	0	0	0	63.396
YARS2	0	10.335	0	20.728	8.825	0	0	0	0	0	0	0	0
FGD4	13.894	14.996	167.363	12.208	8.933	7.809	0	0.089	5.533	0.455	38.438	0	0
ALG10	0	0	0	2.772	0	0	0	0	0	0	0	39.252	0
PIK3C2G	4.805	3.754	0	8.555	39.53	0	0	0	0	0	0	0	0
SINHCAF	7.12	53.524	0.531	3.175	63.874	9.363	0	0	0	0	1.692	151.802	0
PLCZ1	5.705	0	0	5.319	3.69	0	0	0.553	0	0	0	0	0
AEBP2	7.039	14.664	30.669	4.936	20.227	2.915	0	0.144	4.474	14.707	0	0	0
SLCO1C1	3.661	2.288	0	4.589	1.302	0	0	0.39	0	0	0	0	0
ETFBKMT	13.213	8.635	0	11.218	28.572	0.266	0	0	0	0	0	0	0
ETNK1	8.255	4.073	0	2.475	0	23.386	0	28.128	7.18	0.59	3.563	0	0
ZCRB1	40.737	93.956	0	58.854	75.05	43.259	3.286	186.834	0	0	3.977	54.129	0
TMEM117	24.311	4.31	0	3.536	23.922	0	0	0	0	0	0	0	0
PRICKLE1	3.452	2.247	0.741	9.097	6.141	0.111	0	0	3.565	0	0	0.387	0
C1RL	11.711	2.218	0	0.404	3.787	0	0	0	0	0	0	0	0
NDUFA9	25.686	16.766	0	4.683	28.023	0	0	14.325	5.66	0	22.468	0	0
CLSTN3	2.836	1.611	0	4.406	5.503	0	0	0	0	0	2.819	0	0
KLRG1	2.74	148.382	0	1.561	138.882	0	0	0	33.954	0	0	0.614	0
VAMP1	0	0	0	0	0	0	0	0.795	0	0	0	0	2.236
TAPBPL	0	5.814	0	0	3.971	0	0	0	0	0	0	0	0
CD27	13.881	34.175	0	4.314	40.405	247.771	0	84.053	0	0	186.271	0	0
RBP5	6.499	0	0	22.216	0	26.652	0	0	0	0	0	0	0
PEX5	3.242	1.351	1.391	5.911	2.307	0	0	0	0	0	0	0	0
PIANP	0	0	0	0	0	0	0	0	0	1.48	0	0	0
SLC38A4	3.863	0	0.368	4.892	0	0	0	0	0	0	2.347	0	0
AMIGO2	0	6.559	0	0	0	0	0	0	52.03	0	0	0.806	0
SCAF11	31.821	39.087	7.725	33.516	35.631	2.73	5.154	0.473	0	69.212	9.703	18.867	0
COL2A1	7.476	0	0	0	6.649	0	0	0	0	0	1.46	0	0
PPFIA2	1.038	2.162	0	1.419	6.645	0	0.938	0.111	3.43	0	2.269	0	0
ANP32D	0	0	0	0	0	0.95	0	0	0	0	0	0	0
LLPH	30.498	11.13	0.764	12.683	50.685	0.685	0	41.161	3.679	4.837	3.651	0	0
LRIG3	2.114	1.887	0.518	0.344	37.596	4.644	1.364	0	0	0	1.651	0	0
MARCH9	2.221	7.404	0	8.1	63.222	0	0	0	0	0	2.429	0	0
INHBE	0	1.229	0.506	0	0	0	0	0	0	0	0	0	0
GLIPR1	34.038	1.182	0	57.856	4.036	30.245	2.563	33.554	0	0	51.173	26.701	0
TPH2	1.284	9.629	0.661	7.023	10.963	2.501	0	0	0	0.697	1.404	0	0
PHLDA1	11.908	12.863	0.378	3.015	7.06	4.861	1.992	0.353	0	0	0	9.094	0
TMEM19	7.953	5.142	0	1.875	0.976	0	0	0	0	0	0	0.246	1.234
LGR5	0.339	8.471	0	5.02	8.439	0	0	0	0	0	0	0.304	0
PTPRQ	4.421	6.239	0	4.388	8.625	0.95	0	0.076	0	0	14.813	0	0
DUSP6	92.578	58.417	0	48.15	62.864	32.493	1.735	0.205	12.696	0	2.1	0	0
POC1B	34.179	63.573	0.698	54.247	41.979	0.104	0	0	20.172	0.553	13.347	0	0
TMTC3	2.671	5.059	0	7.748	40.605	0	0	0.259	4.013	0.66	1.328	0.218	4.371
LUM	0	3.697	0.508	0	37.88	0	5.344	0	0	0	0	0	0
KERA	0	0	0	0	20.495	0	0	0	0	0	0	0	0
SNRPF	7.017	58.469	0	4.664	16.642	65.047	0	81.633	0	3.176	79.917	19.92	15.787
AMDHD1	1.987	20.7	0	1.51	25.924	0	2.992	0	0	0	0	0	0
NEDD1	21.13	5.814	0	64.057	160.274	0	0	29.742	0	0	0	0	0
SYCP3	9.294	26.138	0	15.886	0	0	0	0	0	0	0	0	0
ASCL1	0	0	0	0	0	0	0	0	0	0	0	0	0
GAS2L3	9.683	12.539	0	3.28	16.759	0.805	0	0.139	0	0.711	0	0	0
TMEM132B	5.326	2.833	0	0.516	8.465	0	0	0.121	0	0	0	0.102	0
SLC15A4	16.188	0	0	42.794	2.304	108.045	0	0	5.35	0	5.31	0	0
TDG	40.646	24.192	0	9.098	54.225	8.372	0	0	0	0	0	0.325	0
RITA1	1.541	1.605	0.661	0	54.83	0	0	0	25.469	0	0	0.691	0
SDSL	0	1.673	0	0	0	0	0	0.856	0	0	0	0	0
MMAB	6.506	1.768	0	6.447	8.051	0	0	41.904	4.675	0	3.093	25.107	0
GLTP	300.955	31.622	0	24.818	136.182	0	5.963	81.941	76.346	0	7.216	0	0
GIT2	12.22	2.737	0.113	18.865	21.035	23.508	0	0	2.171	0.357	0.718	9.07	0
TCHP	2.948	26.611	0	6.27	4.195	0.201	0	0	0	0.534	2.149	20.79	0
FAM222A	0	0	0.821	0	1.701	0	4.319	0.509	0	1.298	0	0	0
FOXN4	0	0	0	0	3.647	0.263	0	0	0	0	0	0	0
NUP58	26.121	12.804	0.733	4.28	8.503	33.521	10.026	1.092	2.821	1.391	5.6	1.224	0
MTMR6	1.847	25.656	0.264	40.348	0	0.316	1.391	0.164	5.088	0	181.791	0.276	0
SLC46A3	45.708	0	0.404	3.222	8.382	0	0	0	0	0	0	0	0
SLC7A1	0	13.493	0.199	17.661	0	0	0	0.247	0	0	0	0	0
PDX1	0	1.482	0	0.811	0	0	0	2.654	0	0	0	0	0
LNX2	0.379	2.37	0	32.842	1.349	0	0	0	0	0	4.146	0	0
SUOX	2.487	2.22	0	5.668	30.336	0.182	0	0	11.743	0	0	0	0
CCDC65	2.999	37.489	0	0	16.005	0	0	0	0	0	8.198	0	0
SLC39A5	0	1.277	0	0	0	0.314	0	0	0	0	0	0	0
TARBP2	12.181	0	0	0	0	0	0	0	0	0	0	0	131.158
RDH16	0	0	1.763	0	0	0	0	3.558	0	0	11.233	1.842	0
DHH	0.757	0	0	1.294	1.347	2.716	0	0	0	0	4.138	0	0
ACVRL1	2.118	6.619	0	3.218	0	0	0	0.188	0	0	0	0	0
GPR84	0	0	0	0	0	0	0	0	0	0	0	0	0
NABP2	3.209	0	12.392	15.54	0	11.926	0	0	0	0	0	18.699	0
N4BP2L1	3.821	12.86	0.252	4.355	24.053	36.016	0	0	9.716	0	1.607	0.264	0
CELA1	16.821	0	0	0	0	0	8.443	0	0	0	0	0	0
SMARCC2	12.271	9.099	0.535	13.746	30.337	1.066	0	66.496	0	0	0	0.186	0
BRCA2	6.089	12.383	0.124	10.738	15.989	8.919	0	0.077	0	0.394	0.793	0	0
KANSL2	27.326	2.189	0	28.144	28.042	0	0	0	0	0	2.873	0	0
CERS5	23.464	18.674	0.452	10.214	28.138	5.812	0	0	21.784	0	0	0	0
MAP3K12	0.893	0.465	0	0.254	2.382	0.229	0	0	0	0	2.441	0.4	0
ITGB7	0	0	0	0	0	0	0	0	0	0	0	0	0
GALNT6	2.664	2.523	0	3.312	14.647	0.248	0	0.129	8.004	0	0	0	0
CSAD	21.482	21.953	0	5.542	2.884	0	0	0.648	0	0	0	0	0
LMBR1L	0.294	0	0	17.771	3.14	0.151	0	0	0	1.598	0	0	0
C12orf10	0	0	0	0	0	19.632	3.204	1.134	0	0	58.156	38.147	0
ESYT1	0	26.317	1.946	2.953	6.914	0	0	1.726	0	92.379	0	0	0
TMBIM6	200.772	175.568	0.987	166.504	120.749	194.199	6.497	7.97	114.08	57.812	930.921	193.143	214.852
ANKRD52	4.842	2.101	0	2.529	2.871	0	0	0.43	0	1.096	5.514	0	1.816
KRT71	0	29.457	0	0	0	0	0	0	0	0	0	0	0
ZNF740	0.196	1.227	0	0.671	0	0	0	0.105	0	0	0	0	0
SMIM2	0	0	0	0	0	0	0	0	0	0	0	0	0
WDFY2	6.921	2.289	0.566	4.381	5.471	0.169	0.992	0.117	0	0	0	0	0
HNRNPA1L2	1.297	16.21	0	1.478	0	1.33	0	89.146	0	0	0	0	0
LPAR6	2.046	5.968	0	0.466	69.882	1.049	0	0	0	0	87.252	0	55.243
ESD	94.695	0	0.898	97.771	0	93.603	0	0.279	0	0	125.848	0	0
RB1	33.921	19.533	0	21.369	54.942	0.283	0	0	31.902	0	0	0	0
SBNO1	23.513	12.995	0.137	12.394	42.11	18.696	587.429	0	5.287	0	0	0	9.357
MORN3	23.995	24.032	7.128	25.765	72.232	8.989	18.76	3.196	0	1.253	5.045	1.241	0
SETD1B	8.561	4.013	0.367	2.683	11.421	13.166	0.967	9.579	0	26.739	0	0	0
VPS33A	6.412	4.947	1.223	5.953	17.741	1.948	0	0.253	0	0	0	0.213	0
VPS37B	49.916	33.001	0.257	7.152	12.76	0.153	0	0.478	44.454	0	52.29	0.268	0
RHOF	4.03	11.994	0	2.296	2.048	0.148	0	0	0	0	0	0	0
DENR	26.372	17.621	5.978	0.567	3.54	0	0	117.72	24.668	0	0	0	0
DIAPH3	1.913	8.467	0	5.176	8.506	0	0	0.382	0	0	0	0	0
SLAIN1	6.458	2.691	0	6.377	0	0	0	0	0	0	4.707	0	0
RBM26	8.614	25.268	1.056	7.211	65.04	0.36	0	0.094	11.62	0	0.961	0	0
SRRM4	0.402	1.256	0.173	1.145	8.582	0.618	0	0.107	0	0.546	2.198	0	0
METTL21C	3.271	0	0	0	0	0	0	0	0	0	0	0	0
MBNL2	13.051	11.329	0.311	1.239	1.29	0.186	0	0.193	11.982	20.678	0	88.404	0
RNF113B	15.517	5.388	2.219	0	0	0	0	0	0	0	0	0	0
ZIC5	3.068	2.397	1.317	0.437	1.365	0.197	1.733	0.409	0	0	2.097	0.688	0
ABHD13	90	0	0.286	0	0	0	0	0.178	0	0.905	0	0	0
RAB20	0	26.86	0	0	41.7	0	0	0	0	168.733	0	0	0
GRTP1	9.153	3.813	0	6.953	2.171	0.626	5.513	0	0	0	0	0	0
CUL4A	1.131	16.487	0.194	12.883	12.871	15.301	0	0.361	3.737	0	1.236	0	0
TTC6	1.915	4.877	0	4.608	28.013	0	0	0	0	0	3.49	0	0
SSTR1	0	0	0	0.944	7.369	0	0	0	0	0	0	0	0
CDH24	0.475	0	0.407	0	0	0	0	0.253	0	0	5.191	0	0
REM2	6.948	4.824	0	0.88	2.746	0	0	0	0	0	12.661	0	0
CBLN3	0	0	0	0	2.471	0	0	0.37	0	0	0	0	0
TSSK4	0	0	0	9.484	0	0	0	0.493	0	0	0	0	0
NOVA1	1.594	14.39	0.456	0.404	20.794	0.182	0.8	0.189	0	0	0	0	0
FITM1	0	0	0	0	0	0	0	0	0	0	0	0	0
MDGA2	9.18	30.598	0.197	4.446	13.88	0	0	0.245	0	0.623	0	0	0
TMX1	1.186	74.975	0	27.491	0	0	0	0	13.071	0	101.621	0	5.339
FRMD6	3.59	1.968	0	0.215	4.706	0	0	0	0	0	0	0.339	0
PELI2	32.027	36.016	0.243	23.253	3.025	0.436	0	0.151	0	0	0	0.508	0
RTN1	0.287	4.179	0.492	17.307	9.176	3.379	1.295	0.305	28.414	0	0	0.257	0
ARMH4	0.941	0.49	0	0.536	2.51	0	0	0	0	0	3.858	0	0
SYT16	2.686	3.406	0.501	1.331	7.895	1.018	0	0.436	0	0	0	0	0
SLC38A6	13.137	5.761	1.78	2.758	1.23	0	0	0	0	3.756	5.67	0.62	14
NAA30	1.628	3.875	0.599	2.649	15.716	0.119	1.05	0.124	0	0	0	0	0
ADAM21	0	0	0	0	0	0	0	0	0	1.818	0	0.6	0
RDH12	0	0	0	0	10.747	0	0	0	0	0	0	0	0
DCAF5	21.88	61.667	0	10.511	7.631	0	0	0.114	21.269	0	1.173	0	0
RAB15	8.16	2.217	0	0.404	17.671	0	1.603	0	0	0	0	0	0
WDR89	0	0	1.428	6.318	1.973	3.98	2.505	139.456	0	0	3.031	0	0
ESR2	1.906	34.141	4.088	5.212	12.881	0.293	30.129	1.523	0	2.588	0	1.367	0.858
KCNH5	6.21	9.628	0.124	12.178	21.066	0.148	0	0.077	0	0	0	0.259	0
STON2	4.328	15.184	0	11.679	81.841	0.234	0	0.121	11.292	3.712	2.49	48.803	9.224
EFCAB11	9.859	2.232	0	4.884	18.3	0.33	0	38.487	0	0	0	0	0
GPR65	17.313	68.855	0.338	3.587	13.998	17.348	0	0	6.502	0	0	0	0
PTGR2	0.661	9.184	0	6.028	7.058	0.226	0	0	0	0	0	7.905	0.992
JDP2	4.566	2.972	0.245	4.878	3.046	2.048	2.578	0	4.716	1.55	0	0	0
AK7	1.779	23.718	0	2.027	0	0	1.607	0.19	11.759	0	0	0	0
FAM181A	0	0	0.693	0	0	0	0	0	0	0	0	0	7.272
SLC24A4	5.556	10.545	0	2.392	14.055	1.772	0	0.197	0	0	0	0	0
FBLN5	3.22	5.218	0	1.631	2.546	1.467	4.849	0	0	0	0	0.321	0
SERPINA10	0	0	0.279	0.741	1.157	0	0	0	5.374	0.883	0	0	0
CLBA1	0.341	0.709	0	0	0	0	0	0	0	0	0	0	0
WARS	122.298	25.069	0.24	49.748	112.504	105.304	1.264	467.649	9.249	310.124	140.756	197.452	0
SLC25A47	0	0	44.137	0	0	0	0	0	0	0	0	0	0
WDR20	11.655	21.245	0.208	19.091	17.277	0.124	1.097	1.423	16.05	0	0	0.871	0
NIPA2	20.306	74.028	0.436	1.735	9.03	75.471	0	0	25.168	0	0	0	0
SLC12A6	28.665	23.222	0	7.662	14.478	4.263	0	0	0	0	0	0.159	0
DUOXA1	0	2.988	0	1.635	0	0	0	0	0	0	0	0	0
MFAP1	32.242	0	0.643	43.576	13.338	0	0	1.598	12.391	0	0	120.999	0
TCF12	7.158	34.925	0	27.689	46.91	0.097	0	164.712	0	0	1.03	86.632	0.848
SORD	4.911	3.611	0	0.329	2.056	0	0	0	4.774	0	0	0	0
SERF2	255.505	799.159	404.861	551.664	511.786	235.769	305.225	513.615	344.189	878.803	385.287	1305.752	786.809
ZSCAN29	3.487	15.645	0	12.531	26.717	0.137	0	0	0	0	2.933	0.24	0
DUOXA2	0.697	0	0	0	0	0	0	0	0	0	0	0	3.135
DUOX2	1.447	1.885	0.311	0.825	3.862	0.186	0	0.096	8.97	0	0	0	0
