Gene.symbol	CRC01	CRC02	CRC03	CRC04	CRC05	CRC06	CRC07	CRC08	CRC09	CRC10	CRC11	CRC12	CRC13	CRC14	CRC15	CRC16	CRC17	CRC18	CRC19	CRC20	CRC21	CRC22	CRC23	CRC24	CRC25	CRC26	CRC27	CRC28	CRC29	CRC30	CRC31	CRC32	CRC33	CRC34	CRC35
H3F3C	1.099	0.741	2.121	2.789	2.242	2.778	1.347	1.337	16.437	1.234	2.359	7.869	5.624	4.868	2.949	7.819	2.751	2.967	2.775	2.906	0.496	3.393	9.336	5.739	2.136	0	3.385	1.242	1.456	1.081	0	2.591	4.846	0	1.53
IFNA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAKMIP3	3.105	0	0.029	0.194	0	0.547	0.031	0.093	2.521	0	0	0.514	2.284	0.644	0	0	0	0.856	0	0	0	0	0.396	0	0	0	0	0.058	0	0	0.061	0	0	0	0
PPP3R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDCD1	3.389	1.705	0	0	0.102	0	0	0.084	0.854	0	0	0	0	3.245	0	1.117	4.002	0.114	0	0	0.124	0.13	0	2.186	0.356	0	0	1.863	0	0.541	0	1.295	0	0	0
CLEC2A	0.159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.643	0	0	0	0	0	0	0.78	0	0	0
TCTEX1D4	3.299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SELL	195.983	160.425	36.202	56.32	34.937	67.896	89.28	140.434	114.595	239.779	234.232	96.233	166.125	287.886	116.865	108.492	75.961	442.68	617.97	141.93	144.495	299.036	98.378	156.996	62.55	160.999	82.24	187.422	190.165	42.785	79.215	78.38	118.143	125.988	77.173
MAGEB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHM	8.745	10.335	3.346	5.605	4.136	5.973	7.633	11.48	7.125	12.672	7.831	10.073	11.742	7.312	27.128	12.619	13.302	5.191	8.358	9.593	5.58	10.721	3.012	18.144	5.963	39.16	9.745	7.087	12.76	5.619	5.668	6.968	3.047	7.749	34.804
NANOS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLOC1S5	21.434	20.332	12.174	5.891	7.992	21.557	8.664	22.8	31.309	14.753	12.497	8.56	9.587	14.486	47.526	14.959	8.054	5.24	24.772	4.478	14.472	4.327	8.269	2.701	13.847	34.683	20.212	1.716	1.083	19.482	12.967	11.84	17.437	15.156	0
CERKL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.754	0	0	0.766	0	0	0
SLC24A5	0	0	0	0	0	0	0.298	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	8.141	0	0	0	0	0	0	0	0.12	0	0	0	0	0
IER5L	5.142	3.758	1.323	0.34	0.397	1.896	3.59	4.56	0.083	8.419	4.174	18.588	13.831	8.224	12.03	9.93	1.268	5.607	3.245	4.343	2.417	7.937	0	25.04	1.804	6.324	0	2.583	16.465	1.687	1.364	4.714	11.875	1.544	11.337
H2AFX	93.503	49.043	19.031	8.333	8.541	37.453	19.118	34.028	14.679	70.3	46.106	21.673	85.277	46.753	68.345	78.272	108.43	43.2	33.369	86.273	61.558	77.082	116.675	125.463	43.828	40.409	91.694	3.525	10.49	25.141	21.193	27.711	75.707	17.294	64.145
INSC	0	0	0	0	0	0	0	0	0	0	0	0	0	0.357	0	0	0	0	0.078	0	0	0	0.319	0	0	0.098	0	0	0	0	0	0	1.065	0	0
SERPINA5	4.872	0.083	0	0	0	0.713	0	0	0	3.57	2.185	0	7.147	0.974	0.254	3.44	0	0	0	0	1.458	7.819	0	0.077	2.193	0	3.791	0	5.436	0	0.245	0	1.551	6.285	0.429
C19orf54	5.822	2.508	5.115	1.911	1.34	2.828	9.775	9.628	14.574	5.088	0	8.335	13.413	7.55	3.766	6.157	16.841	7.363	2.765	23.89	5.126	1.962	7.797	6.334	4.905	13.348	9.541	4.279	56.856	4.741	1.096	1.893	0	7.443	25.403
LCTL	0	0	0	0	0.061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCCRP1	0	0	0.68	0.838	0	0	0	0	0	1.868	0	0	0	1.362	0	0	0	0	0	0	0	0	0	0	0.951	0	0	0	10.894	0	0	0	0.37	0	0
KRTDAP	0	0	0	2.23	0	0	4.309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C22orf34	1.316	1.065	0.629	1.932	1.018	1.446	2.104	1.826	0.933	1.959	0	9.541	1.115	1.267	0.248	3.14	7.85	0.071	1.379	0.113	0.581	6.48	7.937	0.171	0.5	0	1.778	6.401	2.653	0	0.068	0.405	0.324	1.856	0
COL25A1	0.011	0	1.974	0	0.616	0.56	2.063	0	0	0	0	0	0	0.308	0	0	0	0	0	0	0.779	0.473	0	0	0.818	0	0	0.05	0	1.961	0	0.104	1.171	0	0
FAM83G	4.793	0.02	1.139	0.164	0.875	1.212	1.989	0.291	0.115	3.947	4.432	8.448	0	1.493	0.426	0.6	4.028	0.214	1.726	6.5	0.233	1.401	11.311	0	1.242	0	0.496	0	0.065	0.581	0.176	0	0.372	0.177	2.259
CFAP77	0	0	0	0	0	0	0	0	0.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010969.1	0	0	0	0	0	0.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.435	0	0	0	0	0	0	0	0	0	0	0	0	1.157	0
SRSF10	31.366	40.006	17.736	17.103	15.216	18.836	27.761	23.163	41.495	28.892	19.782	24.803	45.451	31.254	27.067	20.335	33.646	22.701	26.774	30.087	21.81	33.177	28.993	43.821	26.581	32.549	30.985	41.903	28.806	23.301	13.448	18.651	25.987	35.715	53.833
HBA2	1913.79	2390.386	502.899	1874.25	973.827	1040.477	1243.305	3253.457	1819.23	4975.196	4386.153	3704.823	8627.753	4486.128	6202.932	936.256	1412.584	4888.516	6634.537	15710.014	3698.319	9361.377	4931.321	8713.909	3034.696	10703.901	2892.745	4909.816	7691.678	2448.464	1559.95	616.966	4281.28	4876.985	3859.293
DUSP28	6.185	9.931	5.803	6.557	5.169	12.603	10.175	2.762	6.448	13.42	3.206	0	0	6.011	0.776	4.775	11.76	3.773	2.3	0	9.188	0.595	3.547	7.788	3.449	7.342	4.297	0	0	6.78	3.739	4.184	6.707	9.407	0.436
CCDC9B	4.138	6.721	22.211	7.973	13.222	14.795	28.128	3.668	10.636	5.818	11.799	7.361	1.157	10.863	10.25	10.785	3.485	11.661	2.414	4.635	7.889	7.346	13.286	8.962	8.016	0	14.682	4.72	11.409	14.155	7.017	17.502	7.892	6.132	5.385
NBR1	118.972	85.859	46.681	43.073	41.849	61.467	62.607	62.129	99.111	52.343	45.113	86.44	91.48	86.952	89.045	94.369	110.273	69.12	69.565	106.162	55.112	92.717	120.178	127.164	67.106	69.597	100.152	67.221	78.196	61.469	52.41	41.593	98.283	69.738	89.111
OR2G6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RALGAPA2	14.565	16.684	6.098	7.517	5.445	11.883	10.491	9.052	43.096	12.904	16.369	27.19	18.417	27.338	13.128	17.889	3.526	10.516	30.123	9.818	9.598	28.064	24.35	7.958	6.232	18.903	21.38	4.731	26.479	10.263	9.913	5.093	7.782	11.315	4.936
NDOR1	7.748	1.161	10.119	0.845	3.57	5.868	9.876	12.827	25.141	0	6.154	0	12.979	7.084	20.97	4.913	7.55	7.656	11.376	14.351	8.134	1.362	26.773	8.25	5.97	10.55	5.161	7.561	6.151	3.023	3.097	1.287	6.966	10.334	14.26
FBLL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NKAIN2	0.554	1.12	3.526	2.37	1.796	0.466	1.075	2.356	0	0.052	5.027	0	0	1.751	0	0	0	0	0	0	6.621	0	0	4.68	1.255	0	0	0	0	3.54	0.881	2.175	1.395	0.998	0
KRTAP1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAQR9	0	0	0	0.088	0.465	0.176	0.285	0.635	0	0.052	0	2.523	4.168	0.529	3.106	0	0	0.231	0	12.157	0.189	5.029	0	0.624	0.812	12.822	0	0	0.861	0	2.883	0	0.176	0	0
CLEC20A	0.144	0	0.2	0	0.895	1.889	0.634	6.082	0	0.645	2.278	0	0.339	0	8.971	0	0	1.218	0	0	4.359	6.307	0	0	0.782	0	0	0	0	0.679	0.412	0	0.217	0	0
CFAP54	0	1.626	0.365	0	0.267	0.246	0	0.109	0.577	1.734	0.089	1.44	1.027	0.247	0	0.018	0	0	0.661	0.892	0.731	0.021	0	0.984	0.175	0	0	0	0	0	0	0	0.567	0.54	1.378
CLN3	0.157	0.016	0.023	0	1.049	0.472	1.059	0	3.296	0	1.226	0.174	0.51	1.342	0.195	0.767	0.51	0.465	0.27	0.156	0.612	0.14	0	0.205	0.038	0	0	0	0	0	0	0.463	1.707	0.991	0.492
FAM72B	0	3.618	1.257	0	0	0.161	0.861	0	0	1.147	0	0	0	0.485	11.069	0.234	0	0	0	27.174	0	0	0	10.191	0.868	0	0	0	0	0	0	1.204	0	4.601	0
ASAH2	0.042	0	0	0	0	0.42	0.136	0.177	0	0	0	1.261	0	0	3.914	0.034	0.378	0.933	0	0	0	0	0	0	0.108	0	0	0	0	0	0.132	0	0	0.4	0
SUMO2	189.239	261.518	171.211	160.308	190.034	205.684	146.832	210.532	282.372	158.898	163.523	209.655	180.356	200.606	286.808	208.753	203.915	192.322	181.304	198.425	183.941	248.204	224.848	258.114	184.004	238.381	204.977	214.277	260.034	161.692	192.047	213.572	246.282	230.53	166.947
NANOS1	0	2.653	0.726	1.422	0.214	0.548	1.241	0	0.169	0	0	8.099	0	0.244	0	0	0	0	0	0	0	3.228	0	0	0	0	0	0	0	0.427	1.151	0	0	0.347	0
HMX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGFL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA8M	0	2.918	0	0.669	0	0	0	0.08	0	0	0.087	0.111	0	0	2.396	0	0	0.219	0	0	0.357	0	0.124	10.888	0	0	0	0	0	0	0	0	0	0	0
ZNF177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RTL6	30.723	5.334	2.407	1.375	2.195	5.434	5.702	11.409	45.208	10.562	15.532	20.968	23.591	8.605	23.216	19.467	19.677	12.601	16.351	17.468	3.387	9.237	10.525	23.604	7.121	19.211	8.464	2.628	41.176	6.24	4.29	2.658	10.519	16.508	28.556
DPYD	75.055	78.559	107.967	64.513	122.361	112.464	114.566	41.852	55.403	76.692	55.351	64.217	69.895	71.325	67.088	79.307	52.865	63.47	70.553	21.106	60.29	70.018	39.477	27.749	78.514	77.835	47.209	64.563	52.379	67.803	68.125	99.967	75.21	52.45	90.513
S100A16	19.178	13.914	1.054	2.924	2.279	10.215	7.535	20.141	38.335	45.875	8.005	72.337	78.227	17.86	3.242	54.695	41.962	43.827	14.891	50.711	7.706	86.762	101.844	31.927	7.963	69.965	50.673	46.568	112.809	18.815	15.217	1.61	14.625	29.536	83.688
PTAR1	19.717	12.154	3.951	6.705	4.626	10.572	12.51	10.408	16.256	12.864	10.879	13.715	29.347	12.23	28.894	15.697	14.215	12.656	15.56	10.763	6.124	28.716	17.39	23.867	8.697	28.576	26.448	31.46	27.546	6.886	6.517	4.713	9.656	9.838	8.751
CC2D2B	4.427	1.69	2.555	1.106	0.995	1.809	3.326	0.326	5.559	0	1.506	8.551	10.034	1.698	7.755	0.509	0	5.944	1.889	6.385	1.695	2.549	0	0	1.275	5.643	2.003	0	11.93	1.672	1.637	5.341	2.253	2.149	0
RNASE9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAXO2	0	0	0	0	0	1.177	0	0.976	0	0	0	0	0	1.119	0	0	0	0	0	0	0.693	0	0	0	0	0	0	0	0	0	0	0.219	0	0	0
LINC00319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
