Gene.symbol	CRC01	CRC02	CRC03	CRC04	CRC05	CRC06	CRC07	CRC08	CRC09	CRC10	CRC11	CRC12	CRC13	CRC14	CRC15	CRC16	CRC17	CRC18	CRC19	CRC20	CRC21	CRC22	CRC23	CRC24	CRC25	CRC26	CRC27	CRC28	CRC29	CRC30	CRC31	CRC32	CRC33	CRC34	CRC35
TSPAN6	0.299	1.452	0.692	0.366	0	0	0.576	3.31	0	0	0.211	0	0	2.647	0.476	6.457	0	1.117	2.469	13.998	1.619	6.813	7.676	3.121	0.249	0	0	0	10.974	0	1.325	1.208	7.26	1.231	0
TNMD	0	0	0.139	0	0	0	0	0	0	5.13	0	0	20.449	1.826	0	0	0	0.3	0	0	3.419	0	31.838	0	0	15.87	0.606	33.435	0	0	0	0	0	0	0
DPM1	82.686	58.698	26.005	24.575	17.488	31.833	34.807	61.889	168.054	74.015	37.182	112.887	30.307	61.707	62.781	83.928	90.894	36.979	76.209	79.737	25.846	92.104	116.729	23.693	39.279	210.569	136.626	31.182	38.682	60.135	36.764	26.468	49.102	43.938	44.228
SCYL3	3.136	11.341	2.638	4.524	7.448	7.111	7.759	5.157	24.291	8.621	5.099	13.292	2.923	13.775	21.984	16.57	9.218	6.975	11.853	10.599	7.617	14.548	17.324	6.925	3.663	21.882	19.706	12.271	27.059	1.329	5.641	12.068	14.564	6.691	2.35
C1orf112	22.793	14.553	22.544	14.79	17.002	10.869	16.428	10.595	0.794	1.093	23.142	5.247	0	7.637	5.345	14.761	8.949	12.574	12.377	7.764	12.565	4.392	4.869	1.065	17.152	1.409	23.33	0.88	13.328	23.466	13.556	26.157	18.761	17.541	0.542
FGR	289.346	163.917	33.495	23.176	61.691	99.823	110.409	181.069	354.358	215.925	154.857	269.478	208.625	331.321	259.681	168.638	261.164	253.622	398.241	211.976	108.512	237.184	222.507	175.283	92.496	220.544	176.488	308.388	299.068	74.524	65.595	50.183	180.288	111.278	235.152
CFH	3.554	3.252	1.101	1.651	0.582	1.442	0.379	7.914	5.319	15.959	0	16.398	9.375	3.339	6.507	3.044	4.122	3.258	8.053	3.708	0.772	1.389	12.351	10.569	1.201	0	8.386	3.6	4.535	2.245	2.213	0.784	2.246	11.48	20.655
FUCA2	13.136	14.198	17.901	7.52	12.879	12.793	17.591	0.253	27.547	14.709	11.056	18.305	6.794	11.491	8.071	13.189	9.56	8.811	12.505	0	8.635	19.951	0	0	14.415	0	9.433	0.157	86.338	10.64	16.219	20.262	11.789	16.489	0
GCLC	19.851	12.418	2.334	5.711	7.075	8.124	5.957	6.087	14.718	9.679	5.413	23.625	16.422	22.924	38.525	9.122	18.927	6.976	5.767	36.651	11.037	18.729	9.511	30.571	20.497	20.258	26.296	25.005	20.948	6.941	4.972	2.85	19.887	15.657	13.284
NFYA	36.856	37.386	14.002	12.521	11.53	20.549	29.521	33.966	55.061	28.746	25.817	9.949	12.358	68.08	49.458	37.363	62.708	33.996	45.194	36.067	30.542	62.395	35.963	23.877	23.301	105.77	56.074	32.613	37.427	22.345	22.802	21.316	31.295	25.268	70.462
STPG1	0	4.733	0.606	0.606	0.962	1.697	0.084	0.041	1.007	2.273	2.321	0	0.43	0.23	2.198	0.555	3.634	0.652	0.219	3.88	1.324	0	3.06	0	1.017	1.738	0.42	6.016	2.11	0.873	2.172	0.858	1.633	0.984	0.95
NIPAL3	11.097	9.317	14.448	19.239	6.413	10.175	18.172	10.929	10.749	11.349	12.461	23.593	11.013	10.187	20.731	24.181	12.06	12.314	10.292	9.989	18.175	12.086	16.935	10.874	9.243	21.021	13.316	1.396	18.223	16.227	19.415	7.28	10.27	14.989	2.408
LAS1L	8.92	18.874	5.135	5.077	8.286	14.1	12.613	21.107	16.229	8.323	7.069	47.795	36.162	27.31	27.588	22.054	29.184	14.893	14.788	13.556	16.51	30.897	27.318	32.2	9.425	20.151	17.459	42.989	26.897	10.942	9.18	4.736	18.983	8.49	53.256
ENPP4	3.309	5.123	4.435	3.367	1.806	4.841	2.96	13.707	13.389	4.954	1.155	9.099	5.801	9.271	7.425	6.397	7.73	4.098	4.471	0	1.296	0.771	0	0.062	5.339	0	4.825	0.094	5.957	5.652	3.28	3.925	5.663	6.601	0
SEMA3F	0.281	0.877	0.465	0.534	0	0.203	1.475	3.659	4.161	6.261	0	0	0	1.98	1.988	5.04	6.245	2.9	0	0.053	0.326	7.545	0	16.58	0.858	3.483	0	0	27.854	0.118	1.916	0	7.277	0	0
CFTR	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0.834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKIB1	67.232	80.306	47.419	65.866	29.454	49.873	37.983	71.604	94.018	62.039	72.009	60.967	63.844	53.433	46.312	60.938	56.58	56.542	80.659	61.137	61.07	60.471	31.217	52.183	40.951	58.892	87.451	47.078	77.356	39.758	61.587	52.103	61.675	74.184	89.164
CYP51A1	1.621	1.006	0	0	0.361	0	0	0.049	0	0	0	0	0	0.137	0	0.264	0	0.673	0.298	0	0	0	0	0	0.315	0	0	0	0	0	0	0	0	0.389	0
KRIT1	0.39	10.485	1.265	1.841	4.583	1.933	1.186	1.736	2.182	9.109	6.801	8.32	6.965	7.977	2.242	1.713	0.128	4.628	4.212	13.656	2.366	7.337	2.784	1.024	1.516	12.734	12.321	0	16.375	3.316	1.341	2.795	2.241	6.074	19.556
RAD52	0.323	5.611	3.425	0.835	4.524	1.752	0.906	0	5.439	0	0	0.117	1.146	4.327	4.006	1.465	0.631	2.015	3.818	0	1.314	6.189	14.523	4.757	2.065	2.327	0	6.789	14.572	0.136	1.986	0.654	3.143	2.998	0
BAD	73.451	44.325	33.604	21.034	16.772	34.962	39.188	54.695	76.223	49.123	108.36	24.491	29.583	44.611	19.937	26.13	48.755	71.615	39.337	24.128	90.709	36.501	0.16	78.475	36.569	76.567	79.221	38.434	49.865	44.838	43.841	45.958	60.402	32.684	79.557
LAP3	53.273	63.857	17.356	32.954	35.339	65.434	35.744	58.881	151.056	55.073	46.162	140.569	108.125	61.622	163.584	64.57	186.973	42.452	52.972	92.58	38.924	122.367	100.446	131.117	75.353	95.038	64.709	50.412	105.867	42.581	26.989	30.144	53.547	47.564	126.934
CD99	0.532	0.415	0.32	0.338	0.439	0.399	0.628	0.036	0.046	0.177	0.39	0.1	0	0.299	0.098	0.288	1.884	1.031	0.054	0	0.213	0.337	0	0	0.306	0	0	0	0	1.164	0.376	0.372	0	0	0
HS3ST1	0.51	0	0.165	0	0.554	0.21	0.523	1.817	2.68	0.133	0	0	1.792	1.35	0	0.896	0.129	1.034	0.947	0	0.449	0	0.806	4.316	0.138	0	0.239	0	0.503	0.14	0	0.112	0	0	0
AOC1	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.256	0	0	0	0.126	0	0	0	0	1.362	0	0	0	8.931	0	0	0	0	0	0	0	0
WNT16	0	0	1.375	0	0.066	0.826	0.291	3.737	0.208	0	0	0	4.487	2.104	0	0.579	0	0	5.56	0	0.724	0	3.53	0	0.231	0	0	0	0	0	0	0.28	0.897	0	0
HECW1	0	0	0	0	0.015	0	0	0	0	0	0	0	1.179	0	0	0	0	0	0	0	0	0.909	0	0	0	0	0	0	0	0	0	0	0	0	0
MAD1L1	13.175	16.26	8.218	10.601	8.074	15.605	19.303	34.22	39.197	23.089	11.645	36.575	20.302	32.396	17.479	19.955	41.61	15.183	40.491	35.084	23.459	14.232	26.387	48.424	20.349	22.598	22.449	31.173	48.681	9.881	16.047	9.721	16.698	25.287	25.059
LASP1	127.826	112.191	67.569	71.728	53.78	94.967	84.474	115.096	267.97	143.206	68.584	156.938	175.206	161.378	143.758	145.205	117.298	121.536	152.397	137.171	91.962	133.532	163.394	111.685	86.646	179.258	129.58	179.432	148.231	102.955	86.868	83.894	112.12	101.591	157.619
SNX11	25.69	6.172	5.161	10.985	5.077	5.294	7.24	21.597	73.02	11.935	9.254	35.411	1.712	18.073	31.787	27.372	24.633	17.529	39.926	50.398	19.701	18.13	50.398	34.286	16.904	9.603	11.365	32.162	25.184	16.008	9.229	7.594	27.595	16.255	11.215
TMEM176A	0	28.7	0	3.124	1.548	1.126	5.049	5.837	56.1	0	8.049	0.141	23.067	7.465	14.613	11.674	11.702	9.917	1.226	3.017	5.124	18.237	25.843	11.458	1.947	0.483	8.882	54.972	1.475	2.957	10.895	2.624	0	4.814	0
M6PR	31.37	51.667	56.748	30.633	25.434	42.311	48.388	21.788	51.016	40.745	46.31	57.383	30.993	53.579	59.617	46.577	70.412	41.392	21.53	81.594	32.621	24.394	15.748	35.793	44.63	72.275	24.974	65.93	34.775	35.862	34.389	30.691	32.351	36.58	107.929
KLHL13	0.083	0.763	4.977	0.132	1.542	4.871	1.767	0.101	2.876	3.455	4.559	0.876	1.604	0.105	3.64	0.068	0	1.969	2.367	0	1.051	1.106	0	0	1.455	0	3.028	4.512	0	0.409	1.059	0.523	1.781	1.599	15.058
CYP26B1	5.714	0	0.045	0	0.086	0.244	0	0.986	4.949	0	0	0	0	0.147	0	0.188	0.316	0.096	2.339	0	0.575	5.226	0.109	0	0.225	4.089	0	0	0	0.342	0	0	0	0.557	0
ICA1	16.981	32.624	47.903	63.02	27.832	28.671	29.069	43.291	31.923	33.287	40.546	32.309	22.157	32.91	19.514	30.947	30.971	52.287	28.401	14.967	69.839	19.966	55.988	63.314	46.389	32.306	44.756	53.956	40.492	42.183	39.976	50.201	22.29	68.481	14.222
DBNDD1	0.101	0.654	0.047	3.115	0.315	1.277	1.982	3.023	0.141	4.9	2.802	0	4.247	1.023	0	1.38	0	1.611	0	1.015	1.532	0	0	0.362	0	0	1.697	0.091	0	0.596	1.833	0.762	1.833	0	16.207
ALS2	6.376	8.725	4.361	5.11	5.912	6.575	5.623	10.765	13.276	5.317	7.203	22.497	9.864	9.461	19.052	14.281	5.779	4.019	11.503	5.127	4.065	11.689	14.043	13.965	6.269	15.508	6.985	49.985	17.738	4.788	6.321	3.252	2.819	7.392	12.93
CASP10	21.939	20.485	5.725	6.935	7.002	14.494	12.902	10.18	38.397	13.045	21.658	39.472	45.588	25.248	21.777	17.777	38.725	17.75	17.861	24.289	7.246	31.296	32.685	27.184	8.765	40.353	32.92	30.7	31.197	12.261	12.106	3.964	22.823	13.592	10.007
CFLAR	93.974	50.838	24.481	28.116	20.24	40.063	38.075	42.775	67.422	48.106	36.13	64.28	39.964	74.754	49.644	42.994	63.588	58.214	96.096	42.14	37.899	45.794	40.054	41.095	29.829	44.021	53.404	50.623	48.804	33.359	23.759	34.478	35.433	35.743	53.996
TFPI	43.277	50.928	75.468	78.751	78.571	69.592	62.773	26.804	10.343	44.497	26.639	8.854	16.356	25.579	23.174	34.088	17.603	32.995	33.39	10.641	41.827	20.299	7.699	17.953	45.387	21.955	15.05	16.775	30.703	72.842	37.171	90.543	42.225	36.218	7.319
NDUFAF7	11.56	5.882	0.307	1.161	2.419	4.424	6.761	7.4	25.276	3.215	3.572	2.747	13.338	3.758	5.386	8.279	21.65	8.326	6.134	0.14	5.529	27.049	0	4.747	2.473	4.236	5.791	48.067	0	6.731	3.545	2.75	3.407	2.676	3.545
RBM5	48.373	30.1	26.404	32.359	15.02	19.639	38.735	37.779	25.701	58.765	29.19	74.274	23.728	52.908	25.141	31.02	36.003	45.795	67.812	27.576	35.373	36.318	40.45	29.31	23.009	35.117	39.497	40.649	31.77	20.781	26.081	18.488	34.015	25.979	23.404
MTMR7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081	0	0	0	0
SLC7A2	0.906	0.159	0	0	0.027	0	0	0	0.285	0	0	0	0	0	4.52	0.329	0	0.061	0	0	0	0.174	0	0	0.238	0	0	0	0	0.651	0.058	0	0	1.765	7.572
ARF5	79.004	107.986	126.062	97.88	85.19	111.705	101.741	98.444	100.213	88.642	169.035	92.959	65.865	71.496	87.923	138.576	245.144	147.903	144.069	83.315	124.14	143.456	143.281	106.376	99.345	53.366	180.971	112.509	99.542	120.351	139.582	75.616	76.258	85.034	64.845
SARM1	5.172	1.421	1.067	0.496	1.431	2.066	3.026	1.015	4.903	0.215	1.05	3.58	4.085	3.63	2.735	2.608	3.11	1.711	2.107	1.218	0.636	2.279	4.504	8.041	1.824	0	6.25	4.912	4.561	1.899	2.532	1.229	1.577	0.376	2.469
POLDIP2	20.447	63.037	15.116	25.886	10.257	24.577	19.695	41.214	65.423	48.474	52.446	58.705	81.277	65.841	102.094	68.58	130.248	40.153	36.077	53.099	42.641	49.943	23.004	94.519	38.496	81.154	55.82	72.837	75.473	30.179	22.011	13.341	40.707	11.844	43.473
PLXND1	10.269	7.968	2.279	1.968	3.981	4.297	12.041	6.964	14.759	8.46	8.686	20.272	29.771	12.127	13.692	17.459	16.098	12.115	10.158	12.275	5.061	20.679	18.409	26.312	4.096	35.766	33.401	3.685	41.834	4.402	4.082	4.312	7.514	5.733	9.136
AK2	39.772	35.58	10.061	7.624	12.712	22.948	13.884	18.193	31.045	20.268	33.656	73.297	47.307	42.138	61.384	31.13	77.319	24.391	28.166	38.303	16.662	35.981	45.613	26.531	21.615	40.798	56.681	75.347	28.758	14.769	19.855	14.663	28.107	25.1	116.092
CD38	11.17	4.848	2.584	2.392	1.131	9.425	5.124	13.19	19.782	5.517	5.344	16.237	17.443	9.364	3.883	6.338	3.972	8.13	6.573	23.673	3.327	8.451	8.117	18.626	2.909	2.403	11.815	0.064	0.823	2.084	3.034	4.66	2.775	3.461	7.315
FKBP4	29.059	17.369	6.189	6.438	9.397	11.15	10.814	35.319	52.923	33.318	13.181	51.9	69.296	31.642	21.064	28.993	9.646	21.006	29.287	27.276	19.585	34.934	8.625	81.419	19.467	79.633	21.475	41.736	7.23	9.157	8.834	9.339	27.262	25.595	52.777
KDM1A	195.987	150.117	79.873	119.485	49.691	71.125	70.028	123.941	109.29	76.357	115.463	85.753	117.258	119.888	151.683	106.738	79.745	142.494	153.502	100.786	145.725	104.003	128.338	111.406	78.297	149.059	93.632	80.046	119.307	65.241	128.727	63.255	97.917	128.528	100.509
RBM6	82.67	85.198	75.471	89.849	49.261	42.498	70.016	67.04	88.281	60.071	103.329	122.545	65.565	99.349	73.464	67.296	54.994	92.513	109.357	60.853	96.036	48.847	85.514	78.092	62.866	76.749	92.028	159.305	87.619	49.7	72.354	58	60.523	83.522	145.992
CAMKK1	1.852	3.146	1.178	0.943	0.87	1.813	2.686	3.711	3.829	0.322	0	1.318	0.185	7.986	0.032	2.036	6.089	3.575	4.669	0	2.048	2.304	2.511	0.467	1.723	0	0	5.895	0	0	0.436	0.123	3.942	2.444	8.062
RECQL	46.274	70.116	40.414	43.012	49.43	55.191	47.684	62.963	76.146	61.101	23.403	134.743	97.129	85.471	61.442	64.752	77.041	54.344	36.556	84.621	46.907	58.048	88.226	51.84	46.411	78.218	80.325	104.371	89.631	38.726	37.928	30.2	53.065	41.373	59.945
VPS50	15.548	22.928	10.745	10.95	9.849	11.062	8.692	10.976	24.624	19.696	5.92	45.587	20.239	13.971	10.714	7.239	10.65	15.677	17.325	9.187	7.516	24.361	35.823	14.236	10.354	42.564	12.354	17.768	28.346	11.781	13.784	7.163	4.823	23.219	43.839
HSPB6	0.225	0.911	0.651	3.105	0.375	5.262	6.896	2.052	0.524	22.861	0	0	7.838	3.274	18.671	1.235	0	6.449	0	0.744	6.398	0	0	0	3.061	0	0	2.289	0	0.664	1.343	2.652	0	16.218	100.575
ARHGAP33	1.804	0.566	0.469	0.28	0	0.047	0.541	0	0.129	0	0	0	0.652	1.118	0	1.167	0	1.835	2.636	4.039	0.598	0	0	1.428	0.501	0	0.928	0	4.097	0	0	0	0	0.265	0
NDUFAB1	98.435	89.932	11.771	16.927	23.559	39.922	42.724	132.998	186.85	96.999	54.661	100.448	132.464	80.39	111.508	85.894	89.222	47.498	97.149	180.454	60.95	135.514	184.339	59.399	42.33	32.568	73.387	118.71	117.685	23.575	19.356	11.98	112.954	67.163	160.755
PDK4	59.679	37.183	12.354	8.521	25.31	31.086	23.741	17.624	25.114	152.333	22.239	62.089	157.396	46.951	46.22	87.629	40.014	58.513	17.759	76.07	10.674	45.111	97.779	66.416	35.637	55.424	82.845	8.038	86.628	39.332	17.491	25.046	27.849	63.619	96.651
SLC22A16	5.005	0	0.976	0.094	0.276	0.376	0.122	2.215	0	15.745	1.374	2.129	0.176	4.452	12.828	1.934	0	1.544	1.501	5.372	5.301	0	8.98	1.627	2.6	12.305	25.891	0	0	0.585	0.237	0.467	0	0.714	0
ZMYND10	0	0	0	0	1.128	0	0.296	0	0	0	0	0	0	0	0	0	0	0.361	0.067	0	0	0	0	0	0	0	0	4.257	0	0	0	0	0	0	0
ABCB5	0	0	0	0	0.349	0.053	0	0	0	0	0	0	0	0.026	0	0.051	0	0.052	0	0.94	0	0	0	0	0.163	1.38	0	0	2.162	0.741	0	0	0	1.658	0.175
ARX	0	0	0	0	0	0	0	0	0	0	0.681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A13	23.874	17.745	4.23	6.903	8.128	8.18	9.021	11.614	25.057	15.35	14.837	25.847	16.208	20.34	20.231	14.703	7.197	9.885	28.746	4.071	7.914	4.759	29.406	12.925	8.722	1.722	7.978	23.121	0	14.48	5.482	12.055	20.511	18.056	38.37
ST7	20.044	21.435	44.994	39.624	35.75	40.655	45.661	47.096	0	37.141	26.143	6.712	19.601	13.118	9.781	20.734	12.94	41.94	13.604	12.301	29.279	4.092	4.716	15.082	28.574	12.865	30.78	0.065	10.958	41.622	42.987	37.366	19.643	43.263	8.638
CDC27	103.894	84.367	56.248	75.704	58.551	65.594	40.973	51.783	97.705	69.312	69.842	97.29	119.844	67.892	129.494	66.75	54.119	60.174	54.738	96.099	64.885	62.577	50.893	62.989	71.901	108.679	31.554	76.382	58.87	72.361	58.998	72.095	56.506	75.874	80.361
SLC4A1	254.156	234.443	77.138	68.883	37.033	67.599	55.382	214.634	293.143	402.399	230.075	494.06	536.461	343.62	267.287	100.668	249.055	241.778	92.147	863.389	314.07	531.275	365.212	746.103	314.362	567.257	799.586	249.275	395.652	154.855	65.144	42.702	322.055	237.768	450.295
CALCR	0	0	0	0	0	0	0	0	0.587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.148
HCCS	35.072	24.569	13.059	7.022	11.623	12.472	9.453	23.445	37.202	23.645	19.713	71.867	36.327	37.563	68.603	7.787	20.719	29.137	22.38	45.492	11.788	34.142	78.77	14.351	20.143	97.616	27.999	25.49	14.722	12.238	5.345	17.591	24.755	32.873	93.526
DVL2	3.384	2.52	1.257	2.652	2.053	3.294	6.921	7.229	4.344	2.966	3.406	8.23	9.444	7.922	3.451	6.841	13.984	3.472	5.731	6.746	3.479	5.208	9.735	11.123	1.899	10.557	17.753	14.806	1.534	2.884	5.961	1.706	4.65	4.435	2.721
PRSS22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPF1	19.946	19.939	26.826	12.982	17.782	28.457	36.79	34.477	47.225	22.242	10.392	52.565	22.597	50.994	33.628	24.767	43.466	32.346	44.209	32.531	19.966	35.957	36.112	31.272	19.12	54.298	27.269	29.108	48.801	28.775	11.287	18.149	20.759	14.93	37.432
SKAP2	288.686	270.099	464.004	384.332	535.283	455.546	397.05	211.787	137.667	221.814	224.347	102.812	96.423	188.188	157.782	211.879	184.861	246.505	180.838	134.984	298.149	146.123	182.789	84.463	403.191	84.656	164.34	191.467	125.664	470.051	253.807	471.095	316.798	232.599	81.469
SLC25A5	266.914	334.177	163.519	113.246	132.969	245.71	168.995	464.682	640.188	298.658	352.512	504.41	530.579	282.729	444.112	299.575	366.403	328.436	271.596	299.989	245.023	441.919	635.934	683.27	199.923	626.652	459.053	386.581	411.481	144.022	221.869	161.254	195.603	279.119	735.494
MCUB	70.389	37.933	4.15	7.285	19.147	14.138	16.773	31.892	25.436	44.924	32.162	27.851	19.683	39.505	36.246	44.896	12.454	21.65	47.029	28.568	18.82	35.894	28.518	3.969	10.974	44.875	51.991	28.718	7.626	19.392	17.758	7.167	26.879	28.569	50.353
HOXA11	0	0	0	0	0.093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.652	0	0	0	0	0	0	0	0	0	0
POLR2J	227.18	220.366	64.035	92.324	55.478	124.443	120.341	175.553	314.717	317.624	72.046	432.195	387.915	263.442	177.86	260.183	328.743	174.491	422.656	310.367	171.994	332.043	423.605	228.963	135.511	332.961	383.113	197.664	400.231	65.376	172.952	81.508	320.213	189.512	272.196
DHX33	9.528	6.753	12.409	14.088	5.466	10.669	11.075	14.616	0.576	2.184	10.485	11.165	10.552	5.591	8.004	16.97	17.648	13.517	9.944	21.011	8.572	13.905	7.609	13.43	8.843	31.775	4.985	2.236	14.155	8.078	7.242	4.197	11.339	12.359	0.275
MEOX1	1.645	18.239	1.077	3.811	0.955	4.701	0.438	7.372	81.017	24.972	7.439	4.699	9.966	12.128	20.109	4.798	25	3.921	13.592	9.928	4.358	12.025	18.834	18.995	7.089	32.29	6.248	43.327	42.077	4.434	5.806	3.035	21.353	16.498	57.966
THSD7A	0.345	2.539	0	0.034	0.71	0	0.217	0.145	1.92	0	0.439	5.775	0.628	2.018	5.858	3.976	0	0	1.513	0.586	0.696	7.875	0	1.322	0.138	4.983	3.333	0.28	2.066	0.366	0.592	0.585	1.004	2.937	7.549
LIG3	9.666	9.973	1.631	1.241	2.401	4.944	5.714	6.862	16.504	4.56	6.651	20.526	5.026	9.748	13.16	9.98	5.627	3.137	6.047	12.383	5.235	15.758	11.585	9.66	3.699	4.476	5.589	12.771	3.733	3.893	2.004	4.027	8.439	5.077	23.415
RPAP3	51.612	36.936	24.624	25.713	29.021	35.338	30.436	31.177	68.18	30.498	24.237	62.144	9.135	52.633	33.557	32.254	70.941	26.274	35.526	47.568	34.395	44.241	85.58	30.492	29.438	52.48	27.02	29.604	47.769	26.34	28.433	34.434	38.753	34.754	18.338
ACSM3	2.549	1.904	2.035	7.608	2.644	0.751	2.852	1.445	0.808	2.334	0	0.094	8.856	3.32	6.285	4.106	0.304	1.666	0.716	5.072	2.614	7.582	1.822	5.909	13.373	4.943	1.705	2.965	4.919	1.68	1.655	4.084	0.935	0.178	15.097
REXO5	14.612	4.915	10.954	11.33	5.969	3.51	5.769	2.533	0	6.235	4.755	0	7.836	3.097	13.815	4.247	4.819	7.448	8.555	8.586	7.455	0	3.531	0	12.987	2.533	5.851	8.51	6.485	3.473	4.157	7.1	17.607	5.088	0
CIAPIN1	12.635	16.126	2.939	3.99	5.402	7.463	11.905	14.846	15.432	9.106	8.581	36.46	20.329	14.662	25.764	26.446	23.581	14.232	10.637	25.239	5.678	28.694	59.134	26.014	10.83	10.156	17.89	46.396	27.488	9.772	8.43	3.902	15.013	16.704	27.199
SPPL2B	0	1.759	1.258	0.543	0.302	0.069	4.96	0.025	0	0.457	0.592	0	2.758	1.203	0	3.179	2.744	1.624	1.608	3.303	0.588	2.902	0	0	0.264	0	2.874	5.524	0	0.401	0	0.64	0	0	0
FAM214B	17.234	10.859	13.363	8.337	12.704	20.849	16.665	23.09	14.399	15.126	20.768	52.749	18.657	22.554	17.96	20.043	28.049	23.113	19.053	37.023	17.67	17.776	39.177	24.609	19.315	49.046	43.341	38.854	13.529	17.835	4.904	10.824	27.856	11.323	6.815
COPZ2	7.426	16.259	7.268	2.887	0.465	5.156	4.36	11.83	25.842	1.409	1.554	0	0.618	9.265	11.271	9.695	69.553	1.303	8.066	26.274	5.523	11.177	0	28.091	3.659	0	6.326	19.388	1.386	7.101	2.997	0.493	3.162	27.143	0
PRKAR2B	743.878	1145.447	2759.866	1989.81	2593.747	2731.319	2625.01	879.419	86.27	861.554	1176.065	220.828	104.838	571.76	403.574	1372.29	597.412	1390.74	415.18	348.852	1609.512	453.71	193.299	227.121	1930.999	135.705	473.731	240.205	266.396	2278.518	1651.089	2559.227	1251.556	1217.509	204.923
MSL3	21.676	19.97	8.895	7.95	9.03	13.913	13.882	19.23	33.821	21.025	19.807	47.624	30.765	22.546	35.627	15.549	17.624	19.76	21.046	49.858	16.941	42.309	36.688	40.672	12.696	21.037	23.879	26.133	39.608	15.427	14.462	11.479	22.818	31.822	39.366
CREBBP	46.476	41.685	25.37	21.954	23.942	31.057	47.373	45.163	84.415	60.36	37.734	75.919	76.417	93.686	60.105	40.804	65.442	57.886	96.721	58.373	39.732	58.761	56.23	46.746	33.979	59.243	76.507	71.414	80.908	28.812	24.526	23.037	47.891	43.061	96.274
TSPOAP1	7.434	3.092	1.955	0.519	0.74	3.061	6.585	3.655	4.193	0	0.236	15.749	8.739	5.416	1.373	0.374	2.189	2.146	4.462	4.171	1.108	1.846	5.384	10.889	3.712	4.145	2.922	1.85	0.362	1.409	0.407	0.643	5.284	4.056	0
MPO	0.082	7.29	0.827	0.679	0.733	2.29	0.404	14.374	0	8.384	7.996	0	0	3.961	0	11.452	0	0.274	2.873	1.089	2.677	0.939	0.078	16.631	11.205	10.202	0	0	0	0.486	1.704	1.553	4.358	0	7.799
PON1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.085	0	0	0	1.266	0	0	0	0.119	0	0	0	0	0	0	0	0	0
GCFC2	13.054	13.595	4.513	3.843	5.005	6.225	8.686	3.038	19.239	7.955	14.669	7.43	14.726	14.973	28.434	12.66	7.74	4.768	4.976	17.423	7.003	6.511	1.806	5.92	6.885	13.041	9.047	28.989	3.849	4.079	9.558	9.687	14.861	14.556	27.824
WDR54	7.819	7.837	0.157	0.387	0	0.257	3.818	6.669	0.158	10.412	2.548	0	0.64	3.769	5.702	5.614	1.571	3.29	3.17	0	2.2	9.742	0	3.535	3.684	1.763	2.047	0	4.485	0.4	2.424	0	2.303	3.904	0
CROT	3.072	6.202	4.953	6.772	1.903	5.554	6.722	10.889	3.489	5.632	1.31	13.02	2.571	6.003	12.233	7.683	2.92	7.608	12.423	4.73	6.792	4.765	3.193	2.205	3.325	0.135	0.065	3.252	22.464	6.543	4.178	3.3	4.849	6.167	8.772
ABCB4	1.491	3.205	1.654	0.334	2.342	3.294	7.464	1.623	8.41	0	0.099	0	6.302	4.09	2.607	3.606	4.584	1.155	0.38	0.629	2.511	2.428	26.57	13.197	1.266	4.046	6.104	0.68	4.117	1.701	0.897	1.772	1.799	1.806	10.468
KMT2E	168.414	148.423	98.124	110.552	96.368	107.612	108.97	109.045	190.531	123.505	112.818	205.402	143.282	146.453	156.516	134.144	125.207	119.232	180.837	165.79	102.435	165.555	180.305	173.083	104.96	152.815	163.67	227.709	238.943	90.64	113.266	116.48	106.055	138.032	291.777
RHBDD2	25.856	11.173	14.328	17.284	6.441	27.471	14.294	18.376	59.712	9.261	18.621	14.531	10.397	19.371	12.673	24.184	8.014	23.128	31.02	33.975	10.202	23.732	43.682	39.289	11.869	0.138	15.457	0	13.242	17.326	17.232	16.453	14.388	14.865	0
SOX8	3.211	0.248	0	0	0	0	0.268	0	0	0.147	0	0	0	0.995	0	0	0	0	0.18	0	0	0	5.999	0	0.509	0	0	0	3.126	1.805	1.773	0	0	0	0
IBTK	45.016	56.932	20.256	30.883	16.447	27.61	16.573	42.539	74.865	29.133	41.362	52.868	37.144	46.124	53.805	50.356	47.404	33.304	44.202	14.409	26.089	32.513	45.633	43.85	26.531	46.716	52.284	6.673	71.178	27.586	32.327	21.767	30.452	57.763	97.742
